gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed
13,2024-11-30T15:00:00,17,1707.87,1.0,0.0,40,1596.87,True,24-25-prem-nottingham-forest-vs-ipswich-town,/matches/ipswich-town-vs-nottingham-forest/3cc90b#4506419,45.0,55.0,1.68,0.59,12.0,7.0,5.0,3.0,2.0,0.0,1.0,0.0,238.0,307.0,77.0,79.0,5.0,16.0,8.0,7.0,0.56,0.28,0.33,0.3,0.89,0.59,1.53,0.38,5.0,2.0,2.0,2.0,1.0,0.0,8.0,5.0,4.0,2.0,310.0,387.0,100.0,178.0,138.0,129.0,16.0,16.0,40.0,39.0,7.0,3.0,35.0,19.0,19.0,26.0,26.0,19.0,3.0,1.0,1.0,3.0,0.0,0.0,12.0,10.0,60.0,63.0,8.0,4.0,3.0,2.0,22.0,19.0,2.0,4.0,57.0,46.0,40.0,29.0,58.0,42.0,17.0,17.0,50.0,50.0,7.0,8.0,44.0,44.0,4506419,True,True
13,2024-12-01T13:30:00,8,1871.19,3.0,0.0,7,1798.8,True,24-25-prem-chelsea-vs-aston-villa,/matches/chelsea-vs-aston-villa/2w6q11#4506412,64.0,36.0,1.69,1.23,17.0,10.0,8.0,4.0,2.0,2.0,2.0,2.0,561.0,296.0,90.0,84.0,21.0,6.0,3.0,4.0,1.23,0.8,0.46,0.44,1.69,1.23,2.37,0.72,6.0,3.0,3.0,3.0,0.0,0.0,12.0,8.0,5.0,2.0,623.0,352.0,280.0,232.0,281.0,64.0,17.0,18.0,43.0,46.0,2.0,3.0,17.0,43.0,9.0,8.0,32.0,19.0,3.0,1.0,2.0,2.0,0.0,0.0,10.0,7.0,59.0,44.0,3.0,10.0,4.0,3.0,5.0,12.0,3.0,5.0,34.0,47.0,29.0,40.0,42.0,58.0,5.0,7.0,42.0,58.0,8.0,5.0,53.0,36.0,4506412,True,True
13,2024-11-29T20:00:00,36,1781.18,1.0,1.0,20,1578.86,True,24-25-prem-brighton-&-hove-albion-vs-southampton,/matches/southampton-vs-brighton-hove-albion/2vrwh7#4506411,52.0,48.0,1.68,1.01,22.0,10.0,5.0,2.0,3.0,1.0,2.0,1.0,414.0,368.0,90.0,87.0,20.0,16.0,7.0,6.0,1.19,0.95,0.49,0.05,1.68,1.01,0.69,0.44,10.0,2.0,7.0,6.0,1.0,1.0,15.0,8.0,7.0,2.0,458.0,421.0,193.0,265.0,221.0,103.0,16.0,23.0,53.0,58.0,11.0,4.0,34.0,17.0,13.0,7.0,44.0,21.0,3.0,1.0,2.0,4.0,0.0,0.0,8.0,9.0,57.0,53.0,3.0,4.0,6.0,6.0,16.0,30.0,1.0,4.0,49.0,57.0,39.0,48.0,45.0,55.0,10.0,9.0,53.0,47.0,9.0,12.0,50.0,67.0,4506411,True,True
13,2024-12-01T16:00:00,14,1986.96,2.0,0.0,43,1988.89,True,24-25-prem-liverpool-vs-manchester-city,/matches/manchester-city-vs-liverpool/2f48yd#4506416,44.0,56.0,3.57,0.84,18.0,8.0,7.0,2.0,5.0,1.0,3.0,1.0,347.0,481.0,84.0,88.0,9.0,8.0,7.0,4.0,2.33,0.84,0.45,0.0,2.78,0.84,2.8,0.94,7.0,3.0,4.0,3.0,2.0,0.0,11.0,7.0,7.0,1.0,415.0,544.0,213.0,238.0,134.0,243.0,25.0,10.0,41.0,31.0,4.0,0.0,29.0,0.0,21.0,13.0,30.0,30.0,4.0,3.0,1.0,3.0,0.0,0.0,13.0,14.0,59.0,82.0,6.0,5.0,3.0,4.0,13.0,21.0,3.0,5.0,42.0,44.0,35.0,39.0,47.0,53.0,7.0,5.0,58.0,42.0,5.0,13.0,36.0,57.0,4506416,True,True
13,2024-11-30T15:00:00,39,1691.42,2.0,4.0,91,1729.21,True,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,/matches/wolverhampton-wanderers-vs-afc-bournemouth/2gwdd2#4506422,60.0,40.0,0.46,3.29,10.0,12.0,3.0,8.0,2.0,4.0,0.0,1.0,440.0,265.0,85.0,77.0,13.0,11.0,3.0,4.0,0.33,0.71,0.14,0.21,0.46,0.92,1.22,3.33,5.0,2.0,2.0,2.0,0.0,0.0,5.0,10.0,5.0,2.0,520.0,344.0,241.0,133.0,199.0,132.0,25.0,24.0,51.0,45.0,4.0,2.0,19.0,13.0,25.0,13.0,18.0,20.0,2.0,1.0,5.0,1.0,0.0,0.0,18.0,14.0,64.0,54.0,6.0,8.0,2.0,2.0,20.0,20.0,4.0,1.0,59.0,56.0,47.0,42.0,53.0,47.0,12.0,14.0,46.0,54.0,9.0,3.0,39.0,21.0,4506422,True,True
13,2024-11-30T17:30:00,21,1745.01,2.0,5.0,3,1970.6,True,24-25-prem-west-ham-united-vs-arsenal,/matches/west-ham-united-vs-arsenal/2tnw09#4506421,40.0,60.0,1.54,3.6,12.0,16.0,5.0,7.0,2.0,5.0,1.0,0.0,252.0,400.0,78.0,84.0,10.0,13.0,2.0,10.0,1.33,1.56,0.2,0.46,1.54,2.02,2.28,3.75,3.0,5.0,4.0,4.0,1.0,0.0,8.0,13.0,4.0,3.0,323.0,479.0,133.0,192.0,119.0,208.0,24.0,22.0,49.0,51.0,1.0,6.0,11.0,32.0,11.0,23.0,17.0,32.0,1.0,1.0,4.0,1.0,0.0,0.0,16.0,6.0,73.0,35.0,6.0,6.0,4.0,4.0,21.0,14.0,2.0,3.0,57.0,42.0,40.0,31.0,56.0,44.0,17.0,11.0,61.0,39.0,5.0,5.0,38.0,38.0,4506421,True,True
13,2024-12-01T13:30:00,1,1783.57,4.0,0.0,11,1698.64,True,24-25-prem-manchester-united-vs-everton,/matches/everton-vs-manchester-united/2ynv4k#4506418,60.0,40.0,1.07,0.58,11.0,8.0,5.0,2.0,3.0,1.0,0.0,1.0,566.0,356.0,90.0,86.0,12.0,12.0,2.0,2.0,0.96,0.35,0.11,0.23,1.07,0.58,1.38,0.16,2.0,3.0,4.0,3.0,0.0,0.0,9.0,4.0,2.0,4.0,630.0,412.0,403.0,197.0,163.0,159.0,25.0,21.0,61.0,49.0,1.0,2.0,17.0,15.0,10.0,11.0,22.0,13.0,3.0,2.0,2.0,3.0,0.0,0.0,11.0,10.0,69.0,53.0,10.0,5.0,3.0,4.0,12.0,8.0,2.0,1.0,46.0,50.0,37.0,40.0,48.0,52.0,9.0,10.0,47.0,53.0,9.0,9.0,47.0,53.0,4506418,True,True
13,2024-12-01T13:30:00,6,1834.32,1.0,1.0,54,1738.84,True,24-25-prem-tottenham-hotspur-vs-fulham,/matches/tottenham-hotspur-vs-fulham/2tici0#4506420,51.0,49.0,0.78,1.58,8.0,14.0,3.0,6.0,2.0,3.0,1.0,3.0,427.0,383.0,87.0,84.0,4.0,14.0,7.0,11.0,0.51,1.11,0.26,0.47,0.78,1.58,1.05,1.66,3.0,4.0,2.0,4.0,1.0,1.0,4.0,12.0,4.0,2.0,493.0,454.0,197.0,187.0,230.0,196.0,13.0,32.0,45.0,58.0,2.0,8.0,13.0,29.0,19.0,15.0,16.0,36.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,10.0,56.0,63.0,9.0,14.0,4.0,2.0,23.0,22.0,5.0,2.0,45.0,45.0,33.0,30.0,52.0,48.0,12.0,15.0,44.0,56.0,3.0,11.0,30.0,52.0,4506420,True,True
13,2024-11-30T15:00:00,31,1732.05,1.0,1.0,4,1810.11,True,24-25-prem-crystal-palace-vs-newcastle-united,/matches/crystal-palace-vs-newcastle-united/3c4hty#4506414,49.0,51.0,1.76,0.04,16.0,1.0,4.0,0.0,5.0,0.0,4.0,0.0,320.0,338.0,80.0,81.0,12.0,11.0,8.0,9.0,1.26,0.0,0.49,0.04,1.76,0.04,0.93,0.0,7.0,0.0,5.0,1.0,0.0,0.0,12.0,1.0,4.0,0.0,402.0,418.0,164.0,192.0,156.0,146.0,22.0,29.0,44.0,60.0,7.0,2.0,32.0,9.0,22.0,22.0,24.0,12.0,2.0,2.0,3.0,3.0,0.0,0.0,17.0,9.0,57.0,75.0,13.0,8.0,1.0,5.0,24.0,25.0,0.0,2.0,66.0,46.0,48.0,30.0,62.0,38.0,18.0,16.0,53.0,47.0,9.0,6.0,75.0,27.0,4506414,True,True
13,2024-11-30T15:00:00,94,1735.0,4.0,1.0,13,1646.44,True,24-25-prem-brentford-vs-leicester-city,/matches/leicester-city-vs-brentford/2pwipa#4506408,60.0,40.0,2.4,1.06,13.0,7.0,6.0,3.0,4.0,1.0,0.0,0.0,489.0,288.0,85.0,76.0,9.0,10.0,5.0,4.0,2.09,0.85,0.3,0.21,2.4,1.06,3.54,1.14,3.0,1.0,4.0,3.0,0.0,0.0,10.0,3.0,3.0,4.0,576.0,378.0,215.0,157.0,274.0,131.0,19.0,18.0,49.0,28.0,2.0,2.0,10.0,12.0,27.0,17.0,30.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,9.0,40.0,60.0,9.0,10.0,3.0,3.0,27.0,26.0,2.0,2.0,65.0,47.0,46.0,30.0,61.0,39.0,19.0,17.0,53.0,47.0,16.0,7.0,70.0,32.0,4506408,True,True
