gameweek,kickoff_time,home_team,home_team_elo,home_score,away_score,away_team,away_team_elo,finished,match_id,match_url,home_possession,away_possession,home_expected_goals_xg,away_expected_goals_xg,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_accurate_passes,away_accurate_passes,home_accurate_passes_pct,away_accurate_passes_pct,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_xg_open_play,away_xg_open_play,home_xg_set_play,away_xg_set_play,home_non_penalty_xg,away_non_penalty_xg,home_xg_on_target_xgot,away_xg_on_target_xgot,home_shots_off_target,away_shots_off_target,home_blocked_shots,away_blocked_shots,home_hit_woodwork,away_hit_woodwork,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_passes,away_passes,home_own_half,away_own_half,home_opposition_half,away_opposition_half,home_accurate_long_balls,away_accurate_long_balls,home_accurate_long_balls_pct,away_accurate_long_balls_pct,home_accurate_crosses,away_accurate_crosses,home_accurate_crosses_pct,away_accurate_crosses_pct,home_throws,away_throws,home_touches_in_opposition_box,away_touches_in_opposition_box,home_offsides,away_offsides,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_tackles_won,away_tackles_won,home_tackles_won_pct,away_tackles_won_pct,home_interceptions,away_interceptions,home_blocks,away_blocks,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_ground_duels_won,away_ground_duels_won,home_ground_duels_won_pct,away_ground_duels_won_pct,home_aerial_duels_won,away_aerial_duels_won,home_aerial_duels_won_pct,away_aerial_duels_won_pct,home_successful_dribbles,away_successful_dribbles,home_successful_dribbles_pct,away_successful_dribbles_pct,fotmob_id,stats_processed,player_stats_processed
5,2024-09-21 14:00:00,7,1794.24,3,1,39,1663.8,True,24-25-prem-aston-villa-vs-wolverhampton-wanderers,/matches/wolverhampton-wanderers-vs-aston-villa/2xtwe7#4506303,53,47,1.73,0.51,9,10,4,4,5,0,2,0,393,341,88,86,11,16,6,5,1.21,0.18,0.52,0.34,1.73,0.51,1.76,1.12,2,1,3,5,0,0,6,8,3,2,447,398,153,179,240,162,8,21,38,45,4,6,24,55,11,12,31,19,1,5,3,6,0,0,10,9,67,39,5,10,5,4,15,19,3,0,46,51,39,41,49,51,7,10,41,59,9,7,45,47,4506303.0,True,False
5,2024-09-22 13:00:00,36,1742.92,2,2,17,1674.19,True,24-25-prem-brighton-&-hove-albion-vs-nottingham-forest,/matches/nottingham-forest-vs-brighton-hove-albion/3fzdi8#4506304,70,30,1.0,1.42,14,4,3,3,2,2,1,0,475,169,88,69,12,11,9,1,0.73,0.63,0.28,0.0,1.0,0.63,1.09,1.68,4,0,7,1,0,0,8,4,6,0,542,245,187,117,288,52,17,14,53,24,9,0,21,0,25,16,31,14,0,4,3,4,0,1,5,8,42,44,7,8,1,7,9,48,2,1,49,45,31,35,47,53,18,10,64,36,10,8,59,73,4506304.0,True,False
5,2024-09-21 16:30:00,31,1741.47,0,0,1,1778.97,True,24-25-prem-crystal-palace-vs-manchester-united,/matches/crystal-palace-vs-manchester-united/3c42bz#4506305,33,67,1.01,1.7,9,15,4,6,3,5,3,5,221,547,71,86,7,12,4,11,0.96,0.82,0.05,0.88,1.01,1.7,0.52,1.9,3,5,2,4,0,3,7,11,2,4,313,639,133,307,88,240,24,14,38,30,6,3,43,13,9,31,16,33,1,0,3,2,0,0,10,8,45,57,13,9,3,2,30,14,7,4,50,45,37,27,58,42,13,18,42,58,4,7,40,47,4506305.0,True,False
5,2024-09-21 14:00:00,54,1717.25,3,1,4,1819.34,True,24-25-prem-fulham-vs-newcastle-united,/matches/fulham-vs-newcastle-united/3crcfp#4506306,39,61,2.29,1.54,22,16,11,5,5,1,3,1,283,506,82,90,16,8,6,0,1.85,1.22,0.45,0.32,2.29,1.54,3.17,1.04,9,8,2,3,1,0,18,12,4,4,344,560,111,302,172,204,12,18,29,50,7,4,41,33,14,19,38,21,1,6,6,0,0,0,9,5,47,56,6,10,3,2,21,15,4,8,37,47,31,31,50,50,6,16,27,73,4,7,36,58,4506306.0,True,False
5,2024-09-21 14:00:00,13,1644.27,1,1,11,1673.26,True,24-25-prem-leicester-city-vs-everton,/matches/leicester-city-vs-everton/2coib1#4506307,58,42,0.66,1.1,12,17,2,5,2,3,1,3,389,271,85,81,11,12,6,1,0.28,1.06,0.38,0.04,0.66,1.1,0.97,1.48,7,6,3,6,0,1,10,13,2,4,460,335,204,123,185,148,25,27,58,53,8,4,28,29,25,24,29,25,2,5,1,2,0,0,17,13,71,72,4,9,6,3,13,30,4,1,61,48,44,36,55,45,17,12,59,41,8,7,47,35,4506307.0,True,False
5,2024-09-21 14:00:00,14,1918.99,3,0,91,1700.78,True,24-25-prem-liverpool-vs-afc-bournemouth,/matches/liverpool-vs-afc-bournemouth/2he69q#4506308,59,41,2.06,1.08,19,19,13,6,4,2,2,2,519,332,89,85,10,12,3,9,2.03,0.71,0.03,0.38,2.06,1.08,3.84,1.53,3,9,3,4,1,1,14,12,5,7,584,389,299,175,220,157,24,24,59,52,2,4,25,17,19,19,33,32,0,3,1,4,0,0,14,11,70,55,6,7,4,4,21,16,7,9,56,46,47,40,54,46,9,6,60,40,16,11,76,48,4506308.0,True,False
5,2024-09-22 15:30:00,43,2060.82,2,2,3,1959.8,True,24-25-prem-manchester-city-vs-arsenal,/matches/manchester-city-vs-arsenal/2rhvvi#4506309,77,23,2.18,0.67,33,5,11,3,5,3,3,2,644,148,91,71,7,10,8,2,1.58,0.18,0.6,0.49,2.18,0.67,2.22,1.47,9,2,13,0,1,0,15,4,18,1,705,208,138,100,506,48,21,14,50,30,6,3,25,43,20,5,55,8,0,1,3,4,0,1,5,10,50,63,3,4,0,13,9,37,1,9,46,37,30,25,55,45,16,12,57,43,10,4,53,50,4506309.0,True,False
5,2024-09-21 14:00:00,20,1580.25,1,1,40,1577.66,True,24-25-prem-southampton-vs-ipswich-town,/matches/southampton-vs-ipswich-town/2sg232#4506310,54,46,2.49,1.69,11,13,3,6,4,2,3,2,428,350,87,86,16,16,2,10,2.38,0.92,0.11,0.77,2.49,1.69,1.23,3.05,5,4,3,3,1,0,9,8,2,5,492,409,280,181,148,169,15,17,42,55,0,5,0,22,10,14,23,24,3,1,4,4,0,0,7,8,44,47,15,13,3,2,33,15,5,2,50,59,41,41,50,50,9,18,33,67,10,8,67,50,4506310.0,True,False
5,2024-09-21 14:00:00,6,1789.86,3,1,94,1723.86,True,24-25-prem-tottenham-hotspur-vs-brentford,/matches/tottenham-hotspur-vs-brentford/2u5c8b#4506311,48,52,3.52,0.8,23,6,10,6,7,2,5,2,355,393,82,80,11,9,9,4,3.41,0.74,0.11,0.06,3.52,0.8,1.98,1.54,3,0,10,0,0,0,19,5,4,1,434,489,132,271,223,122,20,37,65,49,4,1,17,8,18,16,61,18,1,2,3,1,0,0,11,16,61,59,17,11,0,10,20,26,5,6,50,53,37,46,45,55,13,7,65,35,11,8,50,50,4506311.0,True,False
5,2024-09-21 11:30:00,21,1735.19,0,3,8,1825.51,True,24-25-prem-west-ham-united-vs-chelsea,/matches/chelsea-vs-west-ham-united/2f5ck5#4506312,53,47,0.85,2.19,15,12,7,5,0,5,0,2,444,393,89,87,17,9,6,5,0.65,2.19,0.2,0.0,0.85,2.19,0.82,2.73,3,4,5,3,0,0,8,11,7,1,498,454,212,282,232,111,20,23,57,49,6,3,21,38,9,8,36,32,2,1,5,2,0,0,6,9,38,47,8,8,3,5,10,34,2,7,43,52,33,42,44,56,10,10,50,50,9,6,45,55,4506312.0,True,False
