player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
17,24-25-prem-arsenal-vs-wolverhampton-wanderers,80,1,1,5,0.35,0.37,3,0,1,15,44,18,90.0,5.0,1,2,40.0,0,0.0,2,0,4,0,1,0,0,4,5,4,44.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,1
4,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,1,1,5,0.45,0.04,1,1,0,10,44,14,78.0,2.0,2,0,0.0,1,100.0,1,1,1,0,2,0,2,8,11,5,45.0,3,38.0,3,2,0,0,0.0,0.0,0,0,0,1
15,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,41,23,72.0,0.0,0,0,0.0,5,36.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,0.19,0.19,0,23,5,1
20,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,1,0.06,0.06,0,0,0,0,50,33,89.0,4.0,1,0,0.0,0,0.0,2,0,3,0,3,0,0,6,4,6,60.0,0,0.0,3,3,0,0,0.0,0.0,0,0,0,1
9,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,1,0.08,0.19,0,2,0,11,36,17,81.0,3.0,0,1,50.0,0,0.0,1,0,3,0,0,0,2,9,6,7,58.0,2,67.0,3,1,0,0,0.0,0.0,0,0,0,1
18,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,72,54,87.0,0.0,2,0,0.0,0,0.0,3,1,1,0,3,3,0,7,1,4,80.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,1
16,24-25-prem-arsenal-vs-wolverhampton-wanderers,85,0,0,1,0.09,0.05,0,0,0,3,41,26,100.0,1.0,4,0,0.0,2,100.0,0,2,3,0,1,1,0,3,3,2,67.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,1
3,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,1,0.12,0.02,0,0,0,1,76,54,82.0,0.0,2,0,0.0,5,56.0,0,1,2,1,3,1,0,3,2,1,33.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,1
13,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,1,0.02,0.06,1,3,0,4,52,28,88.0,2.0,6,0,0.0,1,100.0,1,0,5,0,0,0,2,5,7,5,42.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,1
554,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,50,22,56.0,0.0,0,0,0.0,9,35.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,2,1.7,-0.3,1,22,9,1
25,24-25-prem-arsenal-vs-wolverhampton-wanderers,69,0,0,0,0.0,0.04,0,1,0,3,70,46,87.0,0.0,5,0,0.0,2,50.0,0,2,4,0,2,2,0,4,6,1,20.0,3,60.0,0,3,0,0,0.0,0.0,0,0,0,1
541,24-25-prem-arsenal-vs-wolverhampton-wanderers,33,0,0,1,0.06,0.02,1,0,0,1,17,8,100.0,1.0,1,1,100.0,0,0.0,1,0,2,0,2,0,0,4,2,4,80.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,1
557,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,0,0,0,54,32,84.0,0.0,5,0,0.0,3,50.0,0,5,5,3,2,1,1,5,3,3,60.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,1
24,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,2,0.07,0.06,1,0,0,0,53,32,80.0,0.0,9,0,0.0,1,33.0,1,1,1,0,0,0,1,1,6,1,20.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,1
543,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,2,0.08,0.01,0,1,0,2,55,26,79.0,0.0,3,0,0.0,1,100.0,2,1,2,0,3,3,0,5,2,4,100.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,1
533,24-25-prem-arsenal-vs-wolverhampton-wanderers,84,0,0,1,0.02,0.02,0,0,0,0,62,37,95.0,0.0,8,0,0.0,0,0.0,3,1,5,0,1,0,1,6,6,6,50.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,1
550,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.11,0,1,0,2,39,16,76.0,1.0,2,1,100.0,0,0.0,0,0,4,0,0,0,0,7,5,6,60.0,1,50.0,5,0,0,0,0.0,0.0,0,0,0,1
6,24-25-prem-arsenal-vs-wolverhampton-wanderers,21,0,0,1,0.02,0.01,0,2,0,3,16,6,86.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,4,2,2,50.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,1
558,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,0,0,0,56,39,85.0,1.0,11,1,100.0,0,0.0,2,0,3,2,0,0,0,8,4,5,71.0,3,60.0,2,2,0,0,0.0,0.0,0,0,0,1
23,24-25-prem-arsenal-vs-wolverhampton-wanderers,10,0,0,0,0.0,0.0,0,0,0,0,7,2,100.0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,1
553,24-25-prem-arsenal-vs-wolverhampton-wanderers,84,0,0,0,0.0,0.02,0,2,0,0,46,32,86.0,0.0,8,0,0.0,2,100.0,2,0,5,1,0,0,3,4,8,4,40.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,1
563,24-25-prem-arsenal-vs-wolverhampton-wanderers,75,0,0,1,0.05,0.01,0,1,0,4,26,10,67.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,2,4,4,2,40.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,1
566,24-25-prem-arsenal-vs-wolverhampton-wanderers,84,0,0,1,0.08,0.0,1,0,1,4,20,8,67.0,0.0,2,0,0.0,0,0.0,0,0,1,0,1,1,0,2,5,0,0.0,2,50.0,0,2,0,0,0.0,0.0,0,0,0,1
535,24-25-prem-arsenal-vs-wolverhampton-wanderers,57,0,0,1,0.07,0.0,0,0,0,0,28,14,88.0,0.0,1,0,0.0,1,100.0,1,0,2,0,0,0,1,4,9,4,40.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,1
562,24-25-prem-arsenal-vs-wolverhampton-wanderers,15,0,0,1,0.04,0.0,0,0,0,0,6,2,67.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
567,24-25-prem-arsenal-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,0,0,3,66,51,89.0,0.0,4,0,0.0,2,50.0,1,0,2,0,1,1,0,3,4,2,33.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,1
542,24-25-prem-arsenal-vs-wolverhampton-wanderers,6,0,0,0,0.0,0.0,0,0,0,0,5,3,100.0,0.0,1,0,0.0,1,100.0,0,0,2,0,1,1,0,1,1,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,1
565,24-25-prem-arsenal-vs-wolverhampton-wanderers,6,0,0,1,0.08,0.01,1,2,0,1,12,5,83.0,0.0,1,0,0.0,1,100.0,0,0,0,0,0,0,0,3,2,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
2,24-25-prem-arsenal-vs-wolverhampton-wanderers,5,0,0,0,0.0,0.0,0,0,0,0,7,4,100.0,0.0,0,0,0.0,0,0.0,1,0,2,0,0,0,1,1,3,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
537,24-25-prem-arsenal-vs-wolverhampton-wanderers,6,0,0,0,0.0,0.05,0,0,0,1,3,2,100.0,1.0,0,1,100.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
