player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
148,24-25-prem-everton-vs-brighton-&-hove-albion,90,1,1,2,0.2,0.04,1,1,0,4,30,16,89.0,2.0,3,0,0.0,1,100.0,1,1,1,1,0,0,1,3,6,3,43.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
136,24-25-prem-everton-vs-brighton-&-hove-albion,89,1,0,4,0.97,0.04,3,4,1,8,56,24,86.0,0.0,2,0,0.0,0,0.0,1,0,2,0,0,0,1,8,9,8,47.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,1
145,24-25-prem-everton-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,66,41,82.0,0.0,5,0,0.0,2,50.0,2,2,6,1,4,2,0,6,1,5,100.0,1,50.0,3,0,0,0,0.0,0.0,0,0,0,1
149,24-25-prem-everton-vs-brighton-&-hove-albion,90,0,1,0,0.0,0.02,0,0,0,0,88,63,88.0,1.0,3,0,0.0,2,67.0,3,0,8,0,2,1,0,5,11,5,38.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,1
135,24-25-prem-everton-vs-brighton-&-hove-albion,45,0,1,0,0.0,0.65,0,1,0,4,19,9,69.0,3.0,1,0,0.0,0,0.0,0,1,2,0,1,0,0,3,4,2,50.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,1
142,24-25-prem-everton-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,65,55,90.0,0.0,0,0,0.0,2,29.0,0,0,13,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.05,0.05,1,55,2,1
129,24-25-prem-everton-vs-brighton-&-hove-albion,82,0,0,1,0.03,0.02,0,0,0,3,29,9,56.0,1.0,1,0,0.0,0,0.0,1,1,1,0,0,0,0,6,2,4,67.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,1
113,24-25-prem-everton-vs-brighton-&-hove-albion,45,1,0,2,0.17,0.05,1,0,0,4,33,12,63.0,0.0,0,1,100.0,0,0.0,1,2,2,0,0,0,0,1,3,1,25.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
134,24-25-prem-everton-vs-brighton-&-hove-albion,82,0,0,0,0.0,0.11,0,0,0,2,48,28,85.0,3.0,2,2,29.0,1,33.0,2,0,0,2,0,0,0,4,2,4,80.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
126,24-25-prem-everton-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,1,82,47,84.0,0.0,6,1,33.0,5,56.0,0,1,5,0,3,2,2,1,2,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,1
