player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
328,24-25-prem-ipswich-town-vs-liverpool,90,1,1,4,0.7,0.15,3,0,1,11,46,25,76.0,2.0,1,0,0.0,3,100.0,0,0,1,0,1,1,0,1,5,1,17.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,1
310,24-25-prem-ipswich-town-vs-liverpool,90,0,0,0,0.0,0.0,0,0,0,0,53,41,85.0,0.0,0,0,0.0,4,40.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.24,0.24,0,41,4,1
327,24-25-prem-ipswich-town-vs-liverpool,90,0,0,3,0.46,0.38,0,5,1,11,53,29,85.0,3.0,2,0,0.0,2,100.0,1,0,6,0,1,1,0,8,8,6,46.0,2,67.0,0,3,0,0,0.0,0.0,0,0,0,1
311,24-25-prem-ipswich-town-vs-liverpool,77,0,0,1,0.06,1.0,0,0,0,1,61,32,70.0,3.0,9,2,50.0,5,36.0,0,0,7,0,1,0,1,2,1,2,67.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,1
336,24-25-prem-ipswich-town-vs-liverpool,90,0,0,3,0.15,0.24,0,1,0,4,61,42,91.0,3.0,3,0,0.0,2,100.0,0,0,4,0,1,0,0,4,4,3,60.0,1,33.0,1,2,0,0,0.0,0.0,0,0,0,1
317,24-25-prem-ipswich-town-vs-liverpool,79,1,0,3,0.95,0.04,1,1,1,11,32,8,57.0,0.0,2,1,100.0,2,67.0,0,1,3,0,1,1,0,6,7,3,38.0,3,60.0,1,0,0,0,0.0,0.0,0,0,0,1
323,24-25-prem-ipswich-town-vs-liverpool,90,0,0,0,0.0,0.39,0,1,0,0,71,51,86.0,0.0,9,0,0.0,2,100.0,1,0,2,0,0,0,0,6,6,5,45.0,1,100.0,1,5,0,0,0.0,0.0,0,0,0,1
329,24-25-prem-ipswich-town-vs-liverpool,90,0,0,2,0.1,0.06,0,1,0,2,68,42,86.0,0.0,6,0,0.0,4,100.0,0,0,6,0,1,0,1,5,9,3,27.0,2,67.0,2,1,0,0,0.0,0.0,0,0,0,1
339,24-25-prem-ipswich-town-vs-liverpool,90,0,0,0,0.0,0.01,0,0,0,2,89,80,94.0,0.0,7,0,0.0,5,71.0,0,1,1,0,2,0,0,3,1,0,0.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,1
333,24-25-prem-ipswich-town-vs-liverpool,45,0,0,0,0.0,0.0,0,0,0,0,35,25,89.0,0.0,0,0,0.0,0,0.0,2,1,0,1,3,3,0,4,4,2,50.0,2,50.0,0,2,0,0,0.0,0.0,0,0,0,1
