player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
383,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,34,16,70.0,0.0,0,0,0.0,2,22.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.92,0.92,2,16,2,1
368,24-25-prem-manchester-united-vs-fulham,90,0,0,3,0.16,0.5,0,0,0,3,81,43,81.0,3.0,5,1,33.0,2,100.0,2,1,7,1,4,3,2,7,6,5,56.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,1
594,24-25-prem-manchester-united-vs-fulham,81,0,0,0,0.0,0.01,0,0,0,0,55,35,92.0,0.0,7,0,0.0,0,0.0,2,3,5,0,2,2,0,6,1,3,100.0,3,75.0,1,0,0,0,0.0,0.0,0,0,0,1
378,24-25-prem-manchester-united-vs-fulham,84,0,0,1,0.03,0.01,0,4,0,0,66,37,90.0,0.0,4,0,0.0,3,100.0,3,5,6,0,0,0,1,13,12,11,55.0,2,40.0,4,3,0,0,0.0,0.0,0,0,0,1
369,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.02,0,1,0,0,70,45,87.0,0.0,1,0,0.0,3,75.0,1,1,6,1,3,0,0,6,4,4,67.0,2,50.0,1,2,0,0,0.0,0.0,0,0,0,1
255,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.01,0,0,0,1,64,25,76.0,0.0,3,0,0.0,2,67.0,6,2,7,0,6,3,1,10,4,8,73.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,1
377,24-25-prem-manchester-united-vs-fulham,81,0,0,0,0.0,0.01,0,1,0,0,72,50,83.0,0.0,8,0,0.0,2,40.0,0,3,5,1,5,3,0,6,3,1,33.0,5,83.0,0,2,0,0,0.0,0.0,0,0,0,1
380,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.02,0,0,0,0,70,54,89.0,1.0,8,0,0.0,4,67.0,2,3,2,0,2,1,2,3,4,3,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
240,24-25-prem-manchester-united-vs-fulham,89,0,0,0,0.0,0.16,0,0,0,1,62,31,74.0,6.0,5,5,42.0,1,25.0,0,0,9,0,0,0,2,5,7,3,38.0,2,50.0,3,2,0,0,0.0,0.0,0,0,0,1
366,24-25-prem-manchester-united-vs-fulham,90,0,0,6,1.19,0.03,3,1,2,3,73,42,84.0,0.0,6,0,0.0,4,67.0,1,0,6,0,0,0,2,3,6,3,43.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
389,24-25-prem-manchester-united-vs-fulham,29,1,0,1,0.07,0.0,1,0,0,1,12,8,89.0,0.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
372,24-25-prem-manchester-united-vs-fulham,29,0,1,2,0.68,0.09,0,0,1,3,20,9,90.0,2.0,0,1,100.0,0,0.0,1,0,2,0,1,1,1,3,4,2,40.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,1
248,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,48,27,69.0,0.0,0,0,0.0,3,21.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,2.07,1.07,0,27,3,1
249,24-25-prem-manchester-united-vs-fulham,89,0,0,0,0.0,0.01,0,0,0,0,55,40,89.0,0.0,3,0,0.0,1,100.0,2,1,8,0,1,1,2,4,2,4,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,1
364,24-25-prem-manchester-united-vs-fulham,61,0,0,0,0.0,0.13,0,1,0,3,41,26,90.0,1.0,1,1,50.0,0,0.0,1,2,6,0,0,0,0,2,3,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
243,24-25-prem-manchester-united-vs-fulham,26,0,0,0,0.0,0.05,0,2,0,2,21,15,94.0,1.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,3,3,3,60.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,1
239,24-25-prem-manchester-united-vs-fulham,78,0,0,3,0.1,0.02,0,4,0,4,41,14,70.0,0.0,1,0,0.0,0,0.0,0,0,6,0,0,0,1,10,10,7,44.0,3,75.0,2,3,0,0,0.0,0.0,0,0,0,1
245,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,45,28,80.0,0.0,4,0,0.0,5,71.0,3,0,0,1,5,4,0,4,0,4,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
385,24-25-prem-manchester-united-vs-fulham,90,0,0,0,0.0,0.11,0,0,0,4,44,22,76.0,1.0,3,0,0.0,1,50.0,0,1,4,0,1,0,0,2,7,1,13.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,1
19,24-25-prem-manchester-united-vs-fulham,64,0,0,0,0.0,0.0,0,0,0,0,36,20,77.0,0.0,3,0,0.0,0,0.0,1,2,3,0,0,0,0,3,0,2,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,1
257,24-25-prem-manchester-united-vs-fulham,90,0,0,2,0.09,0.0,1,0,0,1,47,18,75.0,0.0,2,0,0.0,1,50.0,0,3,6,0,1,1,2,2,5,2,40.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,1
382,24-25-prem-manchester-united-vs-fulham,61,0,0,1,0.3,0.03,1,0,1,5,27,11,73.0,2.0,1,0,0.0,0,0.0,1,0,1,0,0,0,0,5,6,4,40.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,1
251,24-25-prem-manchester-united-vs-fulham,78,0,0,2,0.11,0.0,1,1,0,5,22,5,83.0,2.0,1,0,0.0,0,0.0,0,1,2,0,1,0,0,6,9,2,40.0,4,40.0,1,0,0,0,0.0,0.0,0,0,0,1
247,24-25-prem-manchester-united-vs-fulham,90,0,0,1,0.04,0.15,0,1,0,4,48,18,72.0,0.0,5,1,33.0,0,0.0,3,0,5,0,1,1,0,5,10,5,42.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,1
259,24-25-prem-manchester-united-vs-fulham,12,0,0,0,0.0,0.01,0,0,0,2,9,5,83.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0,1,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,1
241,24-25-prem-manchester-united-vs-fulham,90,0,0,2,0.1,0.03,0,0,0,2,73,57,92.0,0.0,6,0,0.0,3,50.0,1,0,4,1,3,1,0,2,4,1,25.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,1
