player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
57,24-25-prem-west-ham-united-vs-aston-villa,90,0,1,2,0.18,0.24,0,1,0,0,69,46,90.0,3.0,5,1,50.0,0,0.0,2,2,5,0,1,1,0,5,3,5,63.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,1
233,24-25-prem-west-ham-united-vs-aston-villa,90,1,0,1,0.55,0.01,1,1,0,1,51,30,97.0,0.0,1,0,0.0,2,100.0,1,2,6,0,3,3,0,10,7,7,78.0,3,38.0,3,1,0,0,0.0,0.0,0,0,0,1
52,24-25-prem-west-ham-united-vs-aston-villa,90,0,0,0,0.0,0.01,0,1,0,0,70,47,84.0,0.0,9,0,0.0,0,0.0,4,0,1,2,3,2,0,5,0,5,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
47,24-25-prem-west-ham-united-vs-aston-villa,90,0,0,0,0.0,0.0,0,0,0,0,42,22,67.0,0.0,0,0,0.0,9,47.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,1,1.32,0.32,1,22,9,1
38,24-25-prem-west-ham-united-vs-aston-villa,28,1,0,2,0.38,0.0,1,1,1,3,25,9,75.0,0.0,2,0,0.0,0,0.0,1,0,0,0,0,0,0,7,4,4,57.0,3,75.0,2,0,0,0,0.0,0.0,0,0,0,1
28,24-25-prem-west-ham-united-vs-aston-villa,74,0,0,3,0.21,0.21,0,2,1,4,41,14,58.0,2.0,2,1,25.0,1,50.0,0,0,4,0,0,0,0,4,4,4,50.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,1
54,24-25-prem-west-ham-united-vs-aston-villa,90,0,0,2,0.21,0.08,1,1,0,3,38,19,83.0,2.0,3,0,0.0,0,0.0,1,0,6,1,1,1,0,4,4,3,50.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,1
53,24-25-prem-west-ham-united-vs-aston-villa,28,0,1,1,0.06,0.13,0,1,0,2,17,12,100.0,1.0,0,0,0.0,1,100.0,0,0,5,0,0,0,1,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,1
44,24-25-prem-west-ham-united-vs-aston-villa,90,0,0,1,0.07,0.01,0,0,0,1,55,41,91.0,1.0,7,0,0.0,1,25.0,0,1,1,0,2,2,0,4,0,2,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,1
530,24-25-prem-west-ham-united-vs-aston-villa,90,0,0,5,1.1,0.12,0,0,2,9,28,10,67.0,2.0,0,0,0.0,0,0.0,1,1,1,0,1,1,2,9,5,3,50.0,6,75.0,1,0,0,0,0.0,0.0,0,0,0,1
