player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
366,24-25-prem-manchester-united-vs-chelsea,90,1,0,4,1.27,0.1,1,1,1,4,75,32,68.0,4.0,7,1,14.0,0,0.0,3,1,6,0,2,1,4,10,9,9,56.0,1,33.0,4,1,0,0,0.0,0.0,0,0,0,10
157,24-25-prem-manchester-united-vs-chelsea,90,1,0,1,0.03,0.04,1,2,0,2,61,37,84.0,1.0,4,0,0.0,2,67.0,2,1,4,0,2,0,3,9,8,8,50.0,1,100.0,3,3,0,0,0.0,0.0,0,0,0,10
594,24-25-prem-manchester-united-vs-chelsea,90,0,0,0,0.0,0.02,0,5,0,2,63,33,92.0,0.0,6,0,0.0,0,0.0,4,2,4,1,2,1,2,13,3,13,81.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,10
189,24-25-prem-manchester-united-vs-chelsea,90,0,0,0,0.0,0.0,0,1,0,2,76,49,84.0,0.0,0,0,0.0,1,50.0,3,2,2,1,6,2,0,11,4,6,67.0,5,83.0,2,3,0,0,0.0,0.0,0,0,0,10
182,24-25-prem-manchester-united-vs-chelsea,90,0,0,3,0.23,0.28,0,4,0,4,55,29,85.0,3.0,5,1,13.0,3,60.0,0,0,5,0,0,0,1,9,2,9,90.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,10
172,24-25-prem-manchester-united-vs-chelsea,90,0,0,0,0.0,0.17,0,1,0,0,98,73,89.0,0.0,13,0,0.0,5,63.0,1,0,6,0,2,1,0,8,2,3,75.0,5,83.0,1,0,0,0,0.0,0.0,0,0,0,10
180,24-25-prem-manchester-united-vs-chelsea,90,0,0,1,0.08,0.05,1,1,0,5,29,12,80.0,1.0,0,0,0.0,0,0.0,1,0,1,1,2,2,0,6,3,5,83.0,1,33.0,3,0,0,0,0.0,0.0,0,0,0,10
174,24-25-prem-manchester-united-vs-chelsea,71,0,0,0,0.0,0.02,0,3,0,0,52,31,82.0,1.0,8,0,0.0,0,0.0,1,0,2,0,1,0,2,9,6,7,54.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,10
369,24-25-prem-manchester-united-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,59,33,80.0,0.0,4,0,0.0,5,50.0,2,1,4,1,2,2,0,5,2,4,67.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,10
375,24-25-prem-manchester-united-vs-chelsea,84,0,0,0,0.0,0.02,0,1,0,1,29,10,83.0,2.0,1,1,100.0,0,0.0,0,0,4,0,1,0,1,7,10,6,43.0,1,33.0,5,2,0,0,0.0,0.0,0,0,0,10
162,24-25-prem-manchester-united-vs-chelsea,90,0,0,1,0.01,0.27,0,0,0,2,81,60,88.0,0.0,2,0,0.0,1,17.0,1,3,4,1,1,1,0,4,5,2,40.0,2,50.0,1,2,0,0,0.0,0.0,0,0,0,10
560,24-25-prem-manchester-united-vs-chelsea,90,0,0,2,0.06,0.01,1,2,0,4,46,20,87.0,0.0,1,0,0.0,1,50.0,0,0,7,0,0,0,0,8,5,8,62.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,10
380,24-25-prem-manchester-united-vs-chelsea,90,0,0,0,0.0,0.0,0,1,0,0,73,56,88.0,0.0,2,0,0.0,1,25.0,0,2,4,1,2,1,0,3,4,3,50.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,10
177,24-25-prem-manchester-united-vs-chelsea,71,0,0,2,0.53,0.03,0,1,1,2,34,16,80.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,2,2,6,2,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,10
368,24-25-prem-manchester-united-vs-chelsea,90,0,0,1,0.02,0.21,0,0,0,0,66,33,79.0,0.0,8,0,0.0,2,29.0,2,2,6,0,5,4,4,5,9,4,36.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,10
163,24-25-prem-manchester-united-vs-chelsea,45,0,0,1,0.04,0.02,0,0,0,1,25,14,82.0,1.0,2,0,0.0,1,100.0,1,0,1,0,0,0,1,3,2,2,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,10
