player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
434,24-25-prem-nottingham-forest-vs-west-ham-united,89,1,0,4,0.27,0.15,2,0,0,6,66,48,96.0,4.0,2,0,0.0,2,100.0,1,1,6,0,0,0,1,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
422,24-25-prem-nottingham-forest-vs-west-ham-united,89,1,0,1,0.07,0.03,1,1,0,2,62,31,91.0,1.0,4,0,0.0,1,50.0,3,1,4,0,1,1,0,6,2,5,71.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,10
447,24-25-prem-nottingham-forest-vs-west-ham-united,79,1,0,2,0.78,0.01,1,0,0,2,26,13,76.0,0.0,1,0,0.0,0,0.0,0,0,2,1,1,0,0,2,2,0,0.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,10
26,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,1,1,0.03,0.58,0,2,0,3,80,46,85.0,1.0,6,0,0.0,3,75.0,0,1,4,0,3,1,3,3,8,2,22.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,10
423,24-25-prem-nottingham-forest-vs-west-ham-united,27,0,1,0,0.0,0.28,0,0,0,1,36,22,92.0,3.0,2,2,50.0,0,0.0,1,0,0,0,0,0,0,5,1,4,80.0,1,100.0,3,1,0,0,0.0,0.0,0,0,0,10
431,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.15,0.09,0,0,0,3,70,48,89.0,1.0,5,0,0.0,1,33.0,2,1,3,0,1,0,3,7,4,5,63.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,10
573,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.43,0.13,1,0,2,5,44,32,91.0,1.0,2,0,0.0,3,75.0,1,0,2,0,4,0,0,3,3,2,100.0,1,25.0,1,0,0,0,0.0,0.0,0,0,0,10
449,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.06,0.02,0,0,0,2,75,45,78.0,0.0,4,0,0.0,0,0.0,1,1,8,0,3,3,1,6,6,3,43.0,3,60.0,1,2,0,0,0.0,0.0,0,0,0,10
443,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,21,10,56.0,0.0,0,0,0.0,7,47.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.03,0.03,0,10,7,10
514,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.04,0.06,1,5,0,1,48,19,79.0,1.0,2,1,20.0,1,100.0,1,1,6,0,1,1,0,6,4,6,67.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,10
433,24-25-prem-nottingham-forest-vs-west-ham-united,63,0,0,1,0.16,0.09,0,1,0,3,46,33,89.0,1.0,8,0,0.0,2,100.0,1,1,1,0,0,0,0,4,2,4,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,10
388,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.03,0,2,0,1,48,27,84.0,0.0,7,0,0.0,2,67.0,0,4,5,0,2,1,1,2,2,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
436,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.08,0.03,0,0,0,1,57,36,80.0,1.0,8,0,0.0,4,44.0,0,0,3,0,5,3,1,3,3,1,33.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,10
432,24-25-prem-nottingham-forest-vs-west-ham-united,63,0,0,0,0.0,0.09,0,0,0,2,32,8,67.0,1.0,0,1,10.0,0,0.0,1,0,4,0,3,2,0,2,4,2,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,10
524,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.01,0,1,0,1,72,45,79.0,0.0,6,0,0.0,2,25.0,0,2,3,1,8,6,0,8,0,2,100.0,6,100.0,0,0,0,0,0.0,0.0,0,0,0,10
520,24-25-prem-nottingham-forest-vs-west-ham-united,79,0,0,0,0.0,0.13,0,0,0,1,44,16,73.0,0.0,3,1,33.0,0,0.0,1,1,5,1,3,2,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
576,24-25-prem-nottingham-forest-vs-west-ham-united,11,0,0,0,0.0,0.0,0,0,0,0,12,6,100.0,0.0,0,0,0.0,0,0.0,1,0,0,0,2,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
596,24-25-prem-nottingham-forest-vs-west-ham-united,27,0,0,0,0.0,0.01,0,1,0,2,9,4,67.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,1,1,4,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
521,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,38,18,58.0,0.0,0,0,0.0,3,20.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,3,2.86,-0.14,0,18,3,10
512,24-25-prem-nottingham-forest-vs-west-ham-united,45,0,0,1,0.03,0.01,0,0,0,2,13,6,75.0,1.0,1,0,0.0,1,100.0,0,0,2,0,0,0,0,1,3,0,0.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,10
654,24-25-prem-nottingham-forest-vs-west-ham-united,45,0,0,0,0.0,0.01,0,0,0,0,16,10,91.0,0.0,1,0,0.0,0,0.0,1,0,1,0,0,0,1,1,4,1,20.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,10
527,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,1,0.06,0.02,1,1,0,2,53,21,75.0,0.0,4,0,0.0,2,50.0,3,0,5,0,1,0,1,7,13,6,46.0,1,14.0,1,0,0,0,0.0,0.0,0,0,0,10
528,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,64,45,85.0,0.0,10,0,0.0,2,33.0,2,2,0,0,4,3,1,5,2,3,75.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,10
424,24-25-prem-nottingham-forest-vs-west-ham-united,11,0,0,1,0.1,0.0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
588,24-25-prem-nottingham-forest-vs-west-ham-united,45,0,0,0,0.0,0.01,0,0,0,0,26,17,74.0,0.0,3,0,0.0,0,0.0,0,0,0,1,1,1,1,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,10
587,24-25-prem-nottingham-forest-vs-west-ham-united,45,0,0,0,0.0,0.05,0,0,0,0,21,6,67.0,0.0,0,1,100.0,0,0.0,0,0,2,0,2,1,1,2,5,2,29.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,10
511,24-25-prem-nottingham-forest-vs-west-ham-united,45,0,0,0,0.0,0.01,0,0,0,0,29,15,60.0,0.0,3,0,0.0,0,0.0,0,0,2,0,1,1,0,4,3,2,40.0,2,100.0,2,3,0,0,0.0,0.0,0,0,0,10
591,24-25-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.0,0,1,0,1,77,57,90.0,0.0,6,0,0.0,2,40.0,2,1,2,0,4,2,0,6,5,4,57.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,10
620,24-25-prem-nottingham-forest-vs-west-ham-united,1,0,0,1,0.03,0.01,1,1,0,0,6,2,100.0,0.0,1,0,0.0,1,100.0,1,0,1,0,0,0,0,2,2,2,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,10
428,24-25-prem-nottingham-forest-vs-west-ham-united,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
