player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
82,24-25-prem-tottenham-hotspur-vs-aston-villa,90,2,0,5,1.52,0.0,3,0,0,7,19,3,60.0,0.0,1,0,0.0,0,0.0,1,0,0,0,0,0,1,6,4,3,60.0,3,60.0,1,0,0,0,0.0,0.0,0,0,0,10
491,24-25-prem-tottenham-hotspur-vs-aston-villa,90,1,0,1,0.59,0.03,1,1,0,6,37,12,67.0,0.0,1,0,0.0,0,0.0,1,1,3,0,0,0,1,4,4,4,57.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,10
503,24-25-prem-tottenham-hotspur-vs-aston-villa,56,0,1,0,0.0,0.54,0,2,0,0,40,22,88.0,2.0,2,2,50.0,0,0.0,0,0,4,0,0,0,2,6,7,6,46.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,10
499,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,4,0.1,0.09,1,0,0,0,79,59,92.0,0.0,12,0,0.0,1,50.0,0,2,13,1,3,1,1,3,6,2,29.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,10
54,24-25-prem-tottenham-hotspur-vs-aston-villa,69,1,0,2,0.75,0.02,1,2,0,1,27,11,79.0,2.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,5,3,5,83.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,10
492,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,1,0,0.0,0.37,0,1,0,3,42,12,71.0,3.0,3,0,0.0,0,0.0,1,1,2,1,0,0,3,5,9,5,36.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,10
498,24-25-prem-tottenham-hotspur-vs-aston-villa,61,0,0,0,0.0,0.04,0,1,0,0,49,37,95.0,1.0,11,0,0.0,2,50.0,1,4,3,0,0,0,2,7,6,4,57.0,3,50.0,2,1,0,0,0.0,0.0,0,0,0,10
495,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,2,0.04,0.02,0,0,0,2,68,29,76.0,0.0,8,0,0.0,3,50.0,1,1,6,0,4,2,1,3,2,2,50.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,10
505,24-25-prem-tottenham-hotspur-vs-aston-villa,82,0,0,0,0.0,0.16,0,0,0,2,46,31,97.0,2.0,3,0,0.0,0,0.0,2,2,2,0,2,0,1,3,6,3,33.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,10
480,24-25-prem-tottenham-hotspur-vs-aston-villa,56,0,0,3,0.07,0.02,0,0,0,0,48,30,88.0,0.0,5,0,0.0,1,50.0,0,2,7,0,1,1,1,5,4,3,43.0,2,100.0,0,3,0,0,0.0,0.0,0,0,0,10
497,24-25-prem-tottenham-hotspur-vs-aston-villa,26,0,1,0,0.0,0.49,0,0,0,2,13,7,100.0,2.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
53,24-25-prem-tottenham-hotspur-vs-aston-villa,81,0,0,1,0.03,0.0,0,3,0,1,41,21,88.0,0.0,0,0,0.0,0,0.0,1,3,5,1,1,1,0,6,3,6,67.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,10
486,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,0,0.0,0.01,0,0,0,0,67,53,90.0,0.0,4,0,0.0,1,25.0,0,1,2,1,1,0,0,2,2,1,100.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,10
32,24-25-prem-tottenham-hotspur-vs-aston-villa,60,0,0,0,0.0,0.0,0,0,0,0,39,22,88.0,0.0,4,0,0.0,0,0.0,2,1,2,0,1,1,0,6,0,6,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,10
508,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,0,0.0,0.0,0,0,0,0,23,15,100.0,0.0,0,0,0.0,1,100.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.98,-0.02,0,15,1,10
48,24-25-prem-tottenham-hotspur-vs-aston-villa,81,0,0,2,0.07,0.03,0,1,0,1,42,23,92.0,1.0,3,0,0.0,2,100.0,1,1,6,0,1,1,0,6,7,5,45.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,10
484,24-25-prem-tottenham-hotspur-vs-aston-villa,29,0,0,0,0.0,0.0,0,0,0,0,18,13,100.0,0.0,0,0,0.0,1,100.0,0,1,2,0,2,1,0,2,1,1,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,10
482,24-25-prem-tottenham-hotspur-vs-aston-villa,34,0,0,0,0.0,0.01,0,0,0,0,29,23,100.0,0.0,2,0,0.0,2,100.0,0,1,3,0,2,1,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
57,24-25-prem-tottenham-hotspur-vs-aston-villa,81,0,0,0,0.0,0.07,0,1,0,0,52,34,83.0,3.0,6,0,0.0,0,0.0,1,2,2,0,1,0,2,3,4,3,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,10
35,24-25-prem-tottenham-hotspur-vs-aston-villa,30,0,0,1,0.39,0.0,0,0,1,1,19,15,94.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,10
233,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,2,0.11,0.01,0,1,0,3,56,35,97.0,1.0,0,0,0.0,0,0.0,2,2,7,0,5,2,2,8,10,6,43.0,2,50.0,2,5,0,0,0.0,0.0,0,0,0,10
44,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,0,0.0,0.15,0,2,0,1,52,38,95.0,0.0,4,0,0.0,2,67.0,2,1,2,1,2,1,0,5,0,4,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,10
38,24-25-prem-tottenham-hotspur-vs-aston-villa,21,0,0,0,0.0,0.0,0,0,0,0,8,2,50.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,10
36,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,1,0.02,0.15,0,0,0,1,74,29,73.0,4.0,1,3,38.0,0,0.0,0,1,4,0,5,4,0,1,4,1,25.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
58,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,2,0.46,0.0,0,0,2,3,25,7,54.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,6,9,1,14.0,5,63.0,1,2,0,0,0.0,0.0,0,0,0,10
47,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,0,0.0,0.0,0,0,0,0,49,27,75.0,0.0,0,0,0.0,7,50.0,0,0,14,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,4,2.84,-1.16,0,27,7,10
52,24-25-prem-tottenham-hotspur-vs-aston-villa,90,0,0,0,0.0,0.02,0,4,0,0,63,41,82.0,0.0,4,0,0.0,3,43.0,1,0,3,0,4,2,0,5,2,5,83.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,10
494,24-25-prem-tottenham-hotspur-vs-aston-villa,8,1,0,1,0.12,0.02,1,0,0,0,7,5,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,1,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,10
28,24-25-prem-tottenham-hotspur-vs-aston-villa,9,0,0,1,0.02,0.0,0,0,0,2,9,4,67.0,0.0,0,0,0.0,1,100.0,0,0,1,0,0,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,10
42,24-25-prem-tottenham-hotspur-vs-aston-villa,9,0,0,0,0.0,0.01,0,0,0,0,16,11,92.0,0.0,3,0,0.0,1,50.0,1,0,1,0,0,0,0,3,2,3,75.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,10
569,24-25-prem-tottenham-hotspur-vs-aston-villa,9,0,0,0,0.0,0.0,0,0,0,1,5,4,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,10
489,24-25-prem-tottenham-hotspur-vs-aston-villa,8,0,0,0,0.0,0.0,0,0,0,0,6,3,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,10
