player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
366,24-25-prem-manchester-united-vs-leicester-city,90,1,1,2,0.23,0.17,1,0,1,3,70,39,76.0,7.0,7,1,20.0,2,67.0,4,1,4,0,1,0,0,6,6,4,57.0,2,40.0,0,2,0,0,0.0,0.0,0,0,0,11
364,24-25-prem-manchester-united-vs-leicester-city,90,0,1,4,0.28,0.02,1,4,0,6,50,19,73.0,1.0,0,0,0.0,0,0.0,2,2,7,0,1,1,1,10,4,8,67.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,11
383,24-25-prem-manchester-united-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,48,24,69.0,0.0,0,0,0.0,4,27.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,0.72,0.72,0,24,4,11
652,24-25-prem-manchester-united-vs-leicester-city,90,0,0,1,0.01,0.02,0,1,0,0,69,47,92.0,1.0,6,0,0.0,1,50.0,6,3,7,0,0,0,4,10,9,10,63.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,11
380,24-25-prem-manchester-united-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,95,71,88.0,0.0,10,0,0.0,1,14.0,1,1,7,0,3,1,0,6,0,4,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,11
570,24-25-prem-manchester-united-vs-leicester-city,90,0,0,1,0.01,0.04,1,12,0,0,57,15,68.0,0.0,1,0,0.0,0,0.0,0,0,7,0,1,1,0,20,8,18,69.0,2,100.0,5,2,0,0,0.0,0.0,0,0,0,11
594,24-25-prem-manchester-united-vs-leicester-city,90,0,0,1,0.02,0.23,0,2,0,1,64,32,86.0,1.0,2,2,67.0,0,0.0,2,0,4,0,2,2,3,9,4,7,70.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,11
309,24-25-prem-manchester-united-vs-leicester-city,90,0,0,1,0.03,0.04,1,0,0,0,80,65,93.0,0.0,9,0,0.0,4,67.0,2,0,10,1,2,0,0,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
372,24-25-prem-manchester-united-vs-leicester-city,33,1,0,2,0.06,0.01,1,0,0,2,20,6,67.0,0.0,0,0,0.0,0,0.0,1,0,5,0,1,1,0,1,5,1,20.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
368,24-25-prem-manchester-united-vs-leicester-city,79,0,0,1,0.06,0.01,0,0,0,1,61,34,89.0,1.0,3,1,50.0,1,100.0,5,0,4,0,2,2,4,9,10,7,44.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,11
285,24-25-prem-manchester-united-vs-leicester-city,90,0,0,0,0.0,0.01,0,1,0,0,82,61,88.0,1.0,9,0,0.0,0,0.0,1,2,9,1,0,0,1,3,4,3,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
300,24-25-prem-manchester-united-vs-leicester-city,70,0,0,3,0.55,0.01,2,1,1,6,38,21,88.0,1.0,3,0,0.0,0,0.0,1,1,2,1,0,0,2,7,5,3,43.0,4,80.0,0,0,0,0,0.0,0.0,0,0,0,11
