player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
403,24-25-prem-nottingham-forest-vs-newcastle-united,90,1,0,2,0.13,0.29,1,0,0,7,68,34,81.0,1.0,9,1,17.0,1,50.0,3,1,5,0,1,1,0,10,6,6,60.0,4,67.0,3,0,0,0,0.0,0.0,0,0,0,11
401,24-25-prem-nottingham-forest-vs-newcastle-united,89,1,1,3,0.55,0.24,1,0,1,6,47,25,89.0,3.0,5,0,0.0,2,100.0,0,0,3,0,0,0,0,3,10,1,11.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,11
432,24-25-prem-nottingham-forest-vs-newcastle-united,88,0,1,2,0.11,0.42,0,2,1,6,46,14,67.0,3.0,3,3,33.0,1,100.0,2,0,2,0,1,0,0,11,5,7,70.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,11
436,24-25-prem-nottingham-forest-vs-newcastle-united,90,1,0,2,0.19,0.05,1,0,0,1,55,29,78.0,0.0,8,0,0.0,3,50.0,3,1,2,1,9,4,0,6,1,4,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,11
410,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,1,0.22,0.13,0,1,0,2,58,42,88.0,1.0,7,0,0.0,2,100.0,2,0,4,0,0,0,0,7,3,5,71.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,11
417,24-25-prem-nottingham-forest-vs-newcastle-united,21,0,1,0,0.0,0.01,0,0,0,0,17,9,82.0,1.0,0,0,0.0,0,0.0,1,1,1,1,0,0,0,3,1,3,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,11
399,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.08,0,0,0,4,104,71,92.0,0.0,14,0,0.0,1,33.0,1,5,7,1,2,0,2,6,8,1,20.0,5,56.0,0,0,0,0,0.0,0.0,0,0,0,11
409,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.01,0,0,0,0,65,35,90.0,0.0,3,0,0.0,0,0.0,0,3,5,0,3,2,1,3,1,2,67.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,11
395,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,1,0.1,0.04,1,0,0,2,71,55,89.0,1.0,1,0,0.0,1,25.0,0,0,2,0,6,4,0,7,3,0,0.0,7,88.0,0,2,0,0,0.0,0.0,0,0,0,11
398,24-25-prem-nottingham-forest-vs-newcastle-united,80,0,0,2,0.23,0.39,1,0,0,2,54,31,82.0,3.0,2,2,40.0,1,33.0,0,1,3,0,0,0,1,2,4,2,33.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,11
392,24-25-prem-nottingham-forest-vs-newcastle-united,10,1,0,2,0.27,0.0,1,0,0,2,12,6,86.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
413,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,28,12,71.0,0.0,0,0,0.0,4,44.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,0.86,-0.14,0,12,4,11
415,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,1,0.02,0.01,0,1,0,1,75,50,86.0,0.0,12,0,0.0,4,44.0,0,2,5,1,6,4,1,2,5,1,25.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,11
431,24-25-prem-nottingham-forest-vs-newcastle-united,74,0,0,1,0.02,0.02,1,0,0,1,57,39,87.0,0.0,2,0,0.0,0,0.0,3,1,6,1,2,1,0,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
420,24-25-prem-nottingham-forest-vs-newcastle-united,69,0,0,2,0.06,0.13,0,0,0,6,49,24,83.0,3.0,3,1,33.0,0,0.0,1,0,4,0,1,1,0,2,6,2,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
596,24-25-prem-nottingham-forest-vs-newcastle-united,31,0,0,0,0.0,0.05,0,1,0,0,22,6,86.0,1.0,0,2,50.0,0,0.0,1,1,2,0,1,0,0,5,4,4,67.0,1,33.0,1,1,0,0,0.0,0.0,0,0,0,11
394,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,3,0.12,0.05,1,0,0,1,58,33,87.0,0.0,4,1,100.0,0,0.0,0,0,8,0,1,1,1,5,9,5,36.0,0,0.0,4,3,0,0,0.0,0.0,0,0,0,11
26,24-25-prem-nottingham-forest-vs-newcastle-united,88,0,0,0,0.0,0.0,0,1,0,0,52,16,64.0,0.0,6,0,0.0,0,0.0,2,3,4,1,5,2,0,5,3,5,83.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
449,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,1,0.11,0.03,1,0,0,2,56,39,91.0,2.0,5,0,0.0,1,100.0,3,0,3,0,2,1,1,9,8,6,50.0,3,60.0,2,5,0,0,0.0,0.0,0,0,0,11
422,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.06,0,1,0,3,65,35,78.0,0.0,8,0,0.0,1,25.0,2,1,7,0,0,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
433,24-25-prem-nottingham-forest-vs-newcastle-united,59,0,0,1,0.13,0.01,0,1,0,1,32,15,68.0,0.0,5,0,0.0,0,0.0,1,0,2,0,0,0,0,5,6,5,63.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,11
447,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.01,0,0,0,1,24,12,63.0,2.0,2,0,0.0,1,100.0,0,0,1,1,0,0,1,2,7,0,0.0,2,25.0,0,0,0,0,0.0,0.0,0,0,0,11
443,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,0,0.0,0.0,0,0,0,0,34,12,50.0,0.0,0,0,0.0,7,37.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,3,2.34,-0.66,0,12,7,11
573,24-25-prem-nottingham-forest-vs-newcastle-united,90,0,0,1,0.02,0.0,0,0,0,0,47,30,83.0,0.0,4,0,0.0,6,55.0,1,0,4,0,5,3,0,4,1,3,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,11
423,24-25-prem-nottingham-forest-vs-newcastle-united,31,0,0,0,0.0,0.01,0,0,0,0,30,18,86.0,0.0,3,0,0.0,2,100.0,1,0,4,0,0,0,0,1,5,1,17.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,11
620,24-25-prem-nottingham-forest-vs-newcastle-united,16,0,0,1,0.05,0.01,0,0,0,1,13,8,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,11
434,24-25-prem-nottingham-forest-vs-newcastle-united,59,0,0,0,0.0,0.01,0,0,0,0,26,19,86.0,0.0,2,0,0.0,1,33.0,0,0,4,0,0,0,0,0,4,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,11
531,24-25-prem-nottingham-forest-vs-newcastle-united,2,0,0,0,0.0,0.0,0,0,0,0,8,6,86.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
424,24-25-prem-nottingham-forest-vs-newcastle-united,2,0,0,0,0.0,0.0,0,0,0,1,1,1,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
590,24-25-prem-nottingham-forest-vs-newcastle-united,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
