player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
568,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,60,14,44.0,0.0,0,0,0.0,11,39.0,0,0,17,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,1.43,0.43,0,14,11,11
480,24-25-prem-tottenham-hotspur-vs-ipswich-town,84,1,0,3,0.25,0.04,1,1,0,2,75,46,85.0,0.0,7,0,0.0,0,0.0,3,3,6,0,0,0,1,11,7,9,69.0,2,40.0,1,3,0,0,0.0,0.0,0,0,0,11
268,24-25-prem-tottenham-hotspur-vs-ipswich-town,70,1,1,1,0.88,0.04,1,1,0,3,19,5,71.0,2.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,2,12,2,25.0,0,0.0,1,5,0,0,0.0,0.0,0,0,0,11
267,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,0,1,0.04,0.15,0,2,0,2,50,20,71.0,2.0,2,2,67.0,4,67.0,0,1,6,0,6,2,0,5,2,4,67.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,11
495,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,1,0,0.0,0.17,0,1,0,1,99,47,77.0,4.0,15,3,25.0,5,38.0,1,2,7,0,0,0,1,4,7,4,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,11
611,24-25-prem-tottenham-hotspur-vs-ipswich-town,71,1,0,2,0.43,0.0,2,0,1,5,32,10,63.0,0.0,1,0,0.0,0,0.0,2,0,3,0,1,0,1,3,4,2,40.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,11
499,24-25-prem-tottenham-hotspur-vs-ipswich-town,66,0,0,0,0.0,0.05,0,2,0,0,67,46,88.0,1.0,9,0,0.0,4,100.0,0,4,5,0,0,0,0,8,5,5,63.0,3,60.0,3,0,0,0,0.0,0.0,0,0,0,11
274,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,0,1,0.07,0.05,0,5,0,3,56,23,88.0,1.0,2,0,0.0,0,0.0,1,2,4,0,0,0,3,12,11,10,50.0,2,67.0,4,0,0,0,0.0,0.0,0,0,0,11
630,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,0,1,0.07,0.01,0,0,0,4,39,16,70.0,0.0,3,0,0.0,1,17.0,2,0,2,3,9,5,1,5,4,2,50.0,3,60.0,0,1,0,0,0.0,0.0,0,0,0,11
263,24-25-prem-tottenham-hotspur-vs-ipswich-town,90,0,0,1,0.11,0.02,0,0,1,1,43,19,66.0,0.0,8,0,0.0,3,30.0,0,2,0,0,10,6,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
