player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
235,24-25-prem-west-ham-united-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,46,21,62.0,0.0,0,0,0.0,10,43.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,0,1.21,1.21,1,21,10,11
232,24-25-prem-west-ham-united-vs-everton,90,0,0,2,0.07,0.03,1,7,0,4,67,28,78.0,0.0,4,1,100.0,2,100.0,2,2,10,0,0,0,0,12,5,12,75.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
521,24-25-prem-west-ham-united-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,35,11,50.0,0.0,0,0,0.0,5,31.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.53,0.53,0,11,5,11
236,24-25-prem-west-ham-united-vs-everton,90,0,0,1,0.06,0.01,1,1,0,2,67,44,83.0,0.0,6,0,0.0,5,56.0,1,2,6,2,5,3,0,8,3,3,75.0,5,71.0,0,1,0,0,0.0,0.0,0,0,0,11
238,24-25-prem-west-ham-united-vs-everton,90,0,0,2,0.07,0.06,0,0,0,0,81,29,63.0,2.0,13,3,38.0,3,30.0,1,1,2,0,3,1,1,7,2,6,75.0,1,100.0,3,1,0,0,0.0,0.0,0,0,0,11
524,24-25-prem-west-ham-united-vs-everton,90,0,0,0,0.0,0.01,0,0,0,0,61,34,69.0,0.0,9,0,0.0,3,30.0,0,0,6,0,10,7,0,5,2,0,0.0,5,71.0,0,0,0,0,0.0,0.0,0,0,0,11
520,24-25-prem-west-ham-united-vs-everton,90,0,0,1,0.04,0.02,0,0,0,0,72,32,78.0,1.0,7,1,33.0,1,50.0,2,0,5,0,2,1,0,6,3,5,63.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,11
219,24-25-prem-west-ham-united-vs-everton,90,0,0,0,0.0,0.02,0,0,0,0,53,32,76.0,0.0,6,0,0.0,2,40.0,0,1,2,1,3,1,0,5,5,3,75.0,2,33.0,0,0,0,0,0.0,0.0,0,0,0,11
514,24-25-prem-west-ham-united-vs-everton,90,0,0,3,0.1,0.19,1,4,0,6,56,18,72.0,1.0,6,0,0.0,1,100.0,0,2,4,0,1,1,2,8,10,8,53.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,11
220,24-25-prem-west-ham-united-vs-everton,75,0,0,4,0.17,0.05,1,0,0,4,33,10,59.0,1.0,2,1,100.0,0,0.0,1,1,2,0,0,0,0,6,4,3,75.0,3,50.0,1,1,0,0,0.0,0.0,0,0,0,11
217,24-25-prem-west-ham-united-vs-everton,86,0,0,1,0.17,0.04,0,1,0,3,40,32,91.0,3.0,2,0,0.0,0,0.0,0,0,3,0,0,0,0,1,2,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
231,24-25-prem-west-ham-united-vs-everton,90,0,0,2,0.03,0.01,0,0,0,1,74,34,74.0,1.0,13,0,0.0,0,0.0,0,0,4,0,2,1,1,4,3,1,25.0,3,100.0,0,2,0,0,0.0,0.0,0,0,0,11
222,24-25-prem-west-ham-united-vs-everton,90,0,0,2,0.06,0.26,0,0,0,3,84,49,78.0,3.0,10,2,100.0,1,20.0,2,0,5,0,1,1,3,4,9,3,25.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,11
651,24-25-prem-west-ham-united-vs-everton,90,0,0,1,0.04,0.36,0,0,0,3,47,36,90.0,1.0,9,0,0.0,1,100.0,1,0,3,0,0,0,0,5,4,5,83.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,11
388,24-25-prem-west-ham-united-vs-everton,67,0,0,0,0.0,0.01,0,0,0,0,53,27,77.0,0.0,3,0,0.0,0,0.0,0,1,3,0,7,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
527,24-25-prem-west-ham-united-vs-everton,90,0,0,1,0.01,0.28,0,1,0,2,86,50,81.0,3.0,7,0,0.0,4,67.0,0,0,8,0,3,2,2,3,11,2,20.0,1,25.0,1,3,0,0,0.0,0.0,0,0,0,11
587,24-25-prem-west-ham-united-vs-everton,83,0,0,1,0.28,0.16,1,1,1,2,41,17,74.0,2.0,2,1,25.0,1,50.0,1,0,3,1,0,0,0,4,5,4,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
530,24-25-prem-west-ham-united-vs-everton,90,0,0,0,0.0,0.11,0,0,0,1,57,45,88.0,0.0,12,0,0.0,3,75.0,1,0,2,0,2,1,3,7,7,3,50.0,4,50.0,1,0,0,0,0.0,0.0,0,0,0,11
