player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
541,24-25-prem-wolverhampton-wanderers-vs-southampton,89,1,1,2,0.06,0.42,1,2,0,6,34,15,88.0,2.0,4,1,100.0,3,100.0,0,1,3,0,0,0,1,4,6,4,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
565,24-25-prem-wolverhampton-wanderers-vs-southampton,45,1,0,1,0.97,0.02,1,1,0,2,19,6,67.0,0.0,1,0,0.0,0,0.0,1,0,2,0,1,0,0,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,11
557,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,1,1,0.02,0.01,0,1,0,1,33,17,77.0,1.0,5,0,0.0,1,33.0,2,1,4,0,2,0,2,3,4,3,43.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,11
567,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.03,0,1,0,0,60,32,82.0,1.0,4,0,0.0,1,25.0,3,0,6,0,6,2,0,4,2,4,67.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,11
559,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.05,0,1,0,0,40,19,86.0,1.0,1,0,0.0,0,0.0,1,1,3,0,5,3,0,5,3,3,60.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,11
623,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,3,0.22,0.17,0,1,0,1,76,42,82.0,2.0,6,1,13.0,2,67.0,2,0,6,0,0,0,1,6,4,6,60.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,11
533,24-25-prem-wolverhampton-wanderers-vs-southampton,89,0,0,1,0.09,0.08,0,4,0,5,48,21,75.0,0.0,1,0,0.0,1,50.0,2,0,7,0,1,0,0,9,9,9,60.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,11
608,24-25-prem-wolverhampton-wanderers-vs-southampton,45,0,0,1,0.03,0.01,0,3,0,1,36,15,83.0,0.0,5,1,33.0,0,0.0,1,0,6,0,0,0,0,10,1,9,90.0,1,100.0,5,0,0,0,0.0,0.0,0,0,0,11
542,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,53,35,92.0,0.0,2,0,0.0,6,75.0,0,0,2,2,7,6,0,4,2,3,100.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,11
553,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,1,0.05,0.01,1,1,0,1,43,19,63.0,0.0,3,0,0.0,1,50.0,0,2,3,0,2,1,2,1,5,1,17.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,11
467,24-25-prem-wolverhampton-wanderers-vs-southampton,45,0,0,0,0.0,0.18,0,1,0,3,43,23,79.0,2.0,1,1,20.0,1,100.0,0,1,1,1,1,0,0,4,0,3,100.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,11
564,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,39,27,87.0,0.0,1,0,0.0,0,0.0,0,0,4,1,3,1,0,3,2,2,100.0,1,33.0,1,1,0,0,0.0,0.0,0,0,0,11
554,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,29,10,43.0,0.0,0,0,0.0,2,13.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,10,2,11
476,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,0,0.0,0.02,0,1,0,1,89,61,92.0,0.0,12,0,0.0,1,100.0,2,1,4,2,2,1,3,7,7,6,55.0,1,33.0,2,1,0,0,0.0,0.0,0,0,0,11
566,24-25-prem-wolverhampton-wanderers-vs-southampton,73,0,0,1,0.04,0.0,1,0,0,1,15,6,67.0,0.0,1,0,0.0,0,0.0,0,2,1,0,0,0,3,1,5,0,0.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,11
455,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,1,0.01,0.02,0,1,0,0,126,118,97.0,0.0,10,0,0.0,2,67.0,0,0,5,0,1,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
452,24-25-prem-wolverhampton-wanderers-vs-southampton,73,0,0,0,0.0,0.01,0,1,0,1,44,29,85.0,0.0,3,0,0.0,0,0.0,1,0,4,0,0,0,2,4,4,4,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
535,24-25-prem-wolverhampton-wanderers-vs-southampton,45,0,0,1,0.03,0.0,0,1,0,3,20,4,80.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,5,5,5,56.0,0,0.0,4,2,0,0,0.0,0.0,0,0,0,11
188,24-25-prem-wolverhampton-wanderers-vs-southampton,30,0,0,0,0.0,0.01,0,1,0,0,27,19,79.0,0.0,2,0,0.0,0,0.0,0,0,4,0,0,0,0,1,2,1,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,11
470,24-25-prem-wolverhampton-wanderers-vs-southampton,17,0,0,0,0.0,0.0,0,0,0,1,5,2,50.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,1,0,0.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,11
463,24-25-prem-wolverhampton-wanderers-vs-southampton,60,0,0,0,0.0,0.19,0,0,0,2,65,47,89.0,1.0,5,1,100.0,0,0.0,0,0,2,0,1,0,2,2,4,2,33.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,11
548,24-25-prem-wolverhampton-wanderers-vs-southampton,17,0,0,0,0.0,0.0,0,0,0,0,5,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,11
474,24-25-prem-wolverhampton-wanderers-vs-southampton,30,0,0,1,0.05,0.01,0,0,0,1,33,20,95.0,0.0,2,0,0.0,1,100.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
584,24-25-prem-wolverhampton-wanderers-vs-southampton,17,0,0,1,0.12,0.0,0,0,0,1,8,1,33.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,11
461,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,1,0.17,0.02,0,0,1,3,119,106,93.0,0.0,9,0,0.0,4,57.0,1,1,3,0,0,0,0,3,3,1,50.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,11
453,24-25-prem-wolverhampton-wanderers-vs-southampton,90,0,0,1,0.05,0.04,0,0,0,4,40,24,86.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,1,3,5,3,38.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,11
