player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
222,24-25-prem-everton-vs-brentford,90,0,0,4,0.06,0.16,1,1,0,1,95,63,85.0,4.0,18,1,100.0,9,90.0,1,0,6,0,0,0,0,9,5,9,75.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,12
236,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.11,0,1,0,3,68,50,91.0,3.0,16,0,0.0,3,75.0,0,0,3,3,8,4,0,6,2,1,50.0,5,83.0,0,1,0,0,0.0,0.0,0,0,0,12
232,24-25-prem-everton-vs-brentford,90,0,0,3,0.14,0.23,0,4,0,11,58,33,87.0,4.0,2,1,50.0,1,50.0,0,0,4,0,0,0,0,6,0,6,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,12
235,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,34,17,74.0,0.0,0,0,0.0,2,25.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.38,0.38,1,17,2,12
231,24-25-prem-everton-vs-brentford,90,0,0,3,0.17,0.05,0,1,0,5,72,33,83.0,2.0,5,1,14.0,2,50.0,2,1,1,0,3,2,1,8,3,4,67.0,4,80.0,1,0,0,0,0.0,0.0,0,0,0,12
91,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,60,33,66.0,0.0,0,0,0.0,7,30.0,0,0,16,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,0.75,0.75,0,33,7,12
230,24-25-prem-everton-vs-brentford,90,0,0,5,0.16,0.17,1,2,0,1,80,43,96.0,3.0,4,7,44.0,3,100.0,0,0,12,0,0,0,1,2,9,2,22.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,12
98,24-25-prem-everton-vs-brentford,90,0,0,2,0.04,0.02,1,2,0,3,40,19,95.0,0.0,1,0,0.0,1,100.0,1,1,3,0,1,1,1,6,2,6,75.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,12
238,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.23,0,0,0,0,72,46,90.0,3.0,6,3,27.0,2,33.0,1,1,0,0,3,3,0,1,2,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,12
88,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,1,69,46,85.0,0.0,1,0,0.0,0,0.0,0,0,5,2,8,6,0,7,2,1,50.0,6,86.0,0,2,0,0,0.0,0.0,0,0,0,12
219,24-25-prem-everton-vs-brentford,90,0,0,1,0.03,0.02,0,0,0,2,64,48,92.0,0.0,11,0,0.0,3,60.0,1,1,5,0,5,4,1,2,4,1,50.0,1,25.0,0,0,0,0,0.0,0.0,0,0,0,12
95,24-25-prem-everton-vs-brentford,90,0,0,2,0.09,0.01,0,0,0,1,46,19,68.0,1.0,3,0,0.0,1,100.0,2,0,3,0,3,0,1,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,12
89,24-25-prem-everton-vs-brentford,72,0,0,1,0.05,0.16,0,2,0,1,44,17,71.0,1.0,5,0,0.0,1,33.0,3,1,3,0,0,0,1,7,5,6,55.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,12
104,24-25-prem-everton-vs-brentford,90,0,0,1,0.03,0.0,0,0,0,2,47,28,85.0,1.0,2,0,0.0,0,0.0,0,1,0,3,7,4,0,2,2,0,0.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,12
94,24-25-prem-everton-vs-brentford,86,0,0,0,0.0,0.03,0,0,0,0,48,29,81.0,1.0,4,1,100.0,4,67.0,1,0,4,1,3,1,0,2,2,2,67.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,12
220,24-25-prem-everton-vs-brentford,90,0,0,5,0.18,0.01,2,0,0,9,24,6,60.0,1.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,4,7,1,33.0,3,38.0,1,1,0,0,0.0,0.0,0,0,0,12
338,24-25-prem-everton-vs-brentford,90,0,0,1,0.07,0.01,0,0,0,1,45,25,86.0,0.0,6,0,0.0,1,50.0,1,0,2,2,3,2,2,1,7,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,12
577,24-25-prem-everton-vs-brentford,72,0,0,2,0.06,0.03,0,0,0,2,40,18,86.0,2.0,2,0,0.0,0,0.0,0,0,2,0,2,1,2,2,7,2,22.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,12
99,24-25-prem-everton-vs-brentford,90,0,0,0,0.0,0.12,0,1,0,5,45,13,72.0,2.0,2,1,25.0,1,100.0,1,0,4,0,3,2,0,9,11,6,46.0,3,43.0,1,1,0,0,0.0,0.0,0,0,0,12
106,24-25-prem-everton-vs-brentford,18,0,0,0,0.0,0.0,0,0,0,0,6,1,50.0,0.0,0,0,0.0,0,0.0,1,0,0,0,2,0,0,2,1,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,12
217,24-25-prem-everton-vs-brentford,72,0,0,0,0.0,0.03,0,0,0,1,40,28,85.0,0.0,1,0,0.0,2,67.0,0,0,2,0,1,1,0,2,4,1,25.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,12
218,24-25-prem-everton-vs-brentford,18,0,0,4,0.38,0.0,1,1,1,5,12,3,75.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,3,3,2,67.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,12
110,24-25-prem-everton-vs-brentford,72,0,0,2,0.82,0.01,1,0,2,1,19,11,85.0,1.0,3,0,0.0,1,100.0,0,0,1,0,0,0,1,3,4,0,0.0,3,60.0,0,1,0,0,0.0,0.0,0,0,0,12
651,24-25-prem-everton-vs-brentford,18,0,0,0,0.0,0.01,0,0,0,0,21,17,89.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,12
101,24-25-prem-everton-vs-brentford,41,0,0,0,0.0,0.0,0,0,0,0,29,24,89.0,1.0,3,0,0.0,2,67.0,1,0,2,1,0,0,3,2,4,1,20.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,12
111,24-25-prem-everton-vs-brentford,4,0,0,0,0.0,0.0,0,0,0,0,6,2,67.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,12
