player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
494,24-25-prem-manchester-city-vs-tottenham-hotspur,89,2,0,2,0.79,0.03,2,2,0,2,66,42,89.0,0.0,1,0,0.0,2,67.0,2,1,5,1,2,0,2,9,5,9,69.0,0,0.0,5,0,0,0,0.0,0.0,0,0,0,12
508,24-25-prem-manchester-city-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,69,47,87.0,0.0,0,0,0.0,2,22.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,1.1,1.1,0,47,2,12
492,24-25-prem-manchester-city-vs-tottenham-hotspur,90,0,1,1,0.12,0.47,1,4,1,5,34,16,84.0,3.0,2,1,20.0,1,100.0,1,0,4,0,0,0,0,7,1,6,100.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,12
495,24-25-prem-manchester-city-vs-tottenham-hotspur,90,1,0,1,0.31,0.01,1,1,0,1,52,23,72.0,0.0,4,1,50.0,0,0.0,0,0,6,2,7,4,1,3,3,2,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,12
491,24-25-prem-manchester-city-vs-tottenham-hotspur,27,1,0,2,1.13,0.0,1,1,1,3,11,3,100.0,0.0,0,0,0.0,1,100.0,1,0,2,0,0,0,0,3,0,3,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,12
503,24-25-prem-manchester-city-vs-tottenham-hotspur,63,0,1,1,0.02,0.16,1,0,0,3,49,30,75.0,2.0,0,1,50.0,1,100.0,0,0,4,0,2,1,0,1,1,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,12
625,24-25-prem-manchester-city-vs-tottenham-hotspur,90,0,0,1,0.1,0.1,1,1,1,1,101,81,95.0,2.0,7,1,33.0,0,0.0,1,1,10,0,0,0,2,7,5,6,60.0,1,50.0,3,1,0,0,0.0,0.0,0,0,0,12
499,24-25-prem-manchester-city-vs-tottenham-hotspur,89,0,0,0,0.0,0.02,0,0,0,0,46,26,87.0,0.0,2,0,0.0,0,0.0,3,1,5,0,3,2,1,7,5,6,55.0,1,100.0,3,3,0,0,0.0,0.0,0,0,0,12
342,24-25-prem-manchester-city-vs-tottenham-hotspur,90,0,0,1,0.05,0.27,0,1,0,6,93,69,97.0,4.0,7,2,20.0,4,100.0,0,1,5,0,3,1,0,3,4,3,43.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,12
505,24-25-prem-manchester-city-vs-tottenham-hotspur,89,0,0,0,0.0,0.01,0,0,0,0,56,32,80.0,1.0,5,0,0.0,0,0.0,2,0,3,0,2,2,0,4,4,4,57.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,12
