player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
106,24-25-prem-brentford-vs-leicester-city,70,3,1,5,1.25,0.35,4,2,0,8,32,12,80.0,1.0,1,0,0.0,0,0.0,1,1,5,0,2,2,1,8,6,4,50.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,13
88,24-25-prem-brentford-vs-leicester-city,90,0,1,0,0.0,0.15,0,2,0,1,92,68,88.0,1.0,8,0,0.0,0,0.0,0,1,2,0,5,3,0,11,5,5,63.0,6,75.0,1,2,0,0,0.0,0.0,0,0,0,13
110,24-25-prem-brentford-vs-leicester-city,90,1,0,2,0.78,0.05,1,1,0,2,41,25,89.0,1.0,4,0,0.0,0,0.0,0,0,4,1,0,0,0,5,1,4,80.0,1,100.0,3,0,0,0,0.0,0.0,0,0,0,13
117,24-25-prem-brentford-vs-leicester-city,64,1,0,2,0.78,0.02,2,0,0,3,29,10,71.0,1.0,5,0,0.0,2,50.0,1,2,8,0,0,0,4,3,8,3,27.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,13
89,24-25-prem-brentford-vs-leicester-city,70,0,1,4,0.18,0.39,0,1,0,5,52,29,78.0,1.0,7,0,0.0,1,33.0,0,1,1,0,2,1,0,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
101,24-25-prem-brentford-vs-leicester-city,70,0,0,1,0.14,0.02,0,0,0,2,59,39,85.0,0.0,11,0,0.0,1,25.0,4,1,5,0,2,0,0,7,0,7,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
338,24-25-prem-brentford-vs-leicester-city,83,0,0,0,0.0,0.03,0,1,0,1,63,42,86.0,1.0,9,0,0.0,2,100.0,0,1,5,0,1,0,0,5,3,2,67.0,3,60.0,0,2,0,0,0.0,0.0,0,0,0,13
306,24-25-prem-brentford-vs-leicester-city,64,0,1,0,0.0,0.52,0,1,0,3,19,10,77.0,1.0,0,0,0.0,0,0.0,0,0,0,0,1,1,1,5,4,1,20.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,13
98,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.19,0,1,0,3,70,48,89.0,1.0,9,0,0.0,1,25.0,0,0,6,0,3,1,1,4,6,2,29.0,2,67.0,1,2,0,0,0.0,0.0,0,0,0,13
94,24-25-prem-brentford-vs-leicester-city,48,0,0,0,0.0,0.02,0,1,0,0,50,35,85.0,0.0,4,0,0.0,0,0.0,0,0,2,1,1,1,0,3,1,3,75.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
95,24-25-prem-brentford-vs-leicester-city,42,0,0,0,0.0,0.02,0,2,0,1,34,21,88.0,0.0,2,0,0.0,4,100.0,0,1,2,0,0,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
99,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.08,0,2,0,2,71,33,77.0,1.0,1,1,11.0,2,100.0,0,0,6,0,4,1,1,3,11,2,22.0,1,20.0,0,1,0,0,0.0,0.0,0,0,0,13
314,24-25-prem-brentford-vs-leicester-city,20,0,0,1,0.04,0.05,1,1,0,0,31,17,85.0,0.0,2,1,100.0,0,0.0,1,1,4,0,0,0,0,5,4,5,71.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,13
91,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,41,29,85.0,0.0,0,0,0.0,3,43.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.14,0.14,0,29,3,13
307,24-25-prem-brentford-vs-leicester-city,55,0,0,0,0.0,0.01,0,0,0,0,43,31,89.0,0.0,4,0,0.0,2,100.0,0,1,1,0,4,1,0,6,1,3,75.0,3,100.0,1,1,0,0,0.0,0.0,0,0,0,13
295,24-25-prem-brentford-vs-leicester-city,90,0,0,1,0.13,0.02,0,0,0,1,45,15,68.0,0.0,1,1,33.0,1,25.0,3,1,1,0,0,0,2,9,5,5,63.0,4,67.0,2,1,0,0,0.0,0.0,0,0,0,13
111,24-25-prem-brentford-vs-leicester-city,20,0,0,0,0.0,0.02,0,0,0,2,27,18,86.0,1.0,3,0,0.0,2,100.0,1,1,2,0,0,0,2,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
298,24-25-prem-brentford-vs-leicester-city,26,0,0,1,0.05,0.12,1,4,0,1,31,13,87.0,1.0,0,1,33.0,0,0.0,1,0,3,0,0,0,1,5,7,5,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
501,24-25-prem-brentford-vs-leicester-city,26,0,0,0,0.0,0.01,0,0,0,0,13,7,100.0,0.0,2,0,0.0,0,0.0,0,2,0,0,1,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
104,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.02,0,0,0,3,92,56,82.0,1.0,7,0,0.0,2,33.0,1,0,2,1,6,2,2,6,6,4,57.0,2,40.0,1,0,0,0,0.0,0.0,0,0,0,13
285,24-25-prem-brentford-vs-leicester-city,64,0,0,0,0.0,0.02,0,1,0,0,44,34,85.0,0.0,7,0,0.0,1,33.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
290,24-25-prem-brentford-vs-leicester-city,10,0,0,0,0.0,0.0,0,0,0,0,9,5,71.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
192,24-25-prem-brentford-vs-leicester-city,80,0,0,1,0.06,0.13,0,0,0,1,37,19,95.0,0.0,0,0,0.0,0,0.0,0,2,7,0,1,1,0,3,12,1,13.0,2,29.0,2,1,0,0,0.0,0.0,0,0,0,13
300,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,54,32,82.0,0.0,3,0,0.0,2,40.0,1,0,7,1,2,1,3,3,10,2,18.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,13
293,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,49,13,34.0,0.0,0,0,0.0,4,14.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,4,3.54,-0.46,1,13,4,13
301,24-25-prem-brentford-vs-leicester-city,35,0,0,0,0.0,0.0,0,0,0,0,16,7,58.0,0.0,2,0,0.0,1,100.0,0,1,1,0,2,2,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
291,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,45,27,84.0,1.0,3,0,0.0,2,40.0,0,1,3,0,7,2,2,0,5,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,13
288,24-25-prem-brentford-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,0,43,27,84.0,0.0,6,0,0.0,3,75.0,1,0,0,2,7,4,0,2,3,1,50.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,13
105,24-25-prem-brentford-vs-leicester-city,7,0,0,0,0.0,0.01,0,0,0,0,12,9,100.0,0.0,2,0,0.0,1,100.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
