player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
122,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,1,0.02,0.36,0,0,0,1,91,55,87.0,5.0,6,7,47.0,0,0.0,1,0,3,1,2,1,0,5,1,2,67.0,3,100.0,0,0,0,0,0.0,0.0,0,0,0,13
467,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,1,0.02,0.09,0,2,0,3,70,35,81.0,1.0,5,0,0.0,1,25.0,2,0,1,2,1,0,0,9,1,9,90.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,13
472,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,75,51,93.0,0.0,2,0,0.0,1,33.0,2,0,3,1,13,4,1,4,1,2,67.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,13
518,24-25-prem-brighton-&-hove-albion-vs-southampton,66,1,0,1,0.08,0.0,1,0,0,1,29,20,91.0,0.0,2,0,0.0,0,0.0,1,0,2,0,1,1,2,4,7,3,30.0,1,100.0,1,5,0,0,0.0,0.0,0,0,0,13
618,24-25-prem-brighton-&-hove-albion-vs-southampton,88,0,0,6,0.43,0.01,0,2,0,8,31,5,50.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,1,10,8,9,64.0,1,25.0,4,1,0,0,0.0,0.0,0,0,0,13
128,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,0,0.0,0.15,0,0,0,0,87,70,92.0,1.0,5,1,100.0,0,0.0,0,0,7,2,5,1,2,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
129,24-25-prem-brighton-&-hove-albion-vs-southampton,72,0,0,3,0.1,0.04,1,3,0,5,44,22,92.0,1.0,5,0,0.0,1,100.0,0,0,1,0,0,0,0,8,4,7,64.0,1,100.0,4,1,0,0,0.0,0.0,0,0,0,13
600,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,1,0.08,0.05,0,1,0,4,67,45,96.0,1.0,5,0,0.0,0,0.0,1,2,6,0,1,0,2,7,10,7,47.0,0,0.0,2,6,0,0,0.0,0.0,0,0,0,13
144,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,2,0.06,0.08,1,0,0,4,73,57,93.0,1.0,8,1,100.0,9,90.0,1,0,2,2,1,0,1,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
623,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,2,0.08,0.28,0,0,0,1,47,26,81.0,0.0,7,2,50.0,5,100.0,2,1,7,0,0,0,0,6,3,5,63.0,1,100.0,2,2,0,0,0.0,0.0,0,0,0,13
474,24-25-prem-brighton-&-hove-albion-vs-southampton,66,0,0,0,0.0,0.14,0,0,0,0,41,27,96.0,2.0,3,2,50.0,1,100.0,0,1,2,1,2,2,1,2,2,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,13
453,24-25-prem-brighton-&-hove-albion-vs-southampton,89,0,0,2,0.24,0.01,0,2,0,6,19,6,55.0,1.0,2,0,0.0,0,0.0,0,0,1,0,1,1,0,3,1,2,67.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,13
608,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,2,0.05,0.05,1,4,0,4,48,16,80.0,2.0,6,0,0.0,1,100.0,0,1,5,0,1,1,0,12,15,11,48.0,1,25.0,6,3,0,0,0.0,0.0,0,0,0,13
461,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,0,0.0,0.02,0,0,0,0,81,65,94.0,0.0,7,0,0.0,5,71.0,1,0,3,1,4,3,1,2,3,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,13
146,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,35,20,80.0,0.0,0,0,0.0,1,17.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.44,-0.56,0,20,1,13
120,24-25-prem-brighton-&-hove-albion-vs-southampton,18,0,0,1,0.1,0.02,0,0,0,1,33,29,97.0,0.0,3,0,0.0,2,100.0,0,0,3,0,2,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
397,24-25-prem-brighton-&-hove-albion-vs-southampton,24,0,0,0,0.0,0.0,0,1,0,1,20,10,100.0,0.0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
452,24-25-prem-brighton-&-hove-albion-vs-southampton,24,0,0,0,0.0,0.01,0,1,0,1,12,8,89.0,1.0,0,0,0.0,0,0.0,1,0,0,0,1,0,2,2,3,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
27,24-25-prem-brighton-&-hove-albion-vs-southampton,88,0,0,2,0.53,0.0,0,1,1,4,24,9,75.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,1,1,3,4,2,50.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,13
476,24-25-prem-brighton-&-hove-albion-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,77,58,94.0,0.0,3,0,0.0,3,75.0,0,0,3,1,4,1,1,6,7,5,50.0,1,33.0,3,3,0,0,0.0,0.0,0,0,0,13
148,24-25-prem-brighton-&-hove-albion-vs-southampton,79,0,0,2,0.19,0.06,0,1,1,5,21,9,100.0,0.0,0,0,0.0,0,0.0,0,0,2,0,1,1,0,2,4,2,33.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
629,24-25-prem-brighton-&-hove-albion-vs-southampton,72,0,0,2,0.04,0.41,1,0,0,5,32,17,85.0,0.0,2,0,0.0,0,0.0,1,0,3,0,1,0,1,2,3,2,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,13
149,24-25-prem-brighton-&-hove-albion-vs-southampton,18,0,0,1,0.08,0.01,0,0,0,1,24,15,88.0,0.0,2,0,0.0,2,100.0,0,0,2,0,1,0,0,3,4,0,0.0,3,75.0,0,3,0,0,0.0,0.0,0,0,0,13
