player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
385,24-25-prem-manchester-united-vs-everton,90,2,0,4,0.53,0.02,2,0,0,5,28,14,78.0,1.0,1,0,0.0,1,50.0,0,0,1,0,0,0,0,1,3,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
389,24-25-prem-manchester-united-vs-everton,90,2,0,2,0.31,0.08,2,0,0,4,45,27,87.0,2.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,2,9,1,13.0,1,33.0,1,2,0,0,0.0,0.0,0,0,0,13
383,24-25-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,42,33,94.0,0.0,0,0,0.0,1,33.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.16,0.16,0,33,1,13
369,24-25-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.03,0,1,0,2,61,36,88.0,0.0,1,0,0.0,5,83.0,2,2,8,0,1,1,0,4,5,4,44.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
368,24-25-prem-manchester-united-vs-everton,66,0,0,0,0.0,0.01,0,0,0,0,49,30,86.0,0.0,2,0,0.0,1,100.0,2,2,5,2,0,0,0,8,3,6,86.0,2,50.0,3,1,0,0,0.0,0.0,0,0,0,13
380,24-25-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.09,0,1,0,0,103,89,96.0,0.0,5,0,0.0,2,50.0,0,2,4,0,5,2,1,1,3,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
594,24-25-prem-manchester-united-vs-everton,56,0,0,0,0.0,0.01,0,0,0,0,77,58,87.0,0.0,7,0,0.0,5,56.0,1,1,5,0,0,0,1,4,4,2,33.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,13
230,24-25-prem-manchester-united-vs-everton,90,0,0,0,0.0,0.27,0,1,0,1,60,37,95.0,1.0,8,0,0.0,0,0.0,2,0,7,0,0,0,1,7,3,6,75.0,1,50.0,3,0,0,0,0.0,0.0,0,0,0,13
593,24-25-prem-manchester-united-vs-everton,56,0,0,0,0.0,0.0,0,0,0,0,70,62,95.0,0.0,0,0,0.0,0,0.0,0,1,0,0,2,2,0,2,0,1,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,13
378,24-25-prem-manchester-united-vs-everton,80,0,0,1,0.03,0.18,1,0,0,0,59,48,94.0,0.0,2,0,0.0,1,50.0,0,1,1,1,0,0,0,3,5,2,40.0,1,33.0,2,3,0,0,0.0,0.0,0,0,0,13
