player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
257,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,1,0.05,0.09,0,1,0,3,64,35,88.0,1.0,8,2,67.0,3,100.0,2,5,6,0,2,0,0,4,1,3,75.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,13
486,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,2,0.03,0.01,1,0,0,2,83,57,86.0,0.0,10,0,0.0,2,33.0,2,1,8,0,5,2,0,9,3,4,80.0,5,71.0,1,0,0,0,0.0,0.0,0,0,0,13
499,24-25-prem-tottenham-hotspur-vs-fulham,85,0,0,0,0.0,0.01,0,1,0,1,54,37,84.0,0.0,8,0,0.0,1,50.0,2,0,13,0,1,1,1,5,3,4,67.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,13
491,24-25-prem-tottenham-hotspur-vs-fulham,90,1,0,1,0.29,0.01,1,0,0,3,35,19,68.0,0.0,2,0,0.0,1,100.0,1,0,1,0,0,0,1,3,4,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
10,24-25-prem-tottenham-hotspur-vs-fulham,62,0,0,1,0.19,0.22,0,1,0,4,55,39,98.0,3.0,1,2,50.0,0,0.0,1,1,6,0,0,0,0,2,2,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
255,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,1,0.03,0.03,0,2,0,2,79,43,81.0,0.0,9,0,0.0,4,67.0,1,1,6,0,5,3,0,4,3,4,57.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,13
622,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,1,0.08,0.01,0,1,0,2,58,47,94.0,0.0,4,0,0.0,8,80.0,1,1,3,0,2,2,0,4,2,3,75.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,13
509,24-25-prem-tottenham-hotspur-vs-fulham,68,0,1,0,0.0,0.58,0,0,0,3,26,15,79.0,2.0,0,0,0.0,0,0.0,0,0,1,0,1,0,2,2,3,2,40.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,13
248,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,0,0.0,0.0,0,0,0,0,34,16,67.0,0.0,0,0,0.0,7,47.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.05,0.05,1,16,7,13
484,24-25-prem-tottenham-hotspur-vs-fulham,90,0,0,0,0.0,0.01,0,0,0,0,81,63,97.0,0.0,9,0,0.0,3,75.0,0,4,4,3,7,2,1,3,6,0,0.0,3,38.0,0,0,0,0,0.0,0.0,0,0,0,13
