player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
71,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,77,3,0,4,2.41,0.08,4,0,0,7,43,16,80.0,2.0,3,2,40.0,2,67.0,0,0,3,0,0,0,0,3,5,3,43.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,13
617,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,77,0,0,2,0.51,0.01,2,0,1,5,34,12,71.0,1.0,3,0,0.0,0,0.0,2,0,4,0,0,0,0,11,6,8,73.0,3,50.0,6,0,0,0,0.0,0.0,0,0,0,13
566,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,2,0,3,0.24,0.01,2,1,0,8,32,9,64.0,0.0,0,0,0.0,0,0.0,0,0,2,1,0,0,0,7,8,3,43.0,4,50.0,2,0,0,0,0.0,0.0,0,0,0,13
83,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,1,2,0.08,0.05,0,0,0,1,63,27,75.0,2.0,9,0,0.0,1,50.0,4,0,8,0,2,1,1,8,9,6,46.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,13
557,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,0,86,58,85.0,1.0,10,0,0.0,7,70.0,3,2,7,0,7,2,0,5,5,3,60.0,2,40.0,0,2,0,0,0.0,0.0,0,0,0,13
559,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,1,0.01,0.01,0,2,0,0,76,33,80.0,0.0,5,0,0.0,3,75.0,4,1,9,0,6,2,0,11,6,8,73.0,3,50.0,1,2,0,0,0.0,0.0,0,0,0,13
533,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,1,0.05,0.03,0,2,0,4,106,63,88.0,0.0,4,1,33.0,1,33.0,3,0,5,0,2,1,2,12,6,11,69.0,1,50.0,4,0,0,0,0.0,0.0,0,0,0,13
548,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,26,0,1,1,0.02,0.11,1,1,0,0,21,11,92.0,1.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
70,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,1,0,1,0.05,0.01,1,0,0,2,51,26,87.0,0.0,5,0,0.0,1,33.0,0,0,3,0,3,1,0,1,4,1,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,13
541,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,2,0.11,0.07,0,2,0,1,50,17,65.0,2.0,6,2,29.0,1,33.0,1,1,5,0,1,1,0,5,6,5,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,13
60,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,1,0.11,0.0,0,0,0,1,47,24,83.0,0.0,1,0,0.0,1,100.0,2,5,4,0,4,2,2,6,6,3,33.0,3,100.0,0,4,0,0,0.0,0.0,0,0,0,13
85,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,1,0,0,41,23,74.0,0.0,5,0,0.0,4,57.0,2,0,2,0,3,1,0,7,1,4,80.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,13
642,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,82,0,0,0,0.0,0.02,0,0,0,0,71,45,96.0,0.0,6,0,0.0,0,0.0,6,1,5,1,0,0,0,8,5,8,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
535,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,64,0,1,0,0.0,0.1,0,0,0,1,29,20,83.0,1.0,0,1,50.0,0,0.0,0,0,1,0,1,1,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
62,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,64,0,0,0,0.0,0.02,0,1,0,0,24,9,75.0,1.0,1,0,0.0,0,0.0,0,1,5,0,0,0,1,3,5,3,38.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
63,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,1,0.02,0.02,1,0,0,0,63,40,87.0,0.0,8,0,0.0,0,0.0,1,0,6,0,2,1,1,3,3,3,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
79,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,82,0,0,0,0.0,0.01,0,0,0,1,52,32,76.0,1.0,6,0,0.0,8,62.0,2,1,5,1,3,1,2,2,7,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
563,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,45,0,0,0,0.0,0.03,0,1,0,2,29,15,75.0,1.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
81,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,38,15,65.0,0.0,5,0,0.0,1,14.0,0,0,4,1,2,0,1,2,1,2,67.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,13
76,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,13,0,0,0,0.0,0.04,0,0,0,0,12,5,83.0,0.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,4,1,4,80.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,13
542,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,45,0,0,0,0.0,0.0,0,0,0,0,44,35,83.0,0.0,3,0,0.0,3,43.0,0,0,2,0,1,0,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,13
567,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,64,0,0,1,0.02,0.02,0,0,0,1,67,55,92.0,0.0,9,0,0.0,3,43.0,0,0,2,0,2,1,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,13
553,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,1,0.02,0.08,0,0,0,1,74,51,89.0,0.0,5,0,0.0,5,83.0,1,0,7,0,0,0,1,5,8,5,38.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,13
152,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,37,23,72.0,0.0,0,0,0.0,6,40.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,2,1.22,-0.78,1,23,6,13
655,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,26,0,0,0,0.0,0.0,0,0,0,0,13,4,67.0,0.0,1,0,0.0,0,0.0,0,1,2,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
74,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,26,0,0,0,0.0,0.0,0,1,0,0,16,3,43.0,0.0,0,0,0.0,0,0.0,1,0,3,0,0,0,1,3,6,2,29.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,13
65,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,13,0,0,1,0.1,0.0,0,0,0,2,17,4,67.0,0.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,3,4,1,20.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,13
554,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,35,20,77.0,0.0,0,0,0.0,2,25.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,4,3.33,-0.67,2,20,2,13
550,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,8,0,0,0,0.0,0.0,0,0,0,0,7,4,80.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,13
580,24-25-prem-wolverhampton-wanderers-vs-afc-bournemouth,8,0,0,0,0.0,0.29,0,0,0,1,8,6,86.0,1.0,1,0,0.0,0,0.0,0,1,1,0,0,0,0,0,1,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,13
