player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
580,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,1,0,1,0.39,0.01,1,0,0,1,43,16,67.0,0.0,7,0,0.0,3,33.0,2,1,1,1,10,4,0,5,0,4,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,14
60,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,2,0.91,0.04,1,0,1,3,47,18,82.0,2.0,4,0,0.0,0,0.0,5,3,7,1,2,0,2,11,8,9,53.0,2,100.0,2,5,0,0,0.0,0.0,0,0,0,14
152,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,0,0,0,33,9,41.0,0.0,0,0,0.0,7,35.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,0.37,0.37,0,9,7,14
70,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,0,0.0,0.09,0,1,0,1,54,13,62.0,2.0,7,2,100.0,1,20.0,2,3,4,0,5,1,0,5,1,5,83.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,14
505,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,0,0.0,0.04,0,2,0,2,78,43,90.0,0.0,7,0,0.0,2,67.0,5,1,7,0,1,0,1,13,3,10,83.0,3,75.0,2,0,0,0,0.0,0.0,0,0,0,14
83,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,85,0,1,4,0.43,0.28,1,1,1,3,45,19,73.0,3.0,4,2,50.0,1,50.0,1,0,9,0,0,0,2,4,8,4,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,14
63,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,77,0,0,1,0.07,0.06,0,0,0,1,38,12,63.0,2.0,5,0,0.0,0,0.0,0,5,7,1,0,0,1,2,6,2,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,14
482,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,80,0,0,1,0.03,0.05,0,1,0,0,79,49,80.0,1.0,12,0,0.0,1,17.0,4,1,7,0,0,0,1,7,5,7,64.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,14
489,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,1,0.02,0.01,1,2,0,0,72,35,80.0,0.0,9,0,0.0,1,33.0,1,1,4,1,2,1,1,5,2,5,71.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,14
494,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,80,0,0,1,0.35,0.22,0,0,1,2,70,39,83.0,2.0,6,1,20.0,2,100.0,1,1,6,0,1,0,0,7,5,7,58.0,0,0.0,6,1,0,0,0.0,0.0,0,0,0,14
85,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,90,0,0,0,0.0,0.0,0,1,0,0,28,15,79.0,0.0,4,0,0.0,3,50.0,0,3,4,0,3,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,14
71,24-25-prem-afc-bournemouth-vs-tottenham-hotspur,64,0,0,1,0.16,0.0,1,1,1,1,23,7,88.0,0.0,0,0,0.0,0,0.0,2,0,4,0,1,0,0,5,3,5,63.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,14
