player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
201,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,46,19,50.0,0.0,0,0,0.0,4,17.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.54,0.54,1,19,4,14
207,24-25-prem-ipswich-town-vs-crystal-palace,90,1,0,3,0.77,0.02,2,1,1,5,28,10,67.0,2.0,2,0,0.0,0,0.0,2,0,2,0,1,1,0,5,11,3,43.0,2,22.0,0,3,0,0,0.0,0.0,0,0,0,14
270,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,1,0.01,0.01,0,0,0,3,94,65,81.0,0.0,6,0,0.0,7,70.0,1,1,2,1,7,3,1,12,3,4,67.0,8,89.0,1,1,0,0,0.0,0.0,0,0,0,14
199,24-25-prem-ipswich-town-vs-crystal-palace,76,0,1,3,0.19,0.28,1,1,1,4,65,30,79.0,4.0,3,2,25.0,2,40.0,0,0,4,0,0,0,0,3,10,3,27.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,14
278,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,1,0.05,0.04,0,1,0,0,82,57,86.0,0.0,5,0,0.0,2,33.0,1,4,8,0,2,1,1,6,6,6,55.0,0,0.0,2,4,0,0,0.0,0.0,0,0,0,14
650,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,1,0.19,0.0,0,0,0,2,66,44,80.0,0.0,5,0,0.0,4,33.0,3,1,5,0,3,1,1,6,6,5,56.0,1,33.0,2,3,0,0,0.0,0.0,0,0,0,14
200,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,1,0.09,0.01,0,1,0,1,83,59,84.0,0.0,13,0,0.0,3,27.0,1,0,4,1,4,2,0,6,5,3,75.0,3,43.0,0,0,0,0,0.0,0.0,0,0,0,14
630,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,1,0.02,0.01,0,0,0,1,105,74,87.0,0.0,5,0,0.0,4,44.0,1,2,6,2,5,4,0,8,6,3,60.0,5,56.0,1,1,0,0,0.0,0.0,0,0,0,14
267,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,0,0.0,0.28,0,0,0,0,61,32,76.0,3.0,3,4,67.0,1,33.0,0,0,5,0,3,2,0,3,2,1,100.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,14
203,24-25-prem-ipswich-town-vs-crystal-palace,90,0,0,0,0.0,0.03,0,0,0,0,58,37,88.0,1.0,11,0,0.0,2,50.0,2,0,6,1,3,1,2,5,8,4,33.0,1,100.0,2,3,0,0,0.0,0.0,0,0,0,14
