player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
44,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.01,0,2,0,1,66,42,89.0,0.0,9,0,0.0,1,100.0,1,0,4,1,2,2,0,4,1,4,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
45,24-25-prem-aston-villa-vs-southampton,59,0,0,1,0.01,0.12,0,0,0,2,47,24,86.0,1.0,3,0,0.0,0,0.0,3,2,5,0,1,0,0,6,5,6,60.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
36,24-25-prem-aston-villa-vs-southampton,31,0,0,0,0.0,0.21,0,0,0,0,30,11,85.0,2.0,3,3,30.0,0,0.0,1,2,3,0,2,1,0,2,0,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
52,24-25-prem-aston-villa-vs-southampton,90,0,0,1,0.04,0.04,0,1,0,2,55,46,94.0,0.0,4,0,0.0,4,80.0,0,0,2,0,1,0,0,5,1,3,75.0,2,100.0,0,1,0,0,0.0,0.0,0,0,0,15
54,24-25-prem-aston-villa-vs-southampton,90,0,0,3,0.16,0.56,0,1,0,4,45,22,79.0,4.0,5,0,0.0,2,100.0,1,0,3,0,1,1,1,5,9,4,36.0,1,33.0,1,2,0,0,0.0,0.0,0,0,0,15
57,24-25-prem-aston-villa-vs-southampton,59,0,0,0,0.0,0.12,0,0,0,0,51,35,90.0,2.0,5,1,50.0,0,0.0,2,0,5,0,0,0,2,5,4,5,56.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
35,24-25-prem-aston-villa-vs-southampton,90,0,0,1,0.13,0.01,0,0,0,2,58,43,84.0,0.0,4,0,0.0,5,56.0,1,0,1,2,2,2,0,5,1,1,100.0,4,80.0,0,0,0,0,0.0,0.0,0,0,0,15
48,24-25-prem-aston-villa-vs-southampton,90,0,0,3,0.42,0.07,2,0,1,5,44,22,85.0,2.0,4,2,50.0,1,100.0,1,0,3,0,0,0,1,5,5,5,50.0,0,0.0,4,3,0,0,0.0,0.0,0,0,0,15
47,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,28,17,77.0,0.0,0,0,0.0,2,33.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,17,2,15
476,24-25-prem-aston-villa-vs-southampton,90,0,0,0,0.0,0.07,0,1,0,3,68,52,100.0,1.0,2,1,50.0,1,100.0,0,1,3,1,0,0,0,4,3,4,57.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,15
