player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
18,24-25-prem-fulham-vs-arsenal,90,1,0,2,1.19,0.01,1,0,1,2,107,89,90.0,0.0,11,0,0.0,3,38.0,1,1,8,0,3,2,0,3,2,1,50.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,15
257,24-25-prem-fulham-vs-arsenal,90,0,1,0,0.0,0.11,0,0,0,0,34,19,86.0,1.0,1,0,0.0,1,100.0,3,0,6,0,1,1,0,5,2,4,80.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,15
622,24-25-prem-fulham-vs-arsenal,90,0,0,0,0.0,0.0,0,1,0,0,44,26,87.0,1.0,3,0,0.0,4,67.0,5,1,10,0,2,1,1,8,4,8,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
252,24-25-prem-fulham-vs-arsenal,79,1,0,1,0.04,0.01,1,0,0,1,34,10,53.0,0.0,0,0,0.0,0,0.0,2,1,1,0,0,0,0,7,5,5,71.0,2,40.0,3,1,0,0,0.0,0.0,0,0,0,15
248,24-25-prem-fulham-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,57,25,61.0,0.0,0,0,0.0,13,45.0,0,0,11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,1,1.24,0.24,0,25,13,15
255,24-25-prem-fulham-vs-arsenal,90,0,0,0,0.0,0.01,0,1,0,0,69,20,50.0,0.0,6,0,0.0,1,17.0,2,3,7,0,5,1,2,8,6,7,58.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,15
23,24-25-prem-fulham-vs-arsenal,60,0,0,1,0.02,0.15,1,2,0,4,35,15,68.0,1.0,5,0,0.0,2,50.0,0,1,3,0,1,0,0,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,15
7,24-25-prem-fulham-vs-arsenal,74,0,0,0,0.0,0.04,0,1,0,0,67,52,90.0,0.0,10,0,0.0,1,33.0,0,2,9,0,0,0,1,6,2,6,75.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,15
16,24-25-prem-fulham-vs-arsenal,90,0,0,3,0.12,0.6,1,0,0,3,71,52,98.0,2.0,6,4,57.0,4,100.0,1,1,6,0,1,0,1,2,3,1,25.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,15
245,24-25-prem-fulham-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,1,45,26,79.0,0.0,2,0,0.0,3,60.0,1,1,4,0,6,4,0,4,0,3,100.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,15
