player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
306,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,1,1,3,0.48,0.37,1,0,0,7,24,10,77.0,1.0,3,0,0.0,0,0.0,1,0,1,0,1,1,0,4,5,2,50.0,2,40.0,1,1,0,0,0.0,0.0,0,0,0,15
149,24-25-prem-leicester-city-vs-brighton-&-hove-albion,45,0,1,0,0.0,0.01,0,2,0,1,44,29,88.0,1.0,5,0,0.0,2,100.0,2,1,6,0,1,0,1,7,2,7,78.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
122,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,1,3,0.1,0.03,2,1,0,0,72,39,83.0,2.0,3,3,43.0,1,33.0,2,0,9,0,4,2,0,7,5,5,71.0,2,40.0,1,2,0,0,0.0,0.0,0,0,0,15
131,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,1,0,1,0.02,0.06,1,2,0,1,72,43,93.0,1.0,2,1,33.0,1,50.0,1,1,7,0,3,2,2,4,5,4,44.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
293,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,60,32,65.0,0.0,0,0,0.0,5,24.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,2,3.14,1.14,0,32,5,15
135,24-25-prem-leicester-city-vs-brighton-&-hove-albion,20,1,0,2,0.45,0.0,1,1,0,5,9,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,0,1,2,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
290,24-25-prem-leicester-city-vs-brighton-&-hove-albion,28,1,0,2,0.62,0.0,1,0,0,1,13,4,80.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,3,2,2,50.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,15
285,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,1,0.03,0.03,0,3,0,2,80,51,84.0,0.0,4,0,0.0,1,100.0,0,1,6,0,2,2,2,9,6,8,57.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,15
618,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.04,0,2,0,3,48,13,59.0,0.0,1,1,50.0,0,0.0,2,1,6,2,0,0,4,6,9,6,46.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,15
129,24-25-prem-leicester-city-vs-brighton-&-hove-albion,70,0,0,2,0.27,0.01,0,0,0,4,30,13,81.0,1.0,3,0,0.0,1,100.0,0,0,1,0,1,0,0,4,1,3,75.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,15
120,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,1,0.02,0.12,0,0,0,2,89,74,91.0,1.0,6,0,0.0,3,43.0,1,1,4,0,4,1,0,4,1,1,100.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,15
307,24-25-prem-leicester-city-vs-brighton-&-hove-albion,81,0,0,0,0.0,0.01,0,1,0,0,73,61,94.0,0.0,3,0,0.0,0,0.0,1,2,3,2,1,0,0,4,1,2,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,15
295,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,2,0.12,0.01,1,1,1,2,73,42,81.0,0.0,4,0,0.0,1,33.0,1,2,3,0,2,0,0,6,4,2,50.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,15
136,24-25-prem-leicester-city-vs-brighton-&-hove-albion,89,0,0,1,0.14,0.18,0,0,0,4,31,16,94.0,3.0,0,0,0.0,1,100.0,2,0,2,1,0,0,3,3,10,3,30.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,15
600,24-25-prem-leicester-city-vs-brighton-&-hove-albion,71,0,0,1,0.05,0.04,1,1,0,0,32,18,90.0,1.0,3,1,50.0,1,100.0,1,0,1,1,1,0,0,2,6,2,29.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,15
288,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,1,0,0,94,83,93.0,0.0,6,0,0.0,4,80.0,0,1,4,0,0,0,0,2,0,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
123,24-25-prem-leicester-city-vs-brighton-&-hove-albion,70,0,0,2,0.14,0.18,1,1,0,3,13,5,83.0,1.0,0,0,0.0,0,0.0,0,0,3,0,1,1,1,1,3,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
192,24-25-prem-leicester-city-vs-brighton-&-hove-albion,62,0,0,1,0.02,0.13,0,1,0,2,25,16,80.0,1.0,1,0,0.0,1,100.0,0,0,4,0,0,0,2,2,6,1,20.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,15
629,24-25-prem-leicester-city-vs-brighton-&-hove-albion,19,0,0,0,0.0,0.02,0,0,0,0,14,11,100.0,1.0,0,0,0.0,1,100.0,2,0,0,0,0,0,1,2,1,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
144,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,1,0.08,0.01,0,0,0,1,85,65,88.0,0.0,11,0,0.0,2,40.0,1,1,4,1,3,1,0,6,3,2,50.0,4,80.0,1,1,0,0,0.0,0.0,0,0,0,15
296,24-25-prem-leicester-city-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.32,0,1,0,1,67,24,77.0,1.0,0,4,33.0,0,0.0,2,0,3,0,2,0,3,6,3,5,63.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,15
115,24-25-prem-leicester-city-vs-brighton-&-hove-albion,45,0,0,0,0.0,0.01,0,0,0,0,17,11,79.0,1.0,2,0,0.0,3,75.0,0,1,2,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
298,24-25-prem-leicester-city-vs-brighton-&-hove-albion,28,0,0,1,0.05,0.2,0,3,0,2,28,11,79.0,1.0,3,1,50.0,0,0.0,0,0,1,0,0,0,1,3,6,3,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,15
