player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
386,24-25-prem-tottenham-hotspur-vs-chelsea,90,1,0,3,0.39,0.22,2,3,0,12,66,47,87.0,2.0,3,0,0.0,0,0.0,0,0,5,0,0,0,1,3,3,3,60.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
503,24-25-prem-tottenham-hotspur-vs-chelsea,90,1,0,4,1.08,0.47,2,1,2,7,46,24,83.0,2.0,2,1,50.0,0,0.0,0,1,3,0,1,1,0,2,4,2,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
491,24-25-prem-tottenham-hotspur-vs-chelsea,53,0,1,0,0.0,0.16,0,2,0,2,14,3,75.0,1.0,0,1,33.0,0,0.0,1,0,2,1,0,0,0,3,0,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
560,24-25-prem-tottenham-hotspur-vs-chelsea,86,0,0,1,0.07,0.34,1,0,0,7,43,24,86.0,3.0,2,0,0.0,1,50.0,2,1,5,0,0,0,1,5,5,5,56.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,15
495,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,1,2,0.06,0.18,0,1,0,0,62,25,71.0,2.0,7,2,50.0,3,75.0,1,0,7,1,4,4,0,5,1,4,80.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,15
182,24-25-prem-tottenham-hotspur-vs-chelsea,89,2,0,4,1.68,0.67,3,4,1,7,69,33,79.0,4.0,5,3,50.0,2,67.0,0,1,2,0,0,0,0,8,2,8,80.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,15
168,24-25-prem-tottenham-hotspur-vs-chelsea,90,1,0,3,0.13,0.35,1,1,0,3,75,49,96.0,1.0,3,0,0.0,5,83.0,1,2,3,0,1,0,1,5,5,5,56.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,15
82,24-25-prem-tottenham-hotspur-vs-chelsea,90,1,0,3,0.94,0.0,2,0,1,3,27,11,85.0,2.0,2,0,0.0,1,100.0,0,0,0,0,3,2,2,3,8,2,29.0,1,25.0,1,2,0,0,0.0,0.0,0,0,0,15
157,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,0,0.0,0.02,0,1,0,1,63,44,90.0,0.0,4,1,100.0,0,0.0,2,2,6,0,1,0,0,7,3,5,63.0,2,100.0,2,2,0,0,0.0,0.0,0,0,0,15
494,24-25-prem-tottenham-hotspur-vs-chelsea,11,0,1,1,0.11,0.33,0,1,0,4,11,7,78.0,1.0,2,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
492,24-25-prem-tottenham-hotspur-vs-chelsea,79,1,0,1,0.05,0.04,1,1,0,4,32,10,77.0,0.0,0,0,0.0,0,0.0,0,1,3,0,0,0,2,4,8,4,33.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,15
174,24-25-prem-tottenham-hotspur-vs-chelsea,45,0,0,0,0.0,0.01,0,1,0,0,40,29,100.0,1.0,5,0,0.0,1,100.0,3,3,3,0,0,0,0,6,3,5,71.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,15
171,24-25-prem-tottenham-hotspur-vs-chelsea,45,0,0,1,0.03,0.01,1,0,0,1,41,31,91.0,0.0,7,0,0.0,2,50.0,0,1,2,0,0,0,0,2,1,2,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,15
509,24-25-prem-tottenham-hotspur-vs-chelsea,37,0,0,0,0.0,0.21,0,1,0,2,22,10,67.0,3.0,2,0,0.0,0,0.0,0,0,1,0,1,0,2,2,3,2,40.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,15
486,24-25-prem-tottenham-hotspur-vs-chelsea,75,0,0,0,0.0,0.01,0,0,0,0,34,25,89.0,0.0,5,0,0.0,2,50.0,1,1,3,2,2,2,0,4,2,1,50.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,15
153,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,0,68,49,83.0,0.0,7,0,0.0,0,0.0,2,1,5,0,2,2,0,6,3,4,67.0,2,67.0,0,2,0,0,0.0,0.0,0,0,0,15
482,24-25-prem-tottenham-hotspur-vs-chelsea,79,0,0,0,0.0,0.0,0,0,0,0,32,21,88.0,0.0,2,0,0.0,1,100.0,3,0,6,0,1,0,1,6,5,6,55.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,15
505,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,0,0.0,0.01,0,0,0,1,50,28,93.0,0.0,4,0,0.0,0,0.0,3,0,5,0,2,1,1,5,5,4,44.0,1,100.0,1,3,0,0,0.0,0.0,0,0,0,15
498,24-25-prem-tottenham-hotspur-vs-chelsea,15,0,0,0,0.0,0.0,0,0,0,0,6,3,75.0,0.0,1,0,0.0,0,0.0,1,0,1,0,0,0,1,2,2,2,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,15
481,24-25-prem-tottenham-hotspur-vs-chelsea,11,0,0,0,0.0,0.03,0,1,0,1,19,17,100.0,0.0,2,1,100.0,2,100.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
163,24-25-prem-tottenham-hotspur-vs-chelsea,89,0,1,1,0.01,0.07,0,0,0,2,70,46,92.0,3.0,2,0,0.0,2,67.0,2,0,3,0,0,0,1,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,15
180,24-25-prem-tottenham-hotspur-vs-chelsea,76,0,0,3,0.32,0.02,0,0,0,10,32,8,73.0,0.0,1,0,0.0,0,0.0,1,0,5,0,1,1,1,3,10,2,17.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,15
489,24-25-prem-tottenham-hotspur-vs-chelsea,11,0,0,0,0.0,0.0,0,0,0,0,17,14,93.0,0.0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,15
506,24-25-prem-tottenham-hotspur-vs-chelsea,79,0,0,1,0.14,0.0,0,0,0,1,49,29,76.0,0.0,5,0,0.0,1,17.0,1,0,3,1,5,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
162,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,1,0.19,0.01,0,0,0,2,71,61,98.0,0.0,2,0,0.0,2,100.0,0,1,3,3,2,0,0,2,2,1,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,15
181,24-25-prem-tottenham-hotspur-vs-chelsea,14,0,0,0,0.0,0.0,0,0,0,0,4,2,67.0,0.0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,1,2,0,0.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,15
499,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,1,0.51,0.01,0,0,1,1,35,17,89.0,0.0,0,0,0.0,0,0.0,3,1,6,0,0,0,1,6,12,5,36.0,1,25.0,2,3,0,0,0.0,0.0,0,0,0,15
185,24-25-prem-tottenham-hotspur-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,46,21,53.0,0.0,0,0,0.0,3,14.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,3,2.03,-0.97,1,21,3,15
621,24-25-prem-tottenham-hotspur-vs-chelsea,1,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,15
177,24-25-prem-tottenham-hotspur-vs-chelsea,4,0,0,0,0.0,0.0,0,0,0,2,5,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,15
184,24-25-prem-tottenham-hotspur-vs-chelsea,1,0,0,0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,2,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,15
