player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
521,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,51,15,43.0,0.0,0,0,0.0,5,20.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,8,1,2.07,1.07,0,15,5,16
64,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,0,0.0,0.05,0,0,0,0,70,35,73.0,2.0,6,1,17.0,4,67.0,1,2,8,0,2,2,0,6,2,4,80.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,16
516,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,2,0.14,0.08,0,2,0,2,61,18,58.0,1.0,6,2,50.0,0,0.0,2,0,4,2,5,4,1,10,2,4,80.0,6,86.0,0,0,0,0,0.0,0.0,0,0,0,16
525,24-25-prem-afc-bournemouth-vs-west-ham-united,75,0,0,1,0.08,0.25,0,3,0,1,52,26,84.0,3.0,5,1,33.0,1,50.0,0,0,11,0,0,0,0,7,6,7,54.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,16
527,24-25-prem-afc-bournemouth-vs-west-ham-united,90,1,0,3,0.88,0.15,1,0,0,6,51,27,73.0,3.0,4,1,33.0,1,33.0,0,1,0,0,2,1,1,2,7,1,25.0,1,20.0,1,2,0,0,0.0,0.0,0,0,0,16
511,24-25-prem-afc-bournemouth-vs-west-ham-united,75,0,0,1,0.02,0.01,0,2,0,0,49,32,76.0,0.0,3,0,0.0,0,0.0,0,0,8,1,2,1,0,4,2,2,67.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,16
388,24-25-prem-afc-bournemouth-vs-west-ham-united,89,0,0,0,0.0,0.11,0,1,0,1,53,33,85.0,1.0,6,1,33.0,1,25.0,1,3,9,0,1,1,0,2,5,2,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,16
152,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,43,24,69.0,0.0,0,0,0.0,11,50.0,0,0,13,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,1.42,0.42,1,24,11,16
78,24-25-prem-afc-bournemouth-vs-west-ham-united,68,0,0,5,0.44,0.06,2,1,1,9,43,15,71.0,1.0,5,0,0.0,0,0.0,0,0,2,0,2,0,0,8,4,4,50.0,4,100.0,3,0,0,0,0.0,0.0,0,0,0,16
514,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,3,0.28,0.25,1,1,0,6,41,21,75.0,1.0,0,1,50.0,0,0.0,0,1,5,0,0,0,0,1,4,1,20.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,16
580,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,0,0.0,0.01,0,0,0,1,76,49,75.0,1.0,10,0,0.0,6,46.0,0,2,7,2,4,1,0,0,4,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,16
74,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,5,0.39,0.15,2,0,1,5,56,21,68.0,3.0,1,2,50.0,2,50.0,2,1,1,2,1,1,3,8,10,4,50.0,4,40.0,0,0,0,0,0.0,0.0,0,0,0,16
85,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,1,0.12,0.0,0,0,0,1,63,41,77.0,0.0,6,0,0.0,2,29.0,1,0,6,2,4,1,2,4,3,1,33.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,16
70,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,1,0.03,0.03,0,0,0,3,53,24,77.0,2.0,4,1,25.0,1,25.0,0,0,5,1,4,1,0,2,2,2,67.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,16
65,24-25-prem-afc-bournemouth-vs-west-ham-united,10,1,0,2,0.09,0.0,1,0,0,0,7,1,33.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,1,3,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,16
524,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,2,0.41,0.01,1,0,0,2,62,34,79.0,0.0,8,0,0.0,6,46.0,0,0,5,5,7,6,0,8,4,3,60.0,5,71.0,0,2,0,0,0.0,0.0,0,0,0,16
530,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,1,0.04,0.01,0,1,0,1,44,17,59.0,0.0,9,1,33.0,0,0.0,1,2,4,1,5,2,0,5,5,2,67.0,3,43.0,0,0,0,0,0.0,0.0,0,0,0,16
617,24-25-prem-afc-bournemouth-vs-west-ham-united,80,0,0,2,0.18,0.31,1,0,0,6,23,11,85.0,3.0,2,0,0.0,0,0.0,0,0,4,0,0,0,0,3,5,2,100.0,1,17.0,2,1,0,0,0.0,0.0,0,0,0,16
76,24-25-prem-afc-bournemouth-vs-west-ham-united,10,0,0,1,0.31,0.03,0,0,0,2,11,4,67.0,2.0,3,0,0.0,1,100.0,0,1,2,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,16
71,24-25-prem-afc-bournemouth-vs-west-ham-united,80,0,0,3,0.13,0.03,1,0,0,2,39,20,77.0,0.0,2,0,0.0,0,0.0,0,2,2,0,1,1,2,1,5,0,0.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,16
81,24-25-prem-afc-bournemouth-vs-west-ham-united,68,0,0,0,0.0,0.0,0,0,0,1,35,20,77.0,0.0,4,0,0.0,2,33.0,0,0,0,0,2,2,2,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,16
589,24-25-prem-afc-bournemouth-vs-west-ham-united,34,0,0,1,0.13,0.04,0,0,0,3,16,7,78.0,2.0,0,0,0.0,0,0.0,1,0,0,0,1,1,0,3,5,1,50.0,2,33.0,0,0,0,0,0.0,0.0,0,0,0,16
654,24-25-prem-afc-bournemouth-vs-west-ham-united,56,0,0,1,0.03,0.24,0,0,0,1,44,29,88.0,1.0,4,1,25.0,2,67.0,0,0,2,2,1,1,0,1,3,0,0.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,16
62,24-25-prem-afc-bournemouth-vs-west-ham-united,22,0,0,2,0.06,0.01,0,1,0,3,19,6,67.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,4,2,2,50.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,16
587,24-25-prem-afc-bournemouth-vs-west-ham-united,15,0,0,0,0.0,0.0,0,0,0,0,7,2,67.0,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,1,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,16
60,24-25-prem-afc-bournemouth-vs-west-ham-united,22,0,0,1,0.03,0.01,0,0,0,1,29,21,95.0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,16
63,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,6,0.23,0.48,2,1,0,6,83,39,83.0,5.0,15,4,50.0,6,60.0,3,1,7,0,4,4,1,7,6,6,55.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,16
528,24-25-prem-afc-bournemouth-vs-west-ham-united,90,0,0,1,0.05,0.01,0,0,0,1,63,40,78.0,1.0,10,0,0.0,6,46.0,1,1,3,2,4,3,0,4,3,1,33.0,3,75.0,1,1,0,0,0.0,0.0,0,0,0,16
