player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
17,24-25-prem-arsenal-vs-everton,90,0,0,3,0.33,0.56,1,6,0,10,78,37,84.0,3.0,2,3,30.0,1,33.0,1,0,4,0,0,0,0,11,3,10,77.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,16
3,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.04,0,1,0,4,117,92,95.0,1.0,21,0,0.0,4,50.0,3,0,2,1,1,1,1,9,5,6,75.0,3,50.0,2,0,0,0,0.0,0.0,0,0,0,16
18,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.04,0,0,0,3,118,104,95.0,0.0,10,0,0.0,3,60.0,1,0,11,1,2,0,0,4,4,2,50.0,2,50.0,0,1,0,0,0.0,0.0,0,0,0,16
232,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.01,0,2,0,0,40,17,85.0,0.0,3,0,0.0,2,67.0,3,1,9,0,1,0,2,7,4,7,64.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,16
222,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.01,0,4,0,0,46,30,94.0,0.0,0,0,0.0,0,0.0,2,0,11,0,0,0,0,9,5,9,69.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,16
597,24-25-prem-arsenal-vs-everton,69,0,0,0,0.0,0.06,0,0,0,0,67,55,98.0,1.0,7,0,0.0,1,100.0,1,0,4,0,0,0,0,4,2,4,80.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,16
16,24-25-prem-arsenal-vs-everton,62,0,0,1,0.03,0.06,0,0,0,0,79,65,92.0,1.0,12,0,0.0,3,60.0,1,0,2,0,2,2,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,16
633,24-25-prem-arsenal-vs-everton,69,0,0,1,0.11,0.17,1,1,0,5,37,19,83.0,2.0,0,1,33.0,0,0.0,0,0,4,0,1,1,0,4,2,2,67.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,16
6,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.31,0,2,0,7,96,65,90.0,0.0,8,0,0.0,0,0.0,1,0,2,0,0,0,0,6,6,5,50.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,16
231,24-25-prem-arsenal-vs-everton,90,0,0,1,0.0,0.01,0,0,0,0,38,8,62.0,0.0,4,0,0.0,0,0.0,4,2,2,0,6,2,3,5,10,5,42.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,16
219,24-25-prem-arsenal-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,35,20,87.0,0.0,2,0,0.0,1,33.0,0,1,2,1,6,3,1,3,2,2,67.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,16
