player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
401,24-25-prem-newcastle-united-vs-leicester-city,73,1,1,4,1.42,0.22,3,6,1,8,38,15,71.0,4.0,2,0,0.0,1,50.0,0,0,2,0,0,0,1,7,6,7,58.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,16
402,24-25-prem-newcastle-united-vs-leicester-city,64,2,0,4,0.59,0.1,2,0,1,5,36,13,72.0,2.0,1,1,50.0,1,100.0,0,0,2,0,2,2,0,0,5,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,16
398,24-25-prem-newcastle-united-vs-leicester-city,81,0,1,3,0.09,0.41,1,2,0,10,62,37,95.0,4.0,6,1,33.0,1,50.0,0,0,5,1,0,0,1,6,7,6,50.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,16
417,24-25-prem-newcastle-united-vs-leicester-city,90,0,0,3,0.21,0.04,0,0,0,1,97,73,91.0,1.0,11,0,0.0,4,80.0,1,3,12,0,0,0,1,4,3,4,67.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,16
394,24-25-prem-newcastle-united-vs-leicester-city,64,1,0,2,0.83,0.22,1,0,0,4,40,22,81.0,1.0,7,0,0.0,1,100.0,0,1,0,0,0,0,1,4,3,3,50.0,1,100.0,2,2,0,0,0.0,0.0,0,0,0,16
403,24-25-prem-newcastle-united-vs-leicester-city,90,0,0,3,0.19,0.21,2,0,0,3,53,39,93.0,2.0,3,0,0.0,1,100.0,0,0,3,0,2,1,1,2,3,1,25.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,16
395,24-25-prem-newcastle-united-vs-leicester-city,90,0,0,2,0.13,0.01,0,0,0,2,81,69,95.0,0.0,0,0,0.0,1,33.0,0,0,6,0,4,1,0,5,2,0,0.0,5,83.0,0,0,0,0,0.0,0.0,0,0,0,16
635,24-25-prem-newcastle-united-vs-leicester-city,82,0,0,1,0.05,0.1,0,2,0,1,53,32,80.0,1.0,6,0,0.0,5,83.0,0,0,5,0,0,0,0,8,1,8,89.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,16
415,24-25-prem-newcastle-united-vs-leicester-city,90,0,0,0,0.0,0.01,0,1,0,1,83,63,82.0,0.0,4,0,0.0,4,40.0,0,1,2,0,1,1,1,2,3,1,50.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,16
293,24-25-prem-newcastle-united-vs-leicester-city,45,0,0,0,0.0,0.0,0,0,0,0,24,6,40.0,0.0,0,0,0.0,1,11.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,2.03,1.03,0,6,1,16
