player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
2,24-25-prem-crystal-palace-vs-arsenal,86,2,0,5,0.82,0.01,3,1,1,6,40,12,80.0,0.0,1,0,0.0,0,0.0,1,1,2,0,2,2,0,7,7,3,38.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,17
16,24-25-prem-crystal-palace-vs-arsenal,32,1,1,2,0.16,0.05,1,0,0,2,30,19,90.0,1.0,2,2,100.0,0,0.0,0,0,2,1,1,0,0,3,1,2,100.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,17
4,24-25-prem-crystal-palace-vs-arsenal,58,1,0,2,0.88,0.01,1,1,0,2,35,19,79.0,1.0,3,0,0.0,0,0.0,1,1,4,0,3,2,0,5,4,2,67.0,3,50.0,0,0,0,0,0.0,0.0,0,0,0,17
585,24-25-prem-crystal-palace-vs-arsenal,90,1,0,5,0.47,0.1,3,0,2,5,39,17,85.0,1.0,0,0,0.0,1,100.0,1,0,5,0,1,0,0,6,3,5,83.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,17
9,24-25-prem-crystal-palace-vs-arsenal,90,1,0,1,0.66,0.53,1,1,0,11,51,15,65.0,3.0,1,4,57.0,0,0.0,2,0,3,0,0,0,2,4,10,3,23.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,17
15,24-25-prem-crystal-palace-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,60,33,66.0,0.0,0,0,0.0,8,33.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,1.71,0.71,1,33,8,17
20,24-25-prem-crystal-palace-vs-arsenal,90,0,1,0,0.0,0.11,0,1,0,2,68,53,91.0,1.0,4,0,0.0,3,75.0,0,3,6,0,0,0,0,3,6,2,33.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,17
578,24-25-prem-crystal-palace-vs-arsenal,32,0,1,0,0.0,0.01,0,0,0,0,41,24,89.0,1.0,4,0,0.0,0,0.0,3,1,2,1,1,1,0,4,1,4,80.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,17
3,24-25-prem-crystal-palace-vs-arsenal,90,0,1,2,0.39,0.01,0,0,1,3,76,64,96.0,1.0,2,0,0.0,3,75.0,0,1,1,1,1,1,0,5,4,0,0.0,5,63.0,0,1,0,0,0.0,0.0,0,0,0,17
210,24-25-prem-crystal-palace-vs-arsenal,90,0,1,0,0.0,0.12,0,0,0,0,54,29,76.0,3.0,3,1,100.0,2,67.0,2,0,4,1,2,0,2,4,4,4,57.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
6,24-25-prem-crystal-palace-vs-arsenal,86,0,0,0,0.0,0.02,0,1,0,2,71,44,88.0,0.0,5,0,0.0,0,0.0,1,2,5,0,1,0,0,3,3,2,50.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,17
207,24-25-prem-crystal-palace-vs-arsenal,81,0,0,4,0.66,0.02,2,1,1,4,21,6,86.0,3.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,5,6,4,57.0,1,25.0,3,0,0,0,0.0,0.0,0,0,0,17
13,24-25-prem-crystal-palace-vs-arsenal,90,0,0,1,0.09,0.23,0,1,0,2,70,52,95.0,2.0,6,2,50.0,1,33.0,0,0,3,0,0,0,2,3,5,3,38.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,17
18,24-25-prem-crystal-palace-vs-arsenal,90,0,0,0,0.0,0.01,0,1,0,0,117,101,95.0,0.0,7,0,0.0,1,50.0,0,1,2,0,4,1,0,2,3,1,25.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,17
597,24-25-prem-crystal-palace-vs-arsenal,58,0,0,0,0.0,0.01,0,1,0,0,31,18,95.0,0.0,2,0,0.0,1,100.0,1,0,0,0,0,0,0,5,2,5,83.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,17
23,24-25-prem-crystal-palace-vs-arsenal,66,0,0,1,0.02,0.12,0,0,0,4,37,16,73.0,1.0,2,1,100.0,0,0.0,0,1,3,0,2,1,0,2,4,1,20.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,17
203,24-25-prem-crystal-palace-vs-arsenal,69,0,0,1,0.14,0.23,0,0,0,2,48,31,91.0,2.0,1,2,40.0,0,0.0,1,0,4,1,1,0,1,2,6,2,33.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,17
206,24-25-prem-crystal-palace-vs-arsenal,68,0,0,1,0.09,0.0,1,0,0,2,35,17,65.0,0.0,1,0,0.0,0,0.0,0,0,3,1,2,1,0,3,3,0,0.0,3,60.0,0,1,0,0,0.0,0.0,0,0,0,17
645,24-25-prem-crystal-palace-vs-arsenal,21,0,0,0,0.0,0.03,0,0,0,0,21,11,79.0,1.0,2,0,0.0,1,100.0,1,0,1,0,1,0,0,1,2,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,17
17,24-25-prem-crystal-palace-vs-arsenal,24,0,0,0,0.0,0.0,0,0,0,0,6,2,67.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
205,24-25-prem-crystal-palace-vs-arsenal,61,0,0,1,0.02,0.01,0,0,0,0,20,9,69.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,2,3,6,2,29.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,17
196,24-25-prem-crystal-palace-vs-arsenal,80,0,0,0,0.0,0.11,0,0,0,1,27,15,88.0,2.0,0,2,100.0,1,50.0,0,0,0,0,1,0,1,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,17
11,24-25-prem-crystal-palace-vs-arsenal,29,0,0,0,0.0,0.0,0,0,0,1,13,9,75.0,0.0,3,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,17
193,24-25-prem-crystal-palace-vs-arsenal,22,0,0,0,0.0,0.01,0,0,0,0,14,9,100.0,0.0,1,0,0.0,0,0.0,0,1,1,0,1,0,1,1,3,1,25.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
650,24-25-prem-crystal-palace-vs-arsenal,90,0,0,2,0.17,0.01,0,0,0,2,78,56,88.0,0.0,7,0,0.0,2,29.0,2,2,5,0,5,2,0,7,0,4,100.0,3,100.0,1,0,0,0,0.0,0.0,0,0,0,17
