player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
327,24-25-prem-tottenham-hotspur-vs-liverpool,87,2,0,7,1.13,0.25,5,1,1,7,48,30,88.0,2.0,2,0,0.0,0,0.0,0,0,5,0,0,0,1,1,7,1,17.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,17
311,24-25-prem-tottenham-hotspur-vs-liverpool,90,0,1,1,0.01,0.67,1,0,0,2,95,44,75.0,4.0,9,4,44.0,7,58.0,1,3,9,0,7,3,3,3,3,3,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
82,24-25-prem-tottenham-hotspur-vs-liverpool,90,1,1,1,0.48,0.17,1,0,0,5,36,10,67.0,2.0,0,0,0.0,0,0.0,0,0,2,0,4,1,0,3,7,1,17.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,17
492,24-25-prem-tottenham-hotspur-vs-liverpool,90,1,0,3,0.47,0.06,1,4,0,14,58,24,80.0,1.0,2,0,0.0,0,0.0,2,0,7,0,0,0,0,9,9,9,50.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,17
329,24-25-prem-tottenham-hotspur-vs-liverpool,68,1,0,1,0.44,0.5,1,0,0,1,57,39,89.0,0.0,1,0,0.0,2,100.0,1,4,9,0,0,0,2,4,4,4,50.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,17
494,24-25-prem-tottenham-hotspur-vs-liverpool,58,1,0,1,0.09,0.02,1,0,0,1,39,23,82.0,1.0,4,0,0.0,1,33.0,1,2,3,0,0,0,0,3,3,3,50.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,17
339,24-25-prem-tottenham-hotspur-vs-liverpool,90,0,0,0,0.0,0.0,0,0,0,2,79,55,86.0,0.0,6,0,0.0,2,29.0,4,2,6,1,1,1,0,9,0,7,100.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,17
335,24-25-prem-tottenham-hotspur-vs-liverpool,90,0,0,0,0.0,0.13,0,0,0,2,79,54,95.0,1.0,13,2,29.0,4,57.0,3,1,6,0,1,1,0,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
491,24-25-prem-tottenham-hotspur-vs-liverpool,32,0,1,1,0.13,0.25,1,0,0,2,19,11,79.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,17
322,24-25-prem-tottenham-hotspur-vs-liverpool,90,0,0,0,0.0,0.01,0,0,0,0,76,58,91.0,0.0,8,0,0.0,4,67.0,2,1,8,0,7,3,0,3,2,2,67.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,17
323,24-25-prem-tottenham-hotspur-vs-liverpool,90,0,0,0,0.0,0.02,0,1,0,0,61,43,91.0,1.0,3,0,0.0,2,67.0,2,2,4,0,0,0,1,7,5,7,58.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,17
