player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
597,24-25-prem-arsenal-vs-ipswich-town,90,0,0,0,0.0,0.05,0,2,0,2,86,58,98.0,2.0,3,1,100.0,0,0.0,2,0,2,0,2,0,0,9,3,8,89.0,1,33.0,3,0,0,0,0.0,0.0,0,0,0,18
23,24-25-prem-arsenal-vs-ipswich-town,90,0,1,2,0.15,0.5,0,1,0,7,59,36,90.0,2.0,2,1,20.0,0,0.0,2,0,6,0,0,0,2,5,4,5,56.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,18
6,24-25-prem-arsenal-vs-ipswich-town,90,0,0,1,0.04,0.03,1,2,0,1,96,68,92.0,0.0,10,0,0.0,0,0.0,3,1,5,0,1,1,0,9,2,8,80.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,18
18,24-25-prem-arsenal-vs-ipswich-town,90,0,0,0,0.0,0.02,0,0,0,0,120,106,95.0,2.0,7,0,0.0,2,40.0,2,1,6,0,2,2,0,4,2,3,60.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,18
3,24-25-prem-arsenal-vs-ipswich-town,90,0,0,1,0.24,0.05,0,0,1,3,118,98,90.0,1.0,21,0,0.0,0,0.0,1,0,1,0,5,3,0,6,1,2,100.0,4,80.0,0,0,0,0,0.0,0.0,0,0,0,18
4,24-25-prem-arsenal-vs-ipswich-town,90,1,0,2,1.03,0.08,2,0,1,8,71,52,88.0,1.0,3,0,0.0,0,0.0,0,0,1,1,0,0,0,3,6,0,0.0,3,50.0,0,2,0,0,0.0,0.0,0,0,0,18
16,24-25-prem-arsenal-vs-ipswich-town,87,0,0,2,0.11,0.31,0,0,0,1,82,61,95.0,1.0,7,2,40.0,2,50.0,0,1,6,1,3,2,1,3,3,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,18
13,24-25-prem-arsenal-vs-ipswich-town,90,0,0,4,0.25,0.12,1,0,0,12,92,61,84.0,2.0,4,0,0.0,1,100.0,0,1,3,0,0,0,1,4,4,3,50.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,18
15,24-25-prem-arsenal-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,32,22,79.0,0.0,0,0,0.0,4,40.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,22,4,18
568,24-25-prem-arsenal-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,31,13,59.0,0.0,0,0,0.0,4,31.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,1,1.33,0.33,0,13,4,18
9,24-25-prem-arsenal-vs-ipswich-town,90,0,0,0,0.0,0.07,0,2,0,4,44,21,84.0,0.0,1,0,0.0,0,0.0,2,0,4,0,0,0,0,7,11,6,43.0,1,25.0,2,2,0,0,0.0,0.0,0,0,0,18
