player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
541,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,1,1,2,0.04,0.37,2,4,0,2,93,50,86.0,1.0,11,1,50.0,4,67.0,1,1,6,0,0,0,1,14,9,13,59.0,1,100.0,5,0,0,0,0.0,0.0,0,0,0,18
554,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,41,16,53.0,0.0,0,0,0.0,6,30.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,4,0,1.06,1.06,1,16,6,18
642,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,0,0.0,0.02,0,2,0,0,81,59,95.0,1.0,6,0,0.0,2,100.0,4,2,8,0,1,1,0,7,1,7,88.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,18
543,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,0,0.0,0.04,0,0,0,2,86,59,84.0,0.0,13,0,0.0,6,60.0,2,5,12,0,3,2,0,7,2,2,67.0,5,83.0,0,1,0,0,0.0,0.0,0,0,0,18
567,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,0,0.0,0.01,0,1,0,0,74,47,85.0,0.0,4,0,0.0,3,43.0,4,1,7,1,5,4,0,9,3,7,78.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,18
559,24-25-prem-wolverhampton-wanderers-vs-manchester-united,89,0,0,1,0.01,0.1,0,1,0,1,40,15,83.0,1.0,1,1,25.0,1,100.0,2,0,1,1,2,0,0,4,2,4,80.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,18
550,24-25-prem-wolverhampton-wanderers-vs-manchester-united,16,1,0,1,0.55,0.0,1,0,0,2,14,6,75.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,18
369,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,2,0.07,0.07,1,0,0,3,70,35,80.0,1.0,5,0,0.0,1,20.0,1,1,8,0,1,0,0,6,3,3,60.0,3,75.0,1,1,0,0,0.0,0.0,0,0,0,18
564,24-25-prem-wolverhampton-wanderers-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,50,40,93.0,0.0,2,0,0.0,2,40.0,1,1,1,0,4,3,0,5,1,1,50.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,18
365,24-25-prem-wolverhampton-wanderers-vs-manchester-united,27,0,0,1,0.03,0.05,0,2,0,1,33,17,94.0,1.0,0,1,50.0,0,0.0,2,0,2,0,0,0,0,5,3,5,63.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,18
