player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
58,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,1,1,6,1.08,0.15,3,0,0,12,36,13,72.0,3.0,1,0,0.0,0,0.0,0,0,2,1,1,1,0,5,6,1,17.0,4,80.0,1,1,0,0,0.0,0.0,0,0,0,19
28,24-25-prem-aston-villa-vs-brighton-&-hove-albion,77,0,0,7,0.37,0.35,0,9,0,11,55,22,88.0,3.0,1,0,0.0,1,50.0,2,0,3,0,1,1,0,13,3,13,87.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,19
54,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,1,0,2,0.11,0.17,1,5,0,11,53,24,80.0,1.0,3,0,0.0,0,0.0,1,0,4,0,0,0,1,8,8,8,50.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,19
129,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,0,2,3,0.15,0.12,1,1,0,6,42,18,75.0,3.0,3,0,0.0,1,100.0,1,0,3,0,0,0,0,5,6,4,57.0,1,25.0,2,1,0,0,0.0,0.0,0,0,0,19
113,24-25-prem-aston-villa-vs-brighton-&-hove-albion,58,1,0,1,0.31,0.0,1,2,0,3,31,7,54.0,0.0,0,0,0.0,0,0.0,1,3,5,0,1,0,3,6,7,5,42.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,19
48,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.07,0,3,0,1,51,30,91.0,1.0,6,1,17.0,1,50.0,1,0,8,0,0,0,0,7,1,6,86.0,1,100.0,2,0,0,0,0.0,0.0,0,0,0,19
131,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,1,0,1,0.15,0.01,1,1,0,3,38,17,77.0,0.0,3,0,0.0,0,0.0,1,0,3,0,1,0,2,4,6,4,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,19
115,24-25-prem-aston-villa-vs-brighton-&-hove-albion,86,0,0,2,0.06,0.01,0,1,0,0,43,14,82.0,0.0,4,0,0.0,0,0.0,2,3,6,0,4,2,1,10,5,9,69.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,19
44,24-25-prem-aston-villa-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,2,79,44,80.0,1.0,5,0,0.0,1,100.0,2,1,5,0,2,0,2,9,8,7,58.0,2,40.0,2,1,0,0,0.0,0.0,0,0,0,19
618,24-25-prem-aston-villa-vs-brighton-&-hove-albion,32,0,0,1,0.11,0.01,0,1,0,1,11,3,100.0,1.0,1,0,0.0,1,100.0,1,0,2,0,1,1,0,4,2,4,80.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,19
