player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
248,24-25-prem-fulham-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,49,23,72.0,0.0,0,0,0.0,6,40.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,2,2.31,0.31,2,23,6,19
255,24-25-prem-fulham-vs-afc-bournemouth,90,0,1,0,0.0,0.22,0,1,0,2,70,31,78.0,3.0,3,2,50.0,1,50.0,1,0,4,0,3,2,2,8,4,7,64.0,1,100.0,4,0,0,0,0.0,0.0,0,0,0,19
259,24-25-prem-fulham-vs-afc-bournemouth,78,1,0,4,0.4,0.01,3,1,0,4,40,16,73.0,0.0,0,0,0.0,1,100.0,1,1,1,0,2,0,0,3,3,3,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,19
74,24-25-prem-fulham-vs-afc-bournemouth,27,1,0,1,0.25,0.29,1,2,0,4,24,10,77.0,1.0,1,0,0.0,1,100.0,1,0,3,0,3,2,2,7,5,3,43.0,4,80.0,0,0,0,0,0.0,0.0,0,0,0,19
78,24-25-prem-fulham-vs-afc-bournemouth,90,0,1,2,0.25,0.03,2,2,1,5,69,28,72.0,1.0,5,0,0.0,1,50.0,1,0,4,0,1,1,1,10,11,5,33.0,5,83.0,2,2,0,0,0.0,0.0,0,0,0,19
252,24-25-prem-fulham-vs-afc-bournemouth,68,1,0,3,0.37,0.0,2,1,0,6,39,13,65.0,0.0,1,0,0.0,0,0.0,1,0,3,1,0,0,0,7,7,5,63.0,2,33.0,3,0,0,0,0.0,0.0,0,0,0,19
249,24-25-prem-fulham-vs-afc-bournemouth,89,0,0,1,0.02,0.02,0,1,0,0,65,42,88.0,0.0,5,0,0.0,3,100.0,3,1,4,0,2,1,1,6,2,6,75.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,19
240,24-25-prem-fulham-vs-afc-bournemouth,68,0,1,0,0.0,0.04,0,0,0,0,42,21,72.0,2.0,5,1,100.0,2,50.0,0,1,3,0,2,1,2,2,5,1,25.0,1,33.0,1,0,0,0,0.0,0.0,0,0,0,19
247,24-25-prem-fulham-vs-afc-bournemouth,89,0,0,2,0.19,0.25,0,2,0,3,53,28,78.0,3.0,3,2,100.0,3,75.0,2,0,4,0,1,0,1,5,4,5,63.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,19
191,24-25-prem-fulham-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,71,44,80.0,0.0,5,0,0.0,3,33.0,0,1,6,1,9,5,0,6,5,1,33.0,5,63.0,1,2,0,0,0.0,0.0,0,0,0,19
