player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
571,24-25-prem-leicester-city-vs-manchester-city,90,1,1,2,0.21,0.45,1,0,0,6,36,21,88.0,2.0,1,1,33.0,0,0.0,0,1,2,1,0,0,0,0,2,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,19
351,24-25-prem-leicester-city-vs-manchester-city,90,1,0,6,0.87,0.13,3,2,0,11,31,9,50.0,2.0,3,1,100.0,0,0.0,0,0,0,0,1,0,1,6,2,2,50.0,4,100.0,0,0,0,0,0.0,0.0,0,0,0,19
340,24-25-prem-leicester-city-vs-manchester-city,90,0,0,0,0.0,0.02,0,0,0,0,77,68,97.0,0.0,9,0,0.0,3,75.0,0,0,5,1,4,2,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,19
354,24-25-prem-leicester-city-vs-manchester-city,90,0,0,2,0.06,0.03,0,0,0,0,73,55,96.0,2.0,8,0,0.0,0,0.0,2,2,6,0,1,0,2,4,6,4,50.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,19
342,24-25-prem-leicester-city-vs-manchester-city,90,0,0,0,0.0,0.07,0,1,0,5,60,36,86.0,1.0,1,0,0.0,0,0.0,2,2,4,0,1,0,0,6,3,6,67.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,19
117,24-25-prem-leicester-city-vs-manchester-city,90,0,0,1,0.06,0.19,0,1,0,2,52,30,91.0,1.0,2,2,100.0,2,67.0,3,0,3,0,0,0,1,8,7,8,53.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,19
635,24-25-prem-leicester-city-vs-manchester-city,90,0,0,1,0.02,0.07,0,4,0,2,81,56,92.0,2.0,11,0,0.0,5,100.0,2,0,4,0,0,0,0,8,6,7,54.0,1,100.0,0,3,0,0,0.0,0.0,0,0,0,19
345,24-25-prem-leicester-city-vs-manchester-city,90,0,0,2,0.08,0.14,0,1,0,2,62,39,89.0,1.0,8,1,25.0,1,33.0,1,0,2,0,1,0,1,4,5,4,44.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,19
350,24-25-prem-leicester-city-vs-manchester-city,90,0,0,0,0.0,0.04,0,0,0,0,86,71,95.0,0.0,9,0,0.0,2,50.0,0,0,2,0,5,2,0,1,1,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,19
341,24-25-prem-leicester-city-vs-manchester-city,70,0,0,0,0.0,0.01,0,0,0,0,54,50,96.0,0.0,3,0,0.0,2,67.0,0,0,0,0,2,2,0,2,0,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,19
