player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
533,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,0,2,1,0.09,0.22,0,1,0,5,87,48,84.0,3.0,2,3,60.0,0,0.0,2,0,7,0,0,0,0,5,2,5,71.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,19
491,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,64,1,0,1,0.15,0.02,1,0,0,5,18,5,56.0,0.0,1,0,0.0,0,0.0,2,1,1,0,0,0,0,3,0,3,100.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,19
492,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,0,1,1,0.42,0.33,0,1,1,7,51,17,74.0,4.0,2,1,33.0,0,0.0,2,1,1,0,0,0,0,6,10,5,36.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,19
550,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,78,1,0,1,0.06,0.01,1,0,0,3,24,16,89.0,0.0,0,0,0.0,0,0.0,0,0,4,0,1,0,0,1,4,1,25.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,19
480,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,1,0,2,0.1,0.18,1,1,0,3,63,35,78.0,0.0,8,0,0.0,1,33.0,1,1,5,1,3,1,0,7,7,3,33.0,4,80.0,0,3,0,0,0.0,0.0,0,0,0,19
495,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,0,1,0,0.0,0.17,0,0,0,1,75,24,55.0,2.0,11,3,75.0,1,20.0,1,2,6,1,4,3,1,2,3,2,40.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,19
553,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.03,0,0,0,0,75,53,88.0,0.0,11,0,0.0,4,80.0,3,0,6,0,1,1,1,5,2,5,71.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,19
505,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,50,0,0,0,0.0,0.03,0,0,0,1,45,23,85.0,1.0,2,0,0.0,0,0.0,3,0,2,0,0,0,0,7,2,7,88.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,19
559,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,0,0,1,50,22,73.0,1.0,4,0,0.0,0,0.0,1,0,5,0,2,0,0,3,3,2,67.0,1,33.0,1,1,0,0,0.0,0.0,0,0,0,19
566,24-25-prem-tottenham-hotspur-vs-wolverhampton-wanderers,45,1,0,1,0.22,0.0,1,0,0,1,9,4,67.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,2,0,0.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,19
