player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
148,24-25-prem-brighton-&-hove-albion-vs-manchester-united,79,1,0,3,1.11,0.02,2,0,0,4,25,15,83.0,2.0,0,0,0.0,0,0.0,1,1,2,0,0,0,0,3,0,2,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,2
144,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.05,0.02,0,1,0,2,100,76,88.0,0.0,7,0,0.0,1,20.0,2,3,11,0,2,2,0,6,3,5,71.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,2
369,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,1,0.02,0.05,0,1,0,0,81,53,90.0,1.0,2,1,100.0,2,67.0,2,2,12,1,2,1,0,6,4,4,67.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,2
129,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,1,0,3,0.53,0.12,2,1,0,3,45,18,78.0,1.0,4,1,100.0,2,100.0,2,0,3,0,0,0,1,5,10,4,29.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,2
364,24-25-prem-brighton-&-hove-albion-vs-manchester-united,89,1,0,2,0.33,0.11,1,1,1,3,53,32,78.0,1.0,2,1,50.0,1,100.0,1,0,4,0,0,0,1,3,6,3,33.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,2
145,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.45,0,0,0,1,65,36,90.0,2.0,6,1,100.0,3,100.0,2,0,3,0,2,1,2,6,4,5,71.0,1,33.0,2,1,0,0,0.0,0.0,0,0,0,2
124,24-25-prem-brighton-&-hove-albion-vs-manchester-united,89,0,0,1,0.08,0.04,0,1,0,0,66,48,89.0,0.0,13,0,0.0,4,67.0,3,0,5,0,1,1,1,6,4,6,60.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,2
134,24-25-prem-brighton-&-hove-albion-vs-manchester-united,73,0,0,2,0.16,0.04,1,1,0,2,42,22,73.0,1.0,6,1,100.0,0,0.0,0,1,2,0,2,0,0,3,1,3,75.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2
136,24-25-prem-brighton-&-hove-albion-vs-manchester-united,89,0,1,0,0.0,0.58,0,1,0,3,24,13,87.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,3,3,5,2,29.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,2
126,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.19,0,1,0,2,54,35,81.0,1.0,6,0,0.0,3,75.0,0,0,2,0,0,0,0,2,1,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,2
135,24-25-prem-brighton-&-hove-albion-vs-manchester-united,89,0,0,2,0.08,0.24,0,1,0,12,49,11,46.0,2.0,0,2,67.0,0,0.0,1,1,4,0,0,0,2,5,10,3,25.0,2,67.0,0,2,0,0,0.0,0.0,0,0,0,2
142,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,56,39,89.0,0.0,0,0,0.0,12,75.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,0.43,-0.57,1,39,12,2
120,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.01,0,0,0,0,86,74,96.0,1.0,5,0,0.0,5,71.0,0,1,4,1,2,1,0,1,2,0,0.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,2
594,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,1,0,0.0,0.02,0,0,0,3,48,29,85.0,2.0,2,0,0.0,0,0.0,1,1,3,0,0,0,0,4,4,3,60.0,1,33.0,1,2,0,0,0.0,0.0,0,0,0,2
366,24-25-prem-brighton-&-hove-albion-vs-manchester-united,79,0,0,1,0.07,0.73,0,0,0,4,49,31,78.0,3.0,5,1,20.0,1,25.0,0,0,3,0,0,0,2,3,3,2,40.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,2
378,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.01,0,4,0,2,65,41,91.0,0.0,3,0,0.0,0,0.0,2,5,6,0,0,0,3,8,8,8,53.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,2
377,24-25-prem-brighton-&-hove-albion-vs-manchester-united,79,0,0,1,0.04,0.0,0,0,0,1,54,41,91.0,1.0,1,0,0.0,0,0.0,0,2,3,1,3,1,0,2,1,1,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,2
389,24-25-prem-brighton-&-hove-albion-vs-manchester-united,45,0,0,0,0.63,0.03,0,2,0,2,19,7,78.0,1.0,0,0,0.0,0,0.0,0,0,3,1,0,0,0,3,2,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
115,24-25-prem-brighton-&-hove-albion-vs-manchester-united,17,0,0,0,0.0,0.0,0,1,0,0,12,8,100.0,0.0,1,0,0.0,0,0.0,1,0,1,0,0,0,1,4,1,4,80.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,2
593,24-25-prem-brighton-&-hove-albion-vs-manchester-united,11,0,0,0,0.0,0.0,0,0,0,0,12,8,100.0,0.0,1,0,0.0,0,0.0,0,1,1,1,2,1,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,2
368,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,3,0.1,0.02,1,0,0,3,69,44,83.0,0.0,7,0,0.0,4,80.0,3,0,4,0,0,0,0,6,2,6,86.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,2
121,24-25-prem-brighton-&-hove-albion-vs-manchester-united,11,0,0,1,0.03,0.0,0,1,0,1,12,3,75.0,0.0,0,1,25.0,0,0.0,0,0,0,0,0,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
385,24-25-prem-brighton-&-hove-albion-vs-manchester-united,65,0,0,0,0.0,0.01,0,1,0,2,23,13,72.0,0.0,3,0,0.0,1,100.0,0,0,4,0,0,0,0,2,3,2,40.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2
372,24-25-prem-brighton-&-hove-albion-vs-manchester-united,25,0,0,1,0.71,0.06,1,1,1,5,23,11,79.0,1.0,3,0,0.0,1,50.0,0,0,1,0,0,0,0,1,5,1,20.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
383,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.0,0,0,0,0,63,45,92.0,0.0,0,0,0.0,12,75.0,0,0,14,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,2,2.53,0.53,1,45,12,2
380,24-25-prem-brighton-&-hove-albion-vs-manchester-united,90,0,0,0,0.0,0.19,0,0,0,0,80,70,96.0,0.0,7,0,0.0,1,33.0,1,1,3,0,1,0,1,2,2,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2
381,24-25-prem-brighton-&-hove-albion-vs-manchester-united,11,0,0,1,0.07,0.0,0,0,0,1,11,5,100.0,0.0,1,0,0.0,1,100.0,0,0,0,0,1,1,1,0,3,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
382,24-25-prem-brighton-&-hove-albion-vs-manchester-united,45,0,0,1,0.09,0.0,1,0,0,1,22,15,94.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,1,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,2
618,24-25-prem-brighton-&-hove-albion-vs-manchester-united,1,0,0,0,0.0,0.01,0,1,0,0,5,3,100.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
365,24-25-prem-brighton-&-hove-albion-vs-manchester-united,1,0,0,0,0.0,0.05,0,0,0,1,3,1,50.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,1,2,1,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,2
600,24-25-prem-brighton-&-hove-albion-vs-manchester-united,1,0,0,1,0.02,0.03,0,0,0,1,8,3,75.0,0.0,2,0,0.0,0,0.0,0,0,2,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
113,24-25-prem-brighton-&-hove-albion-vs-manchester-united,1,0,1,1,0.09,0.56,0,0,0,2,8,3,75.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,2
