player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
433,24-25-prem-southampton-vs-nottingham-forest,89,1,0,4,0.47,0.02,2,4,0,6,57,26,79.0,3.0,6,0,0.0,2,100.0,0,1,3,0,0,0,0,11,8,9,56.0,2,67.0,2,3,0,0,0.0,0.0,0,0,0,2
422,24-25-prem-southampton-vs-nottingham-forest,90,0,0,0,0.0,0.09,0,1,0,1,73,45,90.0,1.0,7,0,0.0,1,50.0,0,3,11,1,3,2,0,4,2,4,80.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,2
434,24-25-prem-southampton-vs-nottingham-forest,89,0,0,1,0.04,0.34,1,1,0,3,44,31,89.0,4.0,1,1,33.0,4,100.0,2,0,1,0,1,1,0,3,1,3,75.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
437,24-25-prem-southampton-vs-nottingham-forest,90,0,0,5,0.28,0.02,1,0,1,2,48,22,88.0,0.0,4,1,50.0,2,50.0,2,2,4,1,4,2,1,4,1,3,75.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,2
573,24-25-prem-southampton-vs-nottingham-forest,90,0,0,3,0.98,0.01,0,0,2,3,43,28,97.0,1.0,1,0,0.0,2,67.0,0,2,5,0,6,2,0,3,0,0,0.0,3,100.0,0,0,0,0,0.0,0.0,0,0,0,2
432,24-25-prem-southampton-vs-nottingham-forest,90,0,0,2,0.22,0.24,1,1,0,6,46,17,89.0,3.0,2,2,22.0,1,100.0,1,1,5,0,1,0,1,5,7,4,36.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,2
469,24-25-prem-southampton-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,39,20,87.0,0.0,0,0,0.0,2,50.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,7,1,1.63,0.63,0,20,2,2
443,24-25-prem-southampton-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,21,6,33.0,0.0,0,0,0.0,4,25.0,0,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.02,0.02,0,6,4,2
423,24-25-prem-southampton-vs-nottingham-forest,75,0,0,2,0.05,0.03,0,0,0,3,57,33,92.0,1.0,2,0,0.0,2,67.0,3,1,7,1,1,1,1,6,7,6,50.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,2
442,24-25-prem-southampton-vs-nottingham-forest,66,0,0,1,0.02,0.04,1,0,0,2,45,27,77.0,0.0,5,0,0.0,2,50.0,2,0,6,0,1,1,1,5,4,4,50.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,2
