player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
182,24-25-prem-wolverhampton-wanderers-vs-chelsea,82,1,3,5,0.67,0.15,1,1,1,3,49,23,74.0,4.0,5,0,0.0,1,50.0,0,1,6,0,0,0,1,1,4,1,20.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,2
177,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,3,0,6,0.58,0.11,5,0,0,6,38,15,83.0,1.0,1,1,50.0,0,0.0,1,0,4,0,2,0,1,3,5,3,38.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,2
180,24-25-prem-wolverhampton-wanderers-vs-chelsea,68,1,1,1,0.17,0.01,1,0,0,4,37,18,86.0,2.0,2,0,0.0,1,100.0,0,0,1,0,1,1,0,2,6,2,29.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,2
566,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,1,0,2,0.62,0.16,1,2,1,4,28,7,54.0,1.0,1,0,0.0,0,0.0,1,0,1,1,2,2,0,5,7,3,43.0,2,40.0,0,2,0,0,0.0,0.0,0,0,0,2
621,24-25-prem-wolverhampton-wanderers-vs-chelsea,22,1,0,2,0.26,0.01,1,1,0,2,18,10,77.0,0.0,3,0,0.0,0,0.0,0,0,1,0,0,0,0,2,1,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,2
560,24-25-prem-wolverhampton-wanderers-vs-chelsea,45,0,1,0,0.0,0.05,0,1,0,3,30,20,95.0,1.0,0,0,0.0,0,0.0,1,1,2,0,0,0,0,3,4,2,33.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,2
541,24-25-prem-wolverhampton-wanderers-vs-chelsea,68,1,0,4,0.93,0.2,2,0,1,7,36,13,72.0,2.0,2,1,20.0,1,50.0,0,1,3,0,1,1,1,3,5,2,29.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,2
171,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,0,0,0,0.0,0.03,0,0,0,1,67,42,88.0,1.0,3,0,0.0,2,100.0,3,1,5,0,3,2,0,5,2,5,71.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,2
168,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,0,0,0,0.0,0.04,0,1,0,2,71,43,77.0,2.0,6,0,0.0,2,50.0,3,0,5,1,1,1,3,6,5,6,55.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,2
163,24-25-prem-wolverhampton-wanderers-vs-chelsea,82,0,0,0,0.0,0.18,0,0,0,0,65,44,94.0,0.0,4,0,0.0,4,67.0,1,2,5,0,3,2,0,4,3,3,60.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,2
565,24-25-prem-wolverhampton-wanderers-vs-chelsea,22,0,0,1,0.02,0.01,1,1,0,3,28,11,65.0,0.0,3,0,0.0,1,100.0,0,1,2,0,0,0,1,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,2
562,24-25-prem-wolverhampton-wanderers-vs-chelsea,31,0,0,0,0.0,0.01,0,2,0,0,18,9,75.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,4,0,4,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,2
157,24-25-prem-wolverhampton-wanderers-vs-chelsea,76,0,0,0,0.0,0.02,0,1,0,0,47,32,86.0,0.0,4,0,0.0,2,100.0,1,1,2,0,0,0,1,6,4,4,50.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,2
162,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,86,71,92.0,0.0,7,0,0.0,6,75.0,1,1,1,1,4,1,0,3,3,2,100.0,1,25.0,1,0,0,0,0.0,0.0,0,0,0,2
185,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,54,35,81.0,0.0,0,0,0.0,3,27.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,2,0.77,-1.23,1,35,3,2
542,24-25-prem-wolverhampton-wanderers-vs-chelsea,22,0,0,0,0.0,0.0,0,0,0,0,11,9,100.0,0.0,1,0,0.0,1,100.0,0,2,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,2
550,24-25-prem-wolverhampton-wanderers-vs-chelsea,59,0,0,0,0.0,0.01,0,0,0,1,21,9,82.0,0.0,0,0,0.0,0,0.0,0,1,3,0,2,1,1,1,4,1,20.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2
189,24-25-prem-wolverhampton-wanderers-vs-chelsea,90,0,0,0,0.0,0.0,0,0,0,0,55,42,89.0,0.0,3,0,0.0,1,20.0,0,1,1,0,3,1,1,2,5,2,33.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,2
179,24-25-prem-wolverhampton-wanderers-vs-chelsea,45,0,0,0,0.0,0.01,0,1,0,0,13,5,63.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,4,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,2
535,24-25-prem-wolverhampton-wanderers-vs-chelsea,68,0,0,0,0.0,0.01,0,0,0,1,14,3,50.0,0.0,0,0,0.0,1,100.0,1,0,0,0,0,0,0,3,3,3,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,2
