player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
29,24-25-prem-aston-villa-vs-leicester-city,76,1,0,2,0.15,0.02,1,3,0,1,69,50,98.0,0.0,1,0,0.0,2,100.0,1,3,10,0,1,1,1,9,5,8,80.0,1,25.0,2,0,0,0,0.0,0.0,0,0,0,20
32,24-25-prem-aston-villa-vs-leicester-city,90,0,0,1,0.04,0.12,1,1,0,3,90,54,89.0,2.0,5,1,50.0,0,0.0,6,0,3,0,1,1,0,11,5,10,67.0,1,100.0,2,2,0,0,0.0,0.0,0,0,0,20
28,24-25-prem-aston-villa-vs-leicester-city,90,1,0,2,0.27,0.02,2,1,0,4,49,26,81.0,0.0,1,0,0.0,1,100.0,0,1,6,0,0,0,1,1,8,1,11.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,20
42,24-25-prem-aston-villa-vs-leicester-city,90,0,0,0,0.0,0.05,0,1,0,2,73,58,94.0,2.0,6,0,0.0,3,100.0,0,0,1,0,2,1,1,3,2,3,60.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
36,24-25-prem-aston-villa-vs-leicester-city,76,0,0,1,0.02,0.03,0,0,0,0,79,48,84.0,0.0,5,0,0.0,2,67.0,1,3,3,0,1,1,1,6,3,3,50.0,3,100.0,0,2,0,0,0.0,0.0,0,0,0,20
47,24-25-prem-aston-villa-vs-leicester-city,90,0,0,0,0.0,0.0,0,0,0,0,37,25,89.0,0.0,0,0,0.0,1,25.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,0.8,-0.2,1,25,1,20
44,24-25-prem-aston-villa-vs-leicester-city,90,0,0,0,0.0,0.01,0,0,0,1,96,87,96.0,0.0,5,0,0.0,5,100.0,0,0,2,0,2,0,0,3,0,2,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,20
45,24-25-prem-aston-villa-vs-leicester-city,14,0,1,0,0.0,0.42,0,0,0,1,25,17,89.0,1.0,1,0,0.0,1,50.0,0,1,1,0,1,0,0,1,3,1,33.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,20
57,24-25-prem-aston-villa-vs-leicester-city,90,0,0,2,0.08,0.01,1,0,0,2,57,36,88.0,0.0,7,0,0.0,1,50.0,2,0,1,0,2,2,0,5,6,3,38.0,2,67.0,1,2,0,0,0.0,0.0,0,0,0,20
307,24-25-prem-aston-villa-vs-leicester-city,62,0,0,0,0.0,0.0,0,0,0,0,55,44,94.0,0.0,1,0,0.0,1,33.0,1,1,1,0,4,3,0,5,0,3,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,20
298,24-25-prem-aston-villa-vs-leicester-city,90,1,0,2,0.23,0.01,1,0,1,5,49,21,88.0,0.0,0,0,0.0,1,50.0,0,1,4,1,0,0,1,2,12,2,15.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,20
306,24-25-prem-aston-villa-vs-leicester-city,90,0,0,1,0.15,0.0,1,0,1,2,13,6,100.0,0.0,0,0,0.0,0,0.0,0,0,2,1,1,1,0,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,20
53,24-25-prem-aston-villa-vs-leicester-city,71,0,0,0,0.0,0.28,0,0,0,3,48,33,87.0,1.0,1,0,0.0,0,0.0,0,1,5,0,0,0,0,1,3,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,20
309,24-25-prem-aston-villa-vs-leicester-city,90,0,0,0,0.0,0.03,0,0,0,0,62,47,90.0,0.0,5,1,100.0,0,0.0,0,1,7,0,0,0,1,6,2,6,75.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,20
291,24-25-prem-aston-villa-vs-leicester-city,28,0,0,0,0.0,0.0,0,0,0,0,18,16,100.0,0.0,1,0,0.0,0,0.0,1,1,3,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
635,24-25-prem-aston-villa-vs-leicester-city,82,0,0,1,0.05,0.04,0,1,0,1,34,21,81.0,1.0,1,0,0.0,1,100.0,1,0,1,0,0,0,2,2,5,2,33.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,20
