player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
99,24-25-prem-southampton-vs-brentford,90,2,1,4,1.28,0.48,3,0,0,5,80,47,84.0,5.0,5,0,0.0,0,0.0,2,1,2,0,2,1,0,6,6,5,63.0,1,25.0,2,1,0,0,0.0,0.0,0,0,0,20
110,24-25-prem-southampton-vs-brentford,90,1,1,8,1.38,0.11,5,0,4,9,35,16,76.0,1.0,3,0,0.0,0,0.0,0,0,1,0,0,0,0,0,4,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,20
98,24-25-prem-southampton-vs-brentford,90,1,0,2,0.75,0.37,1,1,1,5,41,33,100.0,2.0,3,0,0.0,0,0.0,1,0,4,0,1,1,1,4,2,3,60.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,20
89,24-25-prem-southampton-vs-brentford,90,0,1,1,0.04,0.21,0,2,0,1,61,41,82.0,5.0,6,0,0.0,0,0.0,0,1,8,0,0,0,3,3,6,3,33.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,20
91,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,53,31,72.0,0.0,0,0,0.0,4,25.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.65,0.65,0,31,4,20
101,24-25-prem-southampton-vs-brentford,81,0,0,1,0.34,0.02,0,0,1,4,60,37,84.0,1.0,11,1,100.0,4,67.0,1,2,3,0,2,0,1,6,4,5,63.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,20
106,24-25-prem-southampton-vs-brentford,81,1,0,2,0.52,0.02,1,0,0,3,16,4,50.0,1.0,1,0,0.0,0,0.0,0,1,1,0,1,1,1,3,6,1,20.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,20
88,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,0,73,54,90.0,0.0,2,0,0.0,2,50.0,1,0,9,1,5,1,1,8,5,4,80.0,4,50.0,2,0,0,0,0.0,0.0,0,0,0,20
105,24-25-prem-southampton-vs-brentford,90,0,0,1,0.07,0.02,1,0,0,3,62,41,91.0,0.0,6,0,0.0,1,33.0,2,0,5,1,0,0,2,4,4,4,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,20
95,24-25-prem-southampton-vs-brentford,71,0,0,0,0.0,0.3,0,0,0,1,39,24,89.0,1.0,6,1,100.0,3,100.0,3,0,4,0,1,0,2,5,5,3,38.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,20
188,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,1,42,22,79.0,0.0,3,0,0.0,1,50.0,4,0,5,0,2,0,2,10,6,8,62.0,2,67.0,0,2,0,0,0.0,0.0,0,0,0,20
452,24-25-prem-southampton-vs-brentford,87,0,0,0,0.0,0.04,0,1,0,2,54,40,95.0,4.0,5,0,0.0,1,100.0,0,1,5,0,1,0,0,3,3,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,20
27,24-25-prem-southampton-vs-brentford,35,0,0,0,0.0,0.01,0,2,0,1,16,9,82.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,1,5,3,3,60.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,20
457,24-25-prem-southampton-vs-brentford,45,0,0,0,0.0,0.12,0,0,0,3,35,27,93.0,1.0,1,0,0.0,0,0.0,0,1,5,0,1,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
462,24-25-prem-southampton-vs-brentford,55,0,0,1,0.01,0.11,0,1,0,3,34,25,96.0,1.0,1,1,50.0,1,100.0,0,0,5,0,0,0,0,2,5,1,25.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,20
94,24-25-prem-southampton-vs-brentford,19,0,0,0,0.0,0.01,0,0,0,1,21,16,89.0,0.0,2,0,0.0,0,0.0,0,0,3,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
453,24-25-prem-southampton-vs-brentford,35,0,0,0,0.0,0.0,0,1,0,1,15,11,85.0,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,20
608,24-25-prem-southampton-vs-brentford,90,0,0,2,0.04,0.03,0,4,0,2,54,28,78.0,0.0,2,0,0.0,1,50.0,1,0,2,0,1,0,0,6,6,6,55.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,20
475,24-25-prem-southampton-vs-brentford,45,0,0,0,0.0,0.01,0,0,0,0,27,24,100.0,0.0,3,0,0.0,3,100.0,0,0,1,0,1,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
470,24-25-prem-southampton-vs-brentford,55,0,0,1,0.12,0.01,1,1,0,1,20,7,58.0,0.0,3,0,0.0,0,0.0,0,0,0,0,0,0,0,8,7,2,40.0,6,60.0,0,1,0,0,0.0,0.0,0,0,0,20
455,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.02,0,1,0,0,67,49,96.0,0.0,5,0,0.0,0,0.0,1,1,5,0,7,3,0,8,0,4,100.0,4,100.0,1,1,0,0,0.0,0.0,0,0,0,20
476,24-25-prem-southampton-vs-brentford,90,0,0,3,0.1,0.04,0,1,0,5,68,41,89.0,0.0,5,0,0.0,0,0.0,0,0,3,0,2,1,0,1,7,1,13.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,20
14,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,49,17,52.0,0.0,0,0,0.0,9,38.0,0,0,14,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,5,4.48,-0.52,0,17,9,20
461,24-25-prem-southampton-vs-brentford,90,0,0,1,0.02,0.04,0,0,0,0,83,58,83.0,0.0,14,0,0.0,2,29.0,2,1,6,3,3,1,0,3,4,2,50.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,20
474,24-25-prem-southampton-vs-brentford,45,0,0,0,0.0,0.0,0,0,0,0,19,12,86.0,0.0,0,0,0.0,1,100.0,0,0,1,0,2,2,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
463,24-25-prem-southampton-vs-brentford,3,0,0,0,0.0,0.0,0,0,0,0,4,1,50.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,20
111,24-25-prem-southampton-vs-brentford,9,0,0,1,0.08,0.02,0,0,0,3,9,5,100.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,1,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,20
338,24-25-prem-southampton-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,1,50,39,91.0,0.0,2,0,0.0,0,0.0,0,0,3,0,4,3,0,5,4,2,67.0,3,50.0,1,1,0,0,0.0,0.0,0,0,0,20
