player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
443,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,38,13,52.0,0.0,0,0,0.0,10,45.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,0,0.76,0.76,0,13,10,20
434,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,1,1,0.3,0.36,0,1,1,4,52,38,93.0,2.0,1,0,0.0,1,100.0,1,0,6,0,0,0,0,3,2,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,20
422,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,1,0,1,56,23,72.0,0.0,8,0,0.0,1,33.0,2,2,9,0,4,1,1,5,3,4,57.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,20
436,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,0,1,0.03,0.01,0,0,0,0,59,26,74.0,0.0,10,0,0.0,4,50.0,3,2,4,4,8,3,0,3,3,3,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,20
447,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,88,1,0,2,0.36,0.01,1,0,0,2,22,11,79.0,0.0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,5,1,2,67.0,3,100.0,2,1,0,0,0.0,0.0,0,0,0,20
432,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,70,0,1,0,0.0,0.23,0,0,0,3,35,19,86.0,4.0,1,1,33.0,1,100.0,1,0,1,0,0,0,0,3,3,3,60.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,20
433,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,88,1,0,1,0.2,0.07,1,0,0,5,58,35,76.0,0.0,7,0,0.0,0,0.0,0,0,2,0,2,1,0,4,6,0,0.0,4,80.0,0,1,0,0,0.0,0.0,0,0,0,20
437,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,1,0,0,56,31,89.0,0.0,5,0,0.0,1,50.0,0,2,5,0,3,0,0,4,1,3,75.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,20
423,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,69,0,0,2,0.13,0.01,0,0,0,1,53,29,81.0,0.0,3,0,0.0,0,0.0,2,1,9,0,1,0,0,6,1,4,80.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,20
573,24-25-prem-wolverhampton-wanderers-vs-nottingham-forest,90,0,0,1,0.1,0.0,0,0,0,2,32,18,82.0,0.0,3,0,0.0,2,40.0,1,0,2,0,8,2,0,3,3,1,100.0,2,40.0,0,0,0,0,0.0,0.0,0,0,0,20
