player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
168,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,2,0.12,0.24,1,1,1,3,81,49,83.0,7.0,12,1,20.0,8,89.0,1,1,11,0,1,0,0,6,5,6,67.0,0,0.0,4,1,0,0,0.0,0.0,0,0,0,21
180,24-25-prem-chelsea-vs-afc-bournemouth,90,0,1,7,1.11,0.31,3,2,3,8,39,15,88.0,2.0,2,0,0.0,0,0.0,0,0,2,0,1,0,0,5,5,4,44.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,21
71,24-25-prem-chelsea-vs-afc-bournemouth,68,1,0,4,1.12,0.06,1,2,0,8,34,9,64.0,0.0,3,0,0.0,1,100.0,0,2,4,0,0,0,2,6,5,6,60.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,21
182,24-25-prem-chelsea-vs-afc-bournemouth,90,1,0,4,0.69,0.5,3,1,0,3,50,26,87.0,3.0,5,2,33.0,4,80.0,0,0,1,0,0,0,1,3,6,3,38.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,21
84,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,47,19,61.0,0.0,0,0,0.0,4,25.0,0,0,8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,8,2,3.15,1.15,0,19,4,21
78,24-25-prem-chelsea-vs-afc-bournemouth,90,1,0,1,0.03,0.02,1,2,0,4,37,14,78.0,0.0,2,0,0.0,0,0.0,1,0,2,0,0,0,2,8,10,6,40.0,2,67.0,3,3,0,0,0.0,0.0,0,0,0,21
172,24-25-prem-chelsea-vs-afc-bournemouth,35,1,0,1,0.06,0.1,1,2,0,0,37,23,85.0,1.0,2,1,100.0,1,100.0,0,0,1,0,0,0,2,5,3,2,40.0,3,100.0,0,0,0,0,0.0,0.0,0,0,0,21
580,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,0,0.0,0.08,0,0,0,1,66,44,86.0,1.0,7,0,0.0,5,50.0,2,4,7,3,4,1,2,5,3,3,50.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,21
386,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,2,0.09,0.05,0,4,0,6,41,25,81.0,2.0,3,0,0.0,0,0.0,0,0,3,0,0,0,1,4,3,4,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,21
60,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,1,59,39,80.0,1.0,6,0,0.0,0,0.0,1,0,5,0,3,2,0,3,1,2,67.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,21
64,24-25-prem-chelsea-vs-afc-bournemouth,90,0,0,0,0.0,0.03,0,1,0,1,45,21,78.0,1.0,4,0,0.0,2,33.0,1,0,7,0,2,1,1,5,4,3,50.0,2,67.0,0,2,0,0,0.0,0.0,0,0,0,21
