player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
594,24-25-prem-manchester-united-vs-southampton,82,0,0,0,0.0,0.06,0,0,0,0,70,36,77.0,3.0,5,0,0.0,0,0.0,4,1,7,0,3,1,1,7,4,6,75.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,21
372,24-25-prem-manchester-united-vs-southampton,90,0,0,7,0.53,0.34,3,2,1,12,65,32,82.0,3.0,1,0,0.0,1,100.0,0,0,8,0,1,1,1,5,9,5,45.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,21
383,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,48,30,70.0,0.0,0,0,0.0,3,19.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,0.67,0.67,0,30,3,21
593,24-25-prem-manchester-united-vs-southampton,90,0,0,1,0.04,0.01,0,0,0,1,84,63,91.0,0.0,4,0,0.0,0,0.0,1,3,7,2,6,5,0,4,0,1,100.0,3,100.0,0,0,0,0,0.0,0.0,0,0,0,21
452,24-25-prem-manchester-united-vs-southampton,73,0,0,1,0.07,0.02,0,1,0,1,50,36,88.0,2.0,1,0,0.0,1,50.0,1,0,11,0,0,0,2,3,2,3,60.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,21
366,24-25-prem-manchester-united-vs-southampton,90,0,0,5,0.44,0.22,2,0,1,5,85,57,85.0,2.0,6,0,0.0,1,33.0,0,0,6,0,1,0,2,3,8,3,38.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,21
188,24-25-prem-manchester-united-vs-southampton,83,0,0,0,0.0,0.02,0,1,0,0,61,37,90.0,0.0,7,0,0.0,1,50.0,2,0,4,3,3,1,0,11,2,6,86.0,5,83.0,1,0,0,0,0.0,0.0,0,0,0,21
455,24-25-prem-manchester-united-vs-southampton,83,0,0,0,0.0,0.0,0,0,0,0,58,36,97.0,0.0,2,0,0.0,4,100.0,2,3,2,3,5,5,0,9,6,4,57.0,5,63.0,1,3,0,0,0.0,0.0,0,0,0,21
462,24-25-prem-manchester-united-vs-southampton,90,0,0,4,0.4,0.01,1,5,0,5,44,16,80.0,0.0,0,0,0.0,2,100.0,0,1,5,0,0,0,0,8,6,7,58.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,21
365,24-25-prem-manchester-united-vs-southampton,45,0,0,2,0.77,0.07,1,1,1,4,30,13,76.0,1.0,0,1,100.0,0,0.0,1,0,1,0,0,0,1,4,5,4,50.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,21
380,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.02,0,0,0,1,83,64,88.0,1.0,3,1,50.0,1,50.0,0,1,1,1,4,1,2,2,4,0,0.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,21
476,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.02,0,0,0,1,51,26,84.0,2.0,7,0,0.0,1,100.0,2,1,3,2,3,1,1,4,4,4,50.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,21
608,24-25-prem-manchester-united-vs-southampton,63,0,0,3,0.19,0.01,2,2,0,4,38,15,75.0,1.0,0,0,0.0,0,0.0,0,0,3,0,1,0,0,3,6,2,29.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,21
474,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.04,0,0,0,2,50,22,79.0,1.0,3,1,50.0,1,100.0,0,3,2,0,5,4,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,21
457,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,1,59,32,68.0,1.0,9,0,0.0,2,40.0,3,1,7,0,2,1,0,7,2,3,60.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,21
613,24-25-prem-manchester-united-vs-southampton,37,0,0,0,0.0,0.01,0,0,0,0,25,20,95.0,0.0,1,0,0.0,0,0.0,2,0,0,0,0,0,1,3,2,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,21
518,24-25-prem-manchester-united-vs-southampton,17,0,0,0,0.0,0.0,0,1,0,1,12,3,50.0,0.0,2,0,0.0,0,0.0,0,0,0,0,2,1,0,1,2,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,21
389,24-25-prem-manchester-united-vs-southampton,37,0,0,1,0.03,0.02,0,0,0,4,22,9,69.0,2.0,1,0,0.0,0,0.0,0,0,3,1,0,0,0,3,5,1,20.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,21
375,24-25-prem-manchester-united-vs-southampton,53,0,0,1,0.22,0.1,0,0,0,3,17,7,78.0,2.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,8,1,25.0,1,17.0,1,1,0,0,0.0,0.0,0,0,0,21
652,24-25-prem-manchester-united-vs-southampton,53,0,0,0,0.0,0.02,0,1,0,0,51,28,88.0,0.0,3,0,0.0,4,80.0,2,3,3,0,1,0,1,5,5,5,56.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,21
14,24-25-prem-manchester-united-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,45,17,47.0,0.0,0,0,0.0,7,27.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,6,3,2.58,-0.42,0,17,7,21
378,24-25-prem-manchester-united-vs-southampton,45,0,0,0,0.0,0.0,0,0,0,2,30,18,82.0,0.0,1,0,0.0,1,100.0,0,0,4,0,1,0,0,0,5,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,21
471,24-25-prem-manchester-united-vs-southampton,27,0,0,0,0.0,0.0,0,0,0,0,14,8,67.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,1,2,2,1,33.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,21
