player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
220,24-25-prem-everton-vs-tottenham-hotspur,90,1,0,6,0.9,0.05,2,2,2,12,48,14,74.0,1.0,4,0,0.0,0,0.0,0,0,1,0,2,2,1,16,11,5,42.0,11,73.0,4,3,0,0,0.0,0.0,0,0,0,22
577,24-25-prem-everton-vs-tottenham-hotspur,70,0,0,1,0.03,0.48,1,0,0,2,50,19,90.0,4.0,1,4,36.0,0,0.0,4,2,5,0,2,0,4,6,10,6,40.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,22
492,24-25-prem-everton-vs-tottenham-hotspur,90,1,0,1,0.11,0.08,1,0,0,2,55,35,88.0,5.0,5,0,0.0,2,67.0,0,0,3,0,0,0,2,3,10,3,27.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,22
236,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,1,0.26,0.37,1,0,1,2,55,34,83.0,1.0,5,0,0.0,7,70.0,2,2,3,0,5,4,1,7,1,3,75.0,4,100.0,0,0,0,0,0.0,0.0,0,0,0,22
651,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,1,0.22,0.01,1,0,0,2,36,21,84.0,1.0,3,0,0.0,0,0.0,1,1,1,1,2,0,0,4,2,4,67.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,22
504,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,1,0.02,0.03,0,7,0,4,91,46,81.0,0.0,8,0,0.0,0,0.0,3,0,6,0,1,0,1,13,8,12,60.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,22
481,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,1,0.04,0.04,0,0,0,0,95,75,93.0,0.0,5,0,0.0,4,100.0,3,1,5,0,2,0,0,5,4,5,56.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,22
219,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,0,0.0,0.01,0,0,0,0,45,24,75.0,0.0,8,0,0.0,5,56.0,3,2,1,0,6,2,0,3,1,3,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
495,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,0,0.0,0.04,0,1,0,0,81,41,77.0,0.0,10,0,0.0,3,50.0,1,1,3,0,2,1,0,4,1,4,80.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,22
582,24-25-prem-everton-vs-tottenham-hotspur,88,0,0,0,0.0,0.03,0,0,0,2,51,23,77.0,1.0,6,1,100.0,2,40.0,0,0,2,1,6,3,0,1,2,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,22
497,24-25-prem-everton-vs-tottenham-hotspur,45,1,0,3,0.37,0.0,2,0,0,3,16,3,43.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,4,1,25.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,22
610,24-25-prem-everton-vs-tottenham-hotspur,17,0,1,1,0.15,0.4,1,0,0,4,18,9,82.0,1.0,1,1,25.0,0,0.0,0,0,0,0,0,0,0,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,22
235,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,0,0.0,0.01,0,0,0,0,45,26,72.0,0.0,0,0,0.0,12,55.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,2,1.98,-0.02,0,26,12,22
231,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,1,0.11,0.01,0,1,0,0,47,22,85.0,0.0,5,0,0.0,2,40.0,2,0,0,0,5,3,0,4,3,4,80.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,22
503,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,2,0.33,0.18,2,1,1,4,50,28,85.0,0.0,1,1,33.0,0,0.0,1,0,4,0,2,2,0,4,5,2,33.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,22
217,24-25-prem-everton-vs-tottenham-hotspur,90,0,0,0,0.0,0.01,0,1,0,3,40,19,83.0,0.0,2,0,0.0,0,0.0,1,0,6,1,1,0,1,3,10,3,33.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,22
