player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
135,24-25-prem-manchester-united-vs-brighton-&-hove-albion,69,1,1,2,0.55,0.62,1,1,0,6,27,8,62.0,2.0,0,0,0.0,0,0.0,3,1,2,0,0,0,1,4,7,4,57.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,22
136,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,1,1,1,0.9,0.34,1,0,0,3,45,21,75.0,2.0,0,0,0.0,1,33.0,1,1,4,0,1,1,0,2,6,2,25.0,0,0.0,0,3,0,0,0.0,0.0,0,0,0,22
366,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,1,0,2,0.88,0.23,1,1,0,3,75,45,79.0,1.0,12,1,14.0,4,44.0,0,1,3,0,0,0,0,2,2,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,22
364,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,1,0.09,0.12,0,1,0,8,52,20,77.0,4.0,0,1,100.0,0,0.0,3,1,3,0,1,0,1,8,4,7,64.0,1,100.0,3,0,0,0,0.0,0.0,0,0,0,22
148,24-25-prem-manchester-united-vs-brighton-&-hove-albion,69,0,0,1,0.26,0.02,0,2,1,5,36,21,95.0,0.0,0,0,0.0,0,0.0,1,1,4,0,0,0,1,6,2,6,75.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,22
618,24-25-prem-manchester-united-vs-brighton-&-hove-albion,21,1,0,1,0.26,0.02,1,0,0,3,14,3,60.0,0.0,1,0,0.0,0,0.0,1,0,1,0,0,0,0,3,0,2,100.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,22
600,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.03,0,2,0,0,64,45,87.0,0.0,5,0,0.0,1,33.0,0,1,3,1,2,0,0,5,4,3,60.0,2,50.0,0,3,0,0,0.0,0.0,0,0,0,22
144,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,1,75,59,89.0,0.0,4,0,0.0,3,60.0,1,0,5,2,2,1,0,4,2,2,67.0,2,67.0,0,1,0,0,0.0,0.0,0,0,0,22
122,24-25-prem-manchester-united-vs-brighton-&-hove-albion,84,0,0,0,0.0,0.01,0,1,0,0,61,34,92.0,0.0,4,0,0.0,2,67.0,1,1,3,0,2,1,0,6,3,6,67.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,22
120,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,0,80,66,93.0,0.0,7,0,0.0,3,43.0,1,0,0,1,3,2,0,3,1,2,67.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,22
115,24-25-prem-manchester-united-vs-brighton-&-hove-albion,89,0,0,1,0.02,0.01,0,2,0,0,46,22,79.0,1.0,6,0,0.0,5,56.0,1,1,5,0,0,0,0,8,7,6,50.0,2,67.0,2,2,0,0,0.0,0.0,0,0,0,22
129,24-25-prem-manchester-united-vs-brighton-&-hove-albion,89,0,0,0,0.0,0.01,0,2,0,5,41,18,75.0,0.0,1,0,0.0,0,0.0,0,0,3,0,0,0,0,6,7,4,44.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,22
369,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.04,0,2,0,3,72,34,76.0,1.0,2,0,0.0,0,0.0,0,2,8,1,2,1,0,5,6,3,33.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,22
146,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,40,21,58.0,0.0,0,0,0.0,5,26.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0.82,-0.18,0,21,5,22
613,24-25-prem-manchester-united-vs-brighton-&-hove-albion,26,0,0,0,0.0,0.01,0,0,0,0,22,18,95.0,0.0,0,0,0.0,0,0.0,1,0,4,0,0,0,0,2,1,1,50.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,22
389,24-25-prem-manchester-united-vs-brighton-&-hove-albion,84,0,0,2,0.21,0.01,0,0,0,4,33,12,80.0,0.0,0,0,0.0,1,100.0,1,0,3,0,0,0,0,7,10,5,45.0,2,33.0,3,2,0,0,0.0,0.0,0,0,0,22
593,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,1,0.04,0.01,0,0,0,1,62,47,87.0,2.0,7,0,0.0,4,50.0,2,1,1,0,2,0,0,4,2,3,60.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,22
594,24-25-prem-manchester-united-vs-brighton-&-hove-albion,84,0,0,0,0.0,0.05,0,0,0,2,45,25,83.0,1.0,3,0,0.0,0,0.0,1,2,4,0,0,0,2,1,6,1,17.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,22
377,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.01,0,0,0,1,75,53,87.0,0.0,5,0,0.0,7,64.0,0,1,6,0,4,2,1,4,3,3,50.0,1,100.0,1,1,0,0,0.0,0.0,0,0,0,22
652,24-25-prem-manchester-united-vs-brighton-&-hove-albion,64,0,0,1,0.04,0.0,0,0,0,0,39,22,81.0,0.0,2,0,0.0,0,0.0,2,0,4,0,0,0,4,3,8,3,30.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,22
378,24-25-prem-manchester-united-vs-brighton-&-hove-albion,64,0,0,0,0.0,0.01,0,0,0,1,43,30,88.0,0.0,1,0,0.0,0,0.0,1,0,2,0,0,0,0,3,5,2,33.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,22
372,24-25-prem-manchester-united-vs-brighton-&-hove-albion,26,0,0,2,0.07,0.01,0,0,0,3,13,5,71.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,2,0,5,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
383,24-25-prem-manchester-united-vs-brighton-&-hove-albion,90,0,0,0,0.0,0.0,0,0,0,0,30,13,52.0,0.0,0,0,0.0,4,27.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,3,2.22,-0.78,1,13,4,22
131,24-25-prem-manchester-united-vs-brighton-&-hove-albion,6,0,0,0,0.0,0.0,0,0,0,0,6,2,100.0,0.0,1,0,0.0,0,0.0,0,0,2,1,0,0,1,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
365,24-25-prem-manchester-united-vs-brighton-&-hove-albion,6,0,0,0,0.0,0.03,0,0,0,1,4,1,50.0,0.0,0,1,100.0,0,0.0,0,0,2,0,0,0,0,1,0,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,22
121,24-25-prem-manchester-united-vs-brighton-&-hove-albion,1,0,0,0,0.0,0.0,0,0,0,2,5,1,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
