player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
447,24-25-prem-nottingham-forest-vs-southampton,83,1,1,4,0.66,0.02,1,1,1,6,31,14,78.0,2.0,3,0,0.0,1,100.0,1,0,2,1,0,0,0,8,4,3,100.0,5,56.0,1,0,0,0,0.0,0.0,0,0,0,22
433,24-25-prem-nottingham-forest-vs-southampton,83,0,1,2,0.7,0.08,1,1,1,5,66,44,88.0,1.0,3,0,0.0,1,100.0,1,0,6,1,0,0,0,9,5,7,70.0,2,50.0,5,2,0,0,0.0,0.0,0,0,0,22
422,24-25-prem-nottingham-forest-vs-southampton,90,0,1,0,0.0,0.1,0,0,0,1,47,26,84.0,1.0,5,1,100.0,0,0.0,2,1,5,1,1,0,2,4,4,4,57.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,22
434,24-25-prem-nottingham-forest-vs-southampton,38,1,0,1,0.08,0.04,1,1,0,1,23,16,94.0,1.0,3,1,50.0,0,0.0,0,1,3,0,0,0,1,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,22
623,24-25-prem-nottingham-forest-vs-southampton,90,0,1,1,0.15,0.37,0,2,0,1,69,30,79.0,3.0,5,7,64.0,0,0.0,1,1,4,1,1,0,2,5,7,5,45.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,22
423,24-25-prem-nottingham-forest-vs-southampton,90,1,0,1,0.02,0.01,1,0,0,2,61,40,87.0,0.0,4,0,0.0,2,100.0,1,1,7,0,2,1,3,4,7,4,36.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,22
436,24-25-prem-nottingham-forest-vs-southampton,90,0,0,0,0.0,0.01,0,2,0,2,50,27,79.0,0.0,8,0,0.0,4,50.0,3,3,4,1,2,1,0,8,2,6,100.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,22
188,24-25-prem-nottingham-forest-vs-southampton,45,0,1,1,0.03,0.03,0,3,0,1,36,22,88.0,1.0,7,0,0.0,0,0.0,1,0,2,0,1,1,0,5,4,4,57.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,22
431,24-25-prem-nottingham-forest-vs-southampton,83,0,0,1,0.01,0.5,0,0,0,2,50,34,94.0,1.0,3,1,100.0,1,100.0,2,0,2,1,2,1,1,5,2,4,80.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,22
470,24-25-prem-nottingham-forest-vs-southampton,32,1,0,3,0.21,0.01,2,0,0,4,15,5,63.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,3,3,0,0.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,22
437,24-25-prem-nottingham-forest-vs-southampton,90,0,0,1,0.01,0.04,0,0,0,2,76,37,86.0,1.0,6,1,100.0,3,75.0,0,1,4,0,4,4,1,8,2,6,75.0,2,100.0,2,0,0,0,0.0,0.0,0,0,0,22
467,24-25-prem-nottingham-forest-vs-southampton,32,0,0,0,0.0,0.06,0,0,0,1,30,18,95.0,1.0,1,1,33.0,0,0.0,2,0,4,0,3,1,1,4,2,3,60.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,22
596,24-25-prem-nottingham-forest-vs-southampton,52,0,0,3,0.37,0.32,0,2,1,5,24,9,69.0,1.0,2,0,0.0,0,0.0,1,1,3,0,0,0,2,4,5,4,57.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,22
452,24-25-prem-nottingham-forest-vs-southampton,90,0,0,0,0.0,0.03,0,1,0,2,67,54,93.0,1.0,8,0,0.0,1,100.0,0,0,4,1,2,1,0,3,9,1,25.0,2,25.0,0,2,0,0,0.0,0.0,0,0,0,22
443,24-25-prem-nottingham-forest-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,26,10,50.0,0.0,0,0,0.0,6,38.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,2,1.67,-0.33,0,10,6,22
474,24-25-prem-nottingham-forest-vs-southampton,58,0,0,0,0.0,0.06,0,1,0,0,41,27,93.0,0.0,2,1,25.0,1,50.0,0,1,3,0,2,0,1,1,3,1,25.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,22
432,24-25-prem-nottingham-forest-vs-southampton,74,0,0,1,0.11,0.17,1,0,1,2,46,25,89.0,1.0,1,2,29.0,0,0.0,0,0,2,0,1,1,0,0,6,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
476,24-25-prem-nottingham-forest-vs-southampton,90,0,0,1,0.05,0.07,0,1,0,1,65,35,92.0,1.0,3,1,50.0,0,0.0,2,0,2,0,0,0,0,4,6,4,44.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,22
573,24-25-prem-nottingham-forest-vs-southampton,90,0,0,0,0.0,0.02,0,0,0,0,37,24,80.0,0.0,5,0,0.0,5,63.0,0,1,0,0,3,2,1,5,3,1,50.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,22
518,24-25-prem-nottingham-forest-vs-southampton,45,0,0,1,0.02,0.01,0,0,0,1,37,28,93.0,0.0,2,0,0.0,2,67.0,1,1,3,0,2,1,0,2,5,2,33.0,0,0.0,1,4,0,0,0.0,0.0,0,0,0,22
455,24-25-prem-nottingham-forest-vs-southampton,90,1,0,2,0.36,0.0,2,0,1,3,65,46,88.0,1.0,2,0,0.0,0,0.0,0,1,4,1,6,4,2,5,7,0,0.0,5,63.0,0,1,0,0,0.0,0.0,0,0,0,22
27,24-25-prem-nottingham-forest-vs-southampton,58,0,0,0,0.0,0.14,0,2,0,2,20,10,83.0,1.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,3,6,2,29.0,1,50.0,0,2,0,0,0.0,0.0,0,0,0,22
453,24-25-prem-nottingham-forest-vs-southampton,58,0,0,0,0.0,0.02,0,0,0,4,24,14,82.0,0.0,1,0,0.0,0,0.0,1,0,3,0,1,1,0,2,3,1,25.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,22
457,24-25-prem-nottingham-forest-vs-southampton,86,0,0,0,0.0,0.01,0,1,0,0,64,46,92.0,0.0,6,0,0.0,1,50.0,1,1,3,0,5,5,0,5,3,2,67.0,3,60.0,0,0,0,0,0.0,0.0,0,0,0,22
461,24-25-prem-nottingham-forest-vs-southampton,90,0,0,1,0.07,0.02,0,0,0,2,72,56,92.0,0.0,7,0,0.0,0,0.0,0,1,3,0,7,3,0,4,2,0,0.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,22
653,24-25-prem-nottingham-forest-vs-southampton,16,0,0,0,0.0,0.0,0,0,0,0,7,5,71.0,0.0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,22
462,24-25-prem-nottingham-forest-vs-southampton,32,0,0,0,0.0,0.01,0,1,0,1,13,6,75.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,2,1,33.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
14,24-25-prem-nottingham-forest-vs-southampton,90,0,0,0,0.0,0.0,0,0,0,0,29,9,41.0,0.0,0,0,0.0,5,28.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,3,0.72,-2.28,0,9,5,22
424,24-25-prem-nottingham-forest-vs-southampton,7,0,0,0,0.0,0.0,0,0,0,0,9,2,40.0,0.0,2,0,0.0,0,0.0,1,0,1,0,0,0,1,1,5,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
449,24-25-prem-nottingham-forest-vs-southampton,7,0,0,0,0.0,0.0,0,0,0,0,5,1,25.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
471,24-25-prem-nottingham-forest-vs-southampton,4,0,0,0,0.0,0.0,0,0,0,0,8,6,100.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,22
620,24-25-prem-nottingham-forest-vs-southampton,7,0,0,0,0.0,0.0,0,0,0,0,9,3,100.0,0.0,0,0,0.0,1,100.0,0,0,3,0,1,0,0,2,2,2,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,22
