player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
232,24-25-prem-brighton-&-hove-albion-vs-everton,78,1,0,1,0.79,0.0,1,0,0,1,41,20,74.0,0.0,2,0,0.0,0,0.0,0,0,10,0,2,1,2,4,5,3,38.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,23
222,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.01,0,1,0,0,54,30,86.0,1.0,3,0,0.0,2,67.0,4,2,6,0,1,0,2,11,6,10,67.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,23
144,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.11,0,0,0,0,123,97,90.0,2.0,13,1,33.0,3,38.0,1,1,7,0,3,3,0,8,4,4,100.0,4,50.0,2,1,0,0,0.0,0.0,0,0,0,23
145,24-25-prem-brighton-&-hove-albion-vs-everton,84,0,0,2,0.07,0.1,0,1,0,0,128,82,86.0,2.0,13,2,67.0,3,60.0,2,2,4,0,4,2,0,7,1,5,83.0,2,100.0,0,2,0,0,0.0,0.0,0,0,0,23
582,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.0,0,0,0,0,50,20,77.0,0.0,4,0,0.0,1,33.0,4,1,4,0,10,3,1,5,4,4,67.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,23
219,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.02,0,0,0,1,60,35,85.0,0.0,6,0,0.0,3,60.0,0,1,0,2,13,6,0,4,1,1,100.0,3,75.0,1,0,0,0,0.0,0.0,0,0,0,23
120,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.09,0,0,0,0,138,120,92.0,0.0,29,0,0.0,10,59.0,0,0,5,0,6,6,2,8,5,2,50.0,6,67.0,0,0,0,0,0.0,0.0,0,0,0,23
651,24-25-prem-brighton-&-hove-albion-vs-everton,84,0,0,1,0.02,0.0,0,0,0,0,32,18,78.0,0.0,3,0,0.0,1,50.0,0,1,1,0,4,3,0,4,0,2,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,23
115,24-25-prem-brighton-&-hove-albion-vs-everton,89,0,0,3,0.07,0.06,0,0,0,0,78,55,96.0,1.0,7,0,0.0,4,80.0,2,1,6,0,0,0,0,8,5,8,67.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,23
577,24-25-prem-brighton-&-hove-albion-vs-everton,62,0,0,0,0.0,0.0,0,1,0,0,26,8,73.0,0.0,1,0,0.0,1,33.0,2,2,5,0,1,0,1,6,7,6,46.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,23
600,24-25-prem-brighton-&-hove-albion-vs-everton,75,0,0,1,0.13,0.04,0,0,0,3,50,25,76.0,2.0,3,1,17.0,0,0.0,1,0,6,0,1,0,0,3,6,3,43.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,23
135,24-25-prem-brighton-&-hove-albion-vs-everton,16,0,0,0,0.0,0.01,0,3,0,1,21,7,78.0,0.0,1,0,0.0,0,0.0,0,1,1,0,1,0,0,4,1,4,80.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,23
595,24-25-prem-brighton-&-hove-albion-vs-everton,45,0,0,0,0.0,0.01,0,0,0,1,25,12,75.0,1.0,2,0,0.0,0,0.0,2,0,5,0,1,1,0,3,2,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
131,24-25-prem-brighton-&-hove-albion-vs-everton,74,0,0,1,0.06,0.07,0,1,0,2,54,30,91.0,1.0,1,1,17.0,0,0.0,1,0,2,0,1,1,0,3,5,3,43.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
148,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,2,0.05,0.02,0,0,0,2,28,16,89.0,0.0,0,0,0.0,0,0.0,1,0,2,0,1,0,0,4,2,3,75.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,23
223,24-25-prem-brighton-&-hove-albion-vs-everton,12,0,0,0,0.0,0.0,0,1,0,0,4,1,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,2,1,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
146,24-25-prem-brighton-&-hove-albion-vs-everton,90,0,0,0,0.0,0.01,0,0,0,0,33,28,90.0,0.0,0,0,0.0,3,60.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0.9,-0.1,0,28,3,23
