player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
326,24-25-prem-liverpool-vs-ipswich-town,90,0,1,0,0.0,0.1,0,0,0,0,139,116,93.0,2.0,21,0,0.0,2,29.0,2,0,6,0,1,1,1,12,2,8,80.0,4,100.0,3,1,0,0,0.0,0.0,0,0,0,23
311,24-25-prem-liverpool-vs-ipswich-town,90,0,1,2,0.13,0.49,0,3,0,5,113,74,83.0,1.0,7,1,20.0,1,100.0,1,1,4,0,0,0,1,5,4,5,71.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,23
336,24-25-prem-liverpool-vs-ipswich-town,68,1,0,4,0.67,0.04,2,0,0,6,48,33,92.0,1.0,3,0,0.0,2,100.0,0,0,3,0,0,0,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,23
328,24-25-prem-liverpool-vs-ipswich-town,90,1,0,3,0.23,0.12,1,4,0,12,69,34,76.0,1.0,4,1,33.0,1,50.0,2,0,2,0,0,0,0,7,9,6,43.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,23
339,24-25-prem-liverpool-vs-ipswich-town,90,0,0,2,0.07,0.1,1,0,0,1,142,132,97.0,0.0,28,0,0.0,7,88.0,1,0,4,0,2,1,0,6,1,2,100.0,4,80.0,1,0,0,0,0.0,0.0,0,0,0,23
329,24-25-prem-liverpool-vs-ipswich-town,80,0,0,1,0.02,0.15,0,2,0,5,79,50,94.0,3.0,4,0,0.0,1,100.0,1,2,3,0,1,1,1,5,6,5,45.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,23
335,24-25-prem-liverpool-vs-ipswich-town,90,0,0,0,0.0,0.09,0,0,0,2,111,84,90.0,2.0,17,2,29.0,2,40.0,0,0,5,0,1,1,1,2,1,2,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
323,24-25-prem-liverpool-vs-ipswich-town,68,0,0,0,0.0,0.29,0,1,0,0,52,40,91.0,1.0,4,0,0.0,0,0.0,1,0,8,0,1,0,1,2,2,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,23
121,24-25-prem-liverpool-vs-ipswich-town,11,0,1,0,0.0,0.22,0,0,0,0,9,4,67.0,1.0,0,1,100.0,0,0.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,23
310,24-25-prem-liverpool-vs-ipswich-town,90,0,0,0,0.0,0.0,0,0,0,0,26,20,95.0,0.0,0,0,0.0,1,50.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,1,0.95,-0.05,0,20,1,23
