player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
401,24-25-prem-southampton-vs-newcastle-united,79,2,0,4,1.5,0.25,4,2,0,8,41,19,70.0,1.0,2,0,0.0,1,50.0,0,0,2,0,0,0,0,4,5,4,67.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
417,24-25-prem-southampton-vs-newcastle-united,90,1,0,1,0.59,0.02,1,2,0,3,65,38,84.0,0.0,5,0,0.0,0,0.0,4,0,5,1,1,0,2,10,7,9,56.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,23
402,24-25-prem-southampton-vs-newcastle-united,89,0,1,2,0.04,0.23,1,0,0,2,55,34,85.0,4.0,4,0,0.0,1,50.0,1,0,4,0,0,0,1,1,4,1,25.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,23
403,24-25-prem-southampton-vs-newcastle-united,90,0,0,2,0.35,0.01,1,0,1,2,62,30,88.0,0.0,2,0,0.0,0,0.0,4,4,9,2,4,0,0,7,6,7,64.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,23
455,24-25-prem-southampton-vs-newcastle-united,90,1,0,1,0.22,0.0,1,0,0,1,61,33,75.0,0.0,4,0,0.0,1,17.0,1,1,5,2,6,4,0,6,2,2,50.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,23
457,24-25-prem-southampton-vs-newcastle-united,88,0,1,1,0.03,0.14,0,1,0,1,62,40,89.0,2.0,4,1,25.0,1,25.0,1,1,4,0,3,2,2,4,2,3,60.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,23
409,24-25-prem-southampton-vs-newcastle-united,90,0,0,1,0.02,0.02,0,0,0,2,74,53,90.0,2.0,3,0,0.0,0,0.0,2,1,6,0,0,0,0,5,2,5,83.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,23
398,24-25-prem-southampton-vs-newcastle-united,88,0,1,2,0.1,0.17,0,0,0,4,47,24,69.0,1.0,6,0,0.0,1,25.0,0,0,8,0,0,0,1,1,5,1,17.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,23
623,24-25-prem-southampton-vs-newcastle-united,90,0,0,3,0.14,0.11,1,4,0,2,69,39,85.0,1.0,7,1,33.0,4,80.0,2,1,6,0,1,0,1,9,6,8,62.0,1,50.0,1,2,0,0,0.0,0.0,0,0,0,23
415,24-25-prem-southampton-vs-newcastle-united,90,0,0,1,0.07,0.01,1,0,1,2,57,35,83.0,1.0,2,0,0.0,1,25.0,1,5,5,0,5,5,1,2,6,2,40.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,23
