player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
514,24-25-prem-chelsea-vs-west-ham-united,90,1,0,3,0.2,0.43,2,1,0,11,38,12,86.0,2.0,0,0,0.0,0,0.0,2,2,4,0,1,1,0,6,6,6,60.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,24
182,24-25-prem-chelsea-vs-west-ham-united,89,0,0,7,0.29,0.42,2,0,0,3,57,36,90.0,3.0,6,2,40.0,4,80.0,2,0,4,0,0,0,0,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,24
172,24-25-prem-chelsea-vs-west-ham-united,61,0,0,0,0.0,0.17,0,0,0,0,73,56,93.0,3.0,12,2,33.0,0,0.0,1,0,4,0,2,2,1,4,1,1,50.0,3,100.0,0,0,0,0,0.0,0.0,0,0,0,24
168,24-25-prem-chelsea-vs-west-ham-united,90,0,0,2,0.56,0.02,0,1,1,2,73,42,75.0,0.0,9,0,0.0,2,40.0,1,2,7,0,1,0,0,7,5,4,50.0,3,75.0,2,3,0,0,0.0,0.0,0,0,0,24
560,24-25-prem-chelsea-vs-west-ham-united,38,1,0,3,0.2,0.08,1,1,0,6,29,12,75.0,0.0,1,1,33.0,1,50.0,1,0,2,0,0,0,0,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,24
157,24-25-prem-chelsea-vs-west-ham-united,90,0,0,0,0.0,0.04,0,0,0,0,72,60,98.0,1.0,8,0,0.0,2,100.0,5,0,2,1,0,0,1,7,5,6,55.0,1,100.0,2,3,0,0,0.0,0.0,0,0,0,24
163,24-25-prem-chelsea-vs-west-ham-united,90,0,0,1,0.05,0.04,0,1,0,6,73,37,86.0,2.0,3,0,0.0,2,50.0,2,0,2,0,2,2,0,7,6,6,67.0,1,25.0,1,2,0,0,0.0,0.0,0,0,0,24
162,24-25-prem-chelsea-vs-west-ham-united,90,0,0,1,0.06,0.01,0,0,0,1,94,64,80.0,1.0,6,0,0.0,1,20.0,5,0,2,0,3,2,1,13,3,8,80.0,5,83.0,1,1,0,0,0.0,0.0,0,0,0,24
654,24-25-prem-chelsea-vs-west-ham-united,77,0,0,0,0.0,0.12,0,1,0,1,33,21,91.0,1.0,2,0,0.0,0,0.0,2,1,3,0,1,0,0,6,5,6,67.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,24
177,24-25-prem-chelsea-vs-west-ham-united,61,0,0,1,0.09,0.16,0,1,0,3,37,21,88.0,3.0,2,1,33.0,0,0.0,0,0,2,0,1,0,0,3,4,2,33.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,24
187,24-25-prem-chelsea-vs-west-ham-united,90,0,0,3,0.24,0.02,0,0,0,3,105,90,94.0,0.0,9,0,0.0,1,33.0,0,0,1,1,4,2,1,4,3,0,0.0,4,80.0,0,1,0,0,0.0,0.0,0,0,0,24
178,24-25-prem-chelsea-vs-west-ham-united,38,0,0,0,0.0,0.02,0,0,0,3,13,7,88.0,1.0,0,0,0.0,0,0.0,1,0,2,0,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
530,24-25-prem-chelsea-vs-west-ham-united,90,0,0,0,0.0,0.02,0,0,0,0,44,20,77.0,0.0,3,0,0.0,1,100.0,0,0,2,2,8,4,2,8,5,4,67.0,4,57.0,3,1,0,0,0.0,0.0,0,0,0,24
528,24-25-prem-chelsea-vs-west-ham-united,18,0,0,2,0.03,0.0,2,1,0,1,15,7,78.0,0.0,1,0,0.0,0,0.0,0,0,0,0,2,2,0,4,1,1,100.0,3,75.0,0,0,0,0,0.0,0.0,0,0,0,24
386,24-25-prem-chelsea-vs-west-ham-united,52,0,0,2,0.14,0.01,0,1,0,4,20,8,80.0,0.0,1,0,0.0,0,0.0,0,1,3,0,0,0,0,2,3,2,67.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
171,24-25-prem-chelsea-vs-west-ham-united,29,0,0,0,0.0,0.18,0,0,0,1,35,22,88.0,1.0,4,0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
516,24-25-prem-chelsea-vs-west-ham-united,72,0,0,0,0.0,0.0,0,0,0,0,32,16,84.0,0.0,1,0,0.0,1,25.0,0,1,3,2,5,3,1,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,24
576,24-25-prem-chelsea-vs-west-ham-united,77,0,0,1,0.02,0.11,0,0,0,0,36,19,79.0,1.0,1,1,50.0,0,0.0,0,1,3,1,2,2,0,2,3,2,40.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,24
181,24-25-prem-chelsea-vs-west-ham-united,29,0,0,0,0.0,0.01,0,0,0,0,33,24,80.0,0.0,1,0,0.0,0,0.0,0,0,2,1,0,0,0,1,4,0,0.0,1,25.0,0,1,0,0,0.0,0.0,0,0,0,24
