player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
218,24-25-prem-everton-vs-leicester-city,88,2,0,2,0.63,0.01,2,0,0,6,35,14,70.0,0.0,2,0,0.0,0,0.0,1,0,2,1,1,0,0,3,5,2,40.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,24
232,24-25-prem-everton-vs-leicester-city,90,1,0,2,0.46,0.1,1,4,0,6,47,22,69.0,2.0,2,0,0.0,0,0.0,1,1,6,0,1,1,2,9,5,9,75.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,24
223,24-25-prem-everton-vs-leicester-city,82,0,1,1,0.04,0.54,1,0,0,3,61,30,81.0,3.0,7,3,33.0,2,40.0,1,1,8,0,3,1,0,5,0,3,100.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,24
235,24-25-prem-everton-vs-leicester-city,90,0,1,0,0.0,0.01,0,0,0,0,37,25,86.0,1.0,0,0,0.0,8,67.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0.06,0.06,1,25,8,24
217,24-25-prem-everton-vs-leicester-city,90,1,0,3,0.79,0.11,1,3,1,7,47,29,83.0,2.0,4,0,0.0,2,50.0,0,0,4,0,0,0,1,3,6,3,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
236,24-25-prem-everton-vs-leicester-city,90,0,1,1,0.04,0.21,0,0,0,1,70,45,85.0,1.0,6,0,0.0,6,75.0,1,1,0,2,10,8,0,4,1,1,50.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,24
219,24-25-prem-everton-vs-leicester-city,90,0,0,1,0.23,0.01,0,0,1,3,85,55,80.0,0.0,10,0,0.0,4,36.0,1,0,2,1,8,6,0,6,3,2,67.0,4,67.0,1,1,0,0,0.0,0.0,0,0,0,24
582,24-25-prem-everton-vs-leicester-city,90,0,0,0,0.0,0.01,0,1,0,0,65,35,78.0,0.0,3,0,0.0,2,67.0,0,0,4,0,1,1,0,5,0,2,100.0,3,100.0,1,0,0,0,0.0,0.0,0,0,0,24
231,24-25-prem-everton-vs-leicester-city,88,0,0,0,0.0,0.42,0,0,0,3,51,21,62.0,1.0,5,1,33.0,1,20.0,0,0,3,0,3,2,0,4,3,2,67.0,2,50.0,1,0,0,0,0.0,0.0,0,0,0,24
222,24-25-prem-everton-vs-leicester-city,90,0,0,1,0.01,0.01,0,0,0,0,56,37,93.0,1.0,4,0,0.0,3,75.0,1,0,6,1,0,0,0,5,5,4,50.0,1,50.0,2,1,0,0,0.0,0.0,0,0,0,24
192,24-25-prem-everton-vs-leicester-city,90,0,0,2,0.07,0.09,0,3,0,3,62,26,76.0,2.0,2,1,20.0,1,50.0,1,0,8,0,0,0,1,6,13,5,45.0,1,13.0,1,1,0,0,0.0,0.0,0,0,0,24
238,24-25-prem-everton-vs-leicester-city,15,0,0,0,0.0,0.0,0,0,0,0,10,6,100.0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
285,24-25-prem-everton-vs-leicester-city,90,0,0,0,0.0,0.05,0,0,0,3,67,41,77.0,3.0,8,0,0.0,3,60.0,2,0,7,0,2,1,1,6,5,4,44.0,2,100.0,1,3,0,0,0.0,0.0,0,0,0,24
298,24-25-prem-everton-vs-leicester-city,14,0,0,1,0.02,0.0,0,0,0,0,11,4,80.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,24
