player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
452,24-25-prem-ipswich-town-vs-southampton,90,1,0,2,0.35,0.01,1,1,0,2,54,33,80.0,0.0,9,0,0.0,3,50.0,4,2,5,0,0,0,1,6,3,6,86.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,24
623,24-25-prem-ipswich-town-vs-southampton,90,0,0,0,0.0,0.11,0,1,0,1,49,19,73.0,2.0,4,1,25.0,2,33.0,2,1,8,0,1,0,1,9,3,9,75.0,0,0.0,3,0,0,0,0.0,0.0,0,0,0,24
268,24-25-prem-ipswich-town-vs-southampton,90,1,0,4,0.68,0.16,2,2,0,6,43,18,82.0,1.0,2,0,0.0,2,100.0,0,0,1,0,0,0,0,9,7,6,60.0,3,50.0,3,1,0,0,0.0,0.0,0,0,0,24
14,24-25-prem-ipswich-town-vs-southampton,90,0,0,0,0.0,0.01,0,0,0,0,58,23,49.0,0.0,0,0,0.0,17,41.0,0,0,15,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,1.36,0.36,1,23,17,24
476,24-25-prem-ipswich-town-vs-southampton,90,0,0,0,0.0,0.02,0,0,0,0,61,37,90.0,1.0,2,0,0.0,1,50.0,2,0,9,0,2,0,0,5,4,5,71.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,24
470,24-25-prem-ipswich-town-vs-southampton,90,1,0,2,0.41,0.02,2,0,0,5,53,18,56.0,0.0,2,0,0.0,1,100.0,0,0,3,1,1,1,0,17,18,1,9.0,16,67.0,1,4,0,0,0.0,0.0,0,0,0,24
619,24-25-prem-ipswich-town-vs-southampton,77,0,0,1,0.04,0.02,0,0,0,0,54,35,97.0,1.0,3,0,0.0,1,50.0,2,1,6,0,2,0,0,6,1,6,100.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,24
455,24-25-prem-ipswich-town-vs-southampton,90,0,0,1,0.09,0.0,0,0,0,2,62,38,88.0,0.0,2,0,0.0,2,50.0,0,3,4,0,10,4,2,7,8,2,29.0,5,63.0,0,3,0,0,0.0,0.0,0,0,0,24
457,24-25-prem-ipswich-town-vs-southampton,90,0,0,1,0.04,0.01,0,0,0,1,60,44,96.0,0.0,4,0,0.0,3,75.0,1,0,5,0,3,1,3,6,3,6,67.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,24
121,24-25-prem-ipswich-town-vs-southampton,89,0,0,6,0.28,0.07,2,6,0,2,81,38,76.0,0.0,8,1,50.0,1,50.0,1,1,7,0,0,0,0,11,11,10,53.0,1,33.0,2,1,0,0,0.0,0.0,0,0,0,24
