player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
207,24-25-prem-manchester-united-vs-crystal-palace,90,2,0,3,1.91,0.34,2,0,1,4,22,6,60.0,1.0,0,1,100.0,0,0.0,1,1,2,2,0,0,1,3,7,3,43.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,24
211,24-25-prem-manchester-united-vs-crystal-palace,90,0,1,1,0.1,0.24,0,1,0,2,59,17,61.0,1.0,9,0,0.0,1,17.0,2,1,7,0,4,3,2,8,6,7,70.0,1,25.0,2,0,0,0,0.0,0.0,0,0,0,24
201,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,0,32,7,28.0,0.0,0,0,0.0,1,5.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.53,0.53,0,7,1,24
650,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,2,0.04,0.01,1,0,0,1,49,20,87.0,0.0,3,0,0.0,0,0.0,1,4,4,1,11,7,0,6,4,3,50.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,24
194,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,0,0.0,0.0,0,0,0,1,46,15,60.0,0.0,5,0,0.0,0,0.0,3,2,3,1,12,10,0,9,2,5,100.0,4,67.0,0,0,0,0,0.0,0.0,0,0,0,24
200,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,0,0.0,0.0,0,1,0,2,48,23,72.0,0.0,2,0,0.0,1,20.0,1,1,7,0,7,7,0,6,3,4,67.0,2,67.0,2,2,0,0,0.0,0.0,0,0,0,24
210,24-25-prem-manchester-united-vs-crystal-palace,88,0,0,2,0.1,0.19,0,0,0,5,37,9,60.0,4.0,1,1,33.0,1,50.0,0,1,4,1,7,3,1,2,5,1,20.0,1,50.0,1,1,0,0,0.0,0.0,0,0,0,24
364,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,1,0.09,0.58,0,2,0,12,63,38,86.0,6.0,2,3,60.0,1,100.0,0,0,4,0,1,0,0,4,5,4,50.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,24
206,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,2,0.06,0.23,0,0,0,2,55,27,71.0,1.0,8,0,0.0,1,25.0,0,1,4,1,3,1,0,6,4,3,60.0,3,60.0,2,2,0,0,0.0,0.0,0,0,0,24
366,24-25-prem-manchester-united-vs-crystal-palace,90,0,0,2,0.19,0.27,1,0,0,4,112,69,80.0,2.0,14,2,15.0,7,54.0,0,1,5,0,2,2,0,5,3,3,60.0,2,67.0,2,1,0,0,0.0,0.0,0,0,0,24
