player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
249,24-25-prem-fulham-vs-nottingham-forest,83,0,0,2,0.13,0.25,1,0,0,3,66,43,100.0,6.0,7,5,50.0,4,100.0,1,2,5,1,1,1,0,4,5,2,50.0,2,40.0,1,1,0,0,0.0,0.0,0,0,0,25
239,24-25-prem-fulham-vs-nottingham-forest,89,0,1,2,0.2,0.75,1,2,1,4,44,23,88.0,3.0,2,3,33.0,1,100.0,0,0,5,0,0,0,1,4,5,3,43.0,1,50.0,1,2,0,0,0.0,0.0,0,0,0,25
252,24-25-prem-fulham-vs-nottingham-forest,76,0,1,7,0.51,0.08,3,2,1,9,43,22,85.0,2.0,1,0,0.0,1,100.0,0,0,3,0,0,0,1,6,8,3,43.0,3,43.0,1,1,0,0,0.0,0.0,0,0,0,25
241,24-25-prem-fulham-vs-nottingham-forest,90,1,0,2,0.16,0.0,1,0,0,2,65,49,88.0,0.0,5,0,0.0,1,20.0,0,1,5,0,3,1,0,3,3,2,50.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,25
19,24-25-prem-fulham-vs-nottingham-forest,82,1,0,3,0.56,0.03,1,1,0,4,46,32,86.0,0.0,1,0,0.0,1,100.0,0,0,5,0,0,0,0,2,3,2,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,25
433,24-25-prem-fulham-vs-nottingham-forest,90,0,1,0,0.0,0.05,0,0,0,1,60,42,95.0,1.0,7,0,0.0,1,100.0,0,2,1,0,0,0,0,1,2,1,50.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
244,24-25-prem-fulham-vs-nottingham-forest,90,0,0,1,0.03,0.02,0,0,0,2,65,48,94.0,0.0,7,0,0.0,1,50.0,2,0,3,0,4,3,1,2,4,2,40.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
437,24-25-prem-fulham-vs-nottingham-forest,90,0,0,3,0.1,0.02,0,1,0,4,57,30,91.0,0.0,3,1,20.0,2,50.0,2,0,3,0,3,2,2,6,4,5,63.0,1,50.0,2,0,0,0,0.0,0.0,0,0,0,25
422,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.02,0,3,0,0,64,31,86.0,1.0,8,0,0.0,1,33.0,0,0,5,3,4,3,0,7,4,6,75.0,1,33.0,3,1,0,0,0.0,0.0,0,0,0,25
436,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,1,0,0,53,38,95.0,0.0,4,0,0.0,6,75.0,1,1,2,1,8,6,0,6,3,2,67.0,4,67.0,0,1,0,0,0.0,0.0,0,0,0,25
429,24-25-prem-fulham-vs-nottingham-forest,63,0,0,0,0.0,0.0,0,0,0,0,32,20,71.0,0.0,3,0,0.0,2,100.0,1,1,4,1,0,0,0,1,1,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
432,24-25-prem-fulham-vs-nottingham-forest,90,0,0,2,0.06,0.04,0,1,0,5,41,15,65.0,1.0,1,1,14.0,0,0.0,0,0,1,0,0,0,0,3,3,2,40.0,1,100.0,1,0,0,0,0.0,0.0,0,0,0,25
434,24-25-prem-fulham-vs-nottingham-forest,22,0,0,1,0.1,0.06,1,0,0,1,25,18,95.0,0.0,1,2,50.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
251,24-25-prem-fulham-vs-nottingham-forest,14,0,0,1,0.17,0.0,1,0,0,2,9,2,67.0,0.0,0,0,0.0,1,100.0,1,0,0,0,0,0,0,2,2,1,50.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,25
442,24-25-prem-fulham-vs-nottingham-forest,27,0,0,0,0.0,0.0,0,0,0,0,21,17,89.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,1,1,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
596,24-25-prem-fulham-vs-nottingham-forest,5,0,0,0,0.0,0.0,0,0,0,0,1,1,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
443,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,39,9,41.0,0.0,0,0,0.0,5,28.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,8,2,3.77,1.77,0,9,5,25
191,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,0,0,0,80,56,89.0,0.0,7,0,0.0,4,40.0,1,3,3,1,10,9,0,6,2,1,100.0,5,71.0,0,0,0,0,0.0,0.0,0,0,0,25
622,24-25-prem-fulham-vs-nottingham-forest,90,0,0,1,0.08,0.02,0,0,0,2,58,40,82.0,1.0,7,0,0.0,2,67.0,1,1,3,1,3,1,0,4,0,2,100.0,2,100.0,1,1,0,0,0.0,0.0,0,0,0,25
247,24-25-prem-fulham-vs-nottingham-forest,89,0,0,4,0.23,0.18,1,0,0,4,58,33,94.0,2.0,8,2,25.0,4,100.0,1,0,6,0,1,0,1,1,4,1,20.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
423,24-25-prem-fulham-vs-nottingham-forest,85,0,0,1,0.02,0.02,0,1,0,2,69,44,90.0,0.0,9,0,0.0,1,33.0,1,2,9,1,1,0,1,7,4,6,60.0,1,100.0,3,1,0,0,0.0,0.0,0,0,0,25
447,24-25-prem-fulham-vs-nottingham-forest,90,1,0,1,0.14,0.02,1,0,0,3,30,14,78.0,1.0,3,0,0.0,1,100.0,0,0,0,0,1,0,0,4,8,1,50.0,3,30.0,1,1,0,0,0.0,0.0,0,0,0,25
248,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.0,0,0,0,0,45,32,84.0,0.0,0,0,0.0,5,45.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.06,0.06,0,32,5,25
255,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.04,0,0,0,1,71,40,77.0,0.0,12,0,0.0,2,29.0,1,0,3,0,2,2,3,3,7,2,22.0,1,100.0,1,3,0,0,0.0,0.0,0,0,0,25
573,24-25-prem-fulham-vs-nottingham-forest,90,0,0,0,0.0,0.01,0,0,0,0,47,34,87.0,1.0,1,0,0.0,2,50.0,0,1,6,0,7,2,0,4,3,0,0.0,4,100.0,0,3,0,0,0.0,0.0,0,0,0,25
653,24-25-prem-fulham-vs-nottingham-forest,68,0,0,0,0.0,0.01,0,0,0,0,45,30,91.0,0.0,6,0,0.0,4,100.0,2,1,6,0,4,3,2,4,4,4,57.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
254,24-25-prem-fulham-vs-nottingham-forest,7,0,0,1,0.13,0.0,1,0,0,1,7,4,80.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
240,24-25-prem-fulham-vs-nottingham-forest,8,0,0,0,0.0,0.1,0,0,0,1,8,7,100.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
