player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
12,24-25-prem-leicester-city-vs-arsenal,90,0,1,4,0.21,0.56,2,6,0,7,62,28,88.0,2.0,2,3,30.0,1,33.0,3,0,4,0,0,0,2,12,3,10,77.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,25
633,24-25-prem-leicester-city-vs-arsenal,21,2,0,2,0.84,0.01,2,0,0,2,16,6,67.0,0.0,0,0,0.0,0,0.0,0,0,2,0,1,0,0,2,3,0,0.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,25
15,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,40,27,90.0,0.0,0,0,0.0,3,50.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.19,0.19,2,27,3,25
3,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.04,0,0,0,1,65,44,80.0,1.0,11,0,0.0,1,33.0,2,1,4,0,3,3,0,6,4,2,67.0,4,57.0,0,0,0,0,0.0,0.0,0,0,0,25
20,24-25-prem-leicester-city-vs-arsenal,76,0,0,1,0.04,0.04,0,0,0,1,68,49,88.0,0.0,5,0,0.0,1,25.0,2,1,7,0,1,0,0,5,2,5,71.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,25
23,24-25-prem-leicester-city-vs-arsenal,89,0,1,1,0.25,0.21,1,1,1,3,27,12,80.0,1.0,2,1,50.0,2,100.0,0,0,4,0,0,0,1,3,5,3,50.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,25
6,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.03,0,1,0,0,80,40,82.0,0.0,6,0,0.0,1,33.0,2,2,3,0,3,2,0,8,5,6,55.0,2,100.0,2,1,0,0,0.0,0.0,0,0,0,25
13,24-25-prem-leicester-city-vs-arsenal,90,0,0,1,0.05,0.73,0,3,0,3,84,62,91.0,2.0,11,0,0.0,4,100.0,0,0,4,0,0,0,1,3,5,3,38.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
18,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.01,0,1,0,0,76,58,88.0,0.0,5,0,0.0,1,50.0,0,0,4,1,5,2,0,3,3,2,40.0,1,100.0,1,2,0,0,0.0,0.0,0,0,0,25
16,24-25-prem-leicester-city-vs-arsenal,90,0,0,1,0.09,0.02,0,1,0,2,47,24,83.0,1.0,5,0,0.0,1,50.0,0,1,3,1,3,2,3,5,7,3,38.0,2,50.0,1,1,0,0,0.0,0.0,0,0,0,25
597,24-25-prem-leicester-city-vs-arsenal,76,0,0,0,0.0,0.03,0,1,0,3,57,32,91.0,0.0,5,0,0.0,0,0.0,0,1,2,0,2,0,0,2,4,2,33.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
295,24-25-prem-leicester-city-vs-arsenal,43,0,0,0,0.0,0.0,0,0,0,0,25,9,69.0,0.0,2,0,0.0,0,0.0,1,0,2,0,3,2,0,3,1,2,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,25
293,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.01,0,0,0,0,55,20,42.0,0.0,0,0,0.0,6,18.0,0,0,7,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,2,2.26,0.26,0,20,6,25
298,24-25-prem-leicester-city-vs-arsenal,15,0,0,1,0.02,0.0,0,2,0,3,10,3,75.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,0,3,1,3,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
306,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.03,0,0,0,4,28,12,71.0,1.0,0,0,0.0,0,0.0,2,0,4,0,1,1,2,6,6,6,67.0,0,0.0,4,0,0,0,0.0,0.0,0,0,0,25
186,24-25-prem-leicester-city-vs-arsenal,69,0,0,1,0.02,0.06,0,0,0,7,36,19,79.0,1.0,0,0,0.0,1,50.0,0,0,2,0,0,0,0,1,5,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,25
285,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.02,0,4,0,2,46,25,78.0,0.0,5,0,0.0,0,0.0,1,1,8,0,1,0,0,6,3,6,75.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
300,24-25-prem-leicester-city-vs-arsenal,85,0,0,2,0.11,0.01,1,0,0,3,34,13,62.0,0.0,2,0,0.0,0,0.0,1,2,0,1,4,1,3,3,4,1,25.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,25
578,24-25-prem-leicester-city-vs-arsenal,14,0,0,0,0.0,0.0,0,0,0,3,12,5,71.0,0.0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,1,0,1,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
192,24-25-prem-leicester-city-vs-arsenal,75,0,0,0,0.0,0.03,0,1,0,5,40,17,77.0,0.0,2,0,0.0,0,0.0,1,0,5,0,4,1,1,6,8,5,45.0,1,33.0,2,2,0,0,0.0,0.0,0,0,0,25
7,24-25-prem-leicester-city-vs-arsenal,14,0,0,0,0.0,0.0,0,0,0,0,8,5,71.0,0.0,0,0,0.0,0,0.0,0,0,2,0,1,1,1,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
291,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,1,35,21,84.0,0.0,2,0,0.0,3,50.0,0,0,3,2,5,2,0,2,0,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,25
296,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.11,0,0,0,1,49,20,80.0,1.0,5,3,38.0,1,50.0,2,0,2,0,1,1,4,6,8,5,50.0,1,25.0,0,1,0,0,0.0,0.0,0,0,0,25
301,24-25-prem-leicester-city-vs-arsenal,90,0,0,0,0.0,0.0,0,0,0,0,56,42,88.0,0.0,1,0,0.0,1,25.0,0,0,2,0,5,1,1,3,4,2,33.0,1,100.0,1,3,0,0,0.0,0.0,0,0,0,25
290,24-25-prem-leicester-city-vs-arsenal,85,0,0,1,0.03,0.01,1,0,0,0,19,10,91.0,0.0,0,0,0.0,0,0.0,0,0,3,0,1,0,3,2,7,2,25.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,25
117,24-25-prem-leicester-city-vs-arsenal,5,0,0,1,0.04,0.0,0,0,0,1,7,2,50.0,0.0,1,0,0.0,0,0.0,1,0,1,0,0,0,0,1,1,1,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
