player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
541,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,1,0,6,0.37,0.16,1,3,0,6,84,37,74.0,1.0,7,0,0.0,5,63.0,0,0,5,0,1,1,0,8,5,8,67.0,0,0.0,5,0,0,0,0.0,0.0,0,0,0,25
327,24-25-prem-liverpool-vs-wolverhampton-wanderers,71,1,0,1,0.34,0.11,1,0,0,4,36,21,81.0,0.0,1,0,0.0,2,67.0,0,0,6,0,0,0,1,3,5,3,43.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,25
328,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,1,0,2,0.86,0.03,1,1,0,7,47,15,56.0,0.0,0,1,50.0,0,0.0,1,0,3,0,0,0,0,4,4,4,50.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,25
339,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.02,0,0,0,0,87,65,92.0,1.0,8,0,0.0,3,43.0,0,3,0,1,10,6,0,4,2,0,0.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,25
535,24-25-prem-liverpool-vs-wolverhampton-wanderers,45,0,1,0,0.0,0.2,0,0,0,2,33,20,83.0,3.0,6,0,0.0,0,0.0,0,0,0,0,1,0,0,3,1,2,67.0,1,100.0,2,1,0,0,0.0,0.0,0,0,0,25
533,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.1,0,2,0,4,71,37,90.0,2.0,3,1,25.0,0,0.0,0,1,8,0,3,2,0,5,4,5,56.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,25
329,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.08,0,0,0,1,51,30,86.0,1.0,4,1,33.0,2,100.0,3,1,4,2,2,1,1,4,5,4,67.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,25
567,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,0,0,1,58,38,90.0,0.0,1,0,0.0,0,0.0,2,1,5,0,6,5,0,6,1,3,75.0,3,100.0,0,1,0,0,0.0,0.0,0,0,0,25
311,24-25-prem-liverpool-vs-wolverhampton-wanderers,64,0,0,2,0.09,0.06,0,0,0,1,61,34,81.0,0.0,7,0,0.0,5,63.0,2,2,4,0,0,0,1,5,2,5,71.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
323,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.08,0,2,0,0,56,32,89.0,0.0,2,0,0.0,0,0.0,0,3,4,0,1,0,0,5,5,5,50.0,0,0.0,2,3,0,0,0.0,0.0,0,0,0,25
310,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,38,17,63.0,0.0,0,0,0.0,3,23.0,0,0,12,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,1,1.42,0.42,0,17,3,25
642,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,1,0.03,0.01,0,0,0,0,43,32,89.0,2.0,2,0,0.0,0,0.0,1,2,8,0,0,0,0,2,1,1,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,25
335,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.05,0,0,0,1,74,36,80.0,1.0,8,0,0.0,2,40.0,2,3,2,0,1,0,2,2,6,2,29.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
336,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,1,0.03,0.02,0,1,0,0,45,26,81.0,0.0,1,0,0.0,2,67.0,1,0,4,1,0,0,2,5,6,5,50.0,0,0.0,2,1,0,0,0.0,0.0,0,0,0,25
543,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.01,0,1,0,0,68,49,86.0,0.0,7,0,0.0,2,50.0,2,0,3,0,4,2,0,5,3,4,67.0,1,50.0,1,0,0,0,0.0,0.0,0,0,0,25
559,24-25-prem-liverpool-vs-wolverhampton-wanderers,89,0,0,1,0.02,0.01,1,1,0,1,51,18,69.0,0.0,5,0,0.0,2,50.0,3,1,4,0,2,1,0,5,6,5,56.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,25
326,24-25-prem-liverpool-vs-wolverhampton-wanderers,45,0,0,0,0.0,0.0,0,0,0,2,27,20,91.0,1.0,5,0,0.0,0,0.0,1,0,2,0,1,0,0,2,3,1,25.0,1,100.0,0,2,0,0,0.0,0.0,0,0,0,25
333,24-25-prem-liverpool-vs-wolverhampton-wanderers,45,0,0,0,0.0,0.01,0,0,0,1,32,27,100.0,0.0,4,0,0.0,1,100.0,0,2,0,1,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
553,24-25-prem-liverpool-vs-wolverhampton-wanderers,83,0,0,2,0.19,0.03,0,1,0,3,56,34,94.0,1.0,2,0,0.0,1,100.0,2,1,0,0,0,0,4,6,8,6,43.0,0,0.0,3,2,0,0,0.0,0.0,0,0,0,25
317,24-25-prem-liverpool-vs-wolverhampton-wanderers,64,0,0,4,0.43,0.01,1,0,0,6,20,10,77.0,0.0,2,0,0.0,1,100.0,0,0,3,0,0,0,1,0,5,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,25
313,24-25-prem-liverpool-vs-wolverhampton-wanderers,26,0,0,0,0.0,0.01,0,0,0,0,23,17,89.0,0.0,4,1,100.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
320,24-25-prem-liverpool-vs-wolverhampton-wanderers,19,0,0,0,0.0,0.0,0,0,0,0,9,5,100.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,3,2,3,60.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,25
548,24-25-prem-liverpool-vs-wolverhampton-wanderers,45,0,0,0,0.0,0.05,0,0,0,1,10,7,100.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
564,24-25-prem-liverpool-vs-wolverhampton-wanderers,29,0,0,0,0.0,0.0,0,0,0,0,26,20,80.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,1,100.0,1,50.0,0,0,0,0,0.0,0.0,0,0,0,25
565,24-25-prem-liverpool-vs-wolverhampton-wanderers,45,0,0,2,0.09,0.01,0,0,0,1,23,9,75.0,1.0,4,0,0.0,2,50.0,0,0,2,0,0,0,0,0,3,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
316,24-25-prem-liverpool-vs-wolverhampton-wanderers,26,0,0,0,0.0,0.0,0,0,0,0,11,4,50.0,0.0,0,0,0.0,1,100.0,0,0,0,0,0,0,1,2,3,0,0.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,25
554,24-25-prem-liverpool-vs-wolverhampton-wanderers,90,0,0,0,0.0,0.0,0,0,0,0,33,20,74.0,0.0,0,0,0.0,1,13.0,0,0,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,2,1.47,-0.53,1,20,1,25
544,24-25-prem-liverpool-vs-wolverhampton-wanderers,7,0,0,1,0.07,0.0,0,0,0,1,9,5,71.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
