player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
63,24-25-prem-southampton-vs-afc-bournemouth,88,1,1,3,0.09,0.26,2,0,0,3,72,47,87.0,2.0,8,1,25.0,4,50.0,1,1,7,0,3,2,1,7,6,3,43.0,4,67.0,1,2,0,0,0.0,0.0,0,0,0,25
71,24-25-prem-southampton-vs-afc-bournemouth,77,0,1,1,0.02,0.08,0,2,0,1,43,23,82.0,4.0,4,2,33.0,0,0.0,0,0,5,0,1,1,1,5,6,5,50.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,25
452,24-25-prem-southampton-vs-afc-bournemouth,85,0,0,0,0.0,0.03,0,2,0,2,57,41,93.0,0.0,2,0,0.0,0,0.0,6,0,7,0,1,0,2,12,3,10,77.0,2,100.0,2,1,0,0,0.0,0.0,0,0,0,25
78,24-25-prem-southampton-vs-afc-bournemouth,90,0,1,1,0.22,0.06,1,5,1,8,51,21,70.0,2.0,3,0,0.0,0,0.0,0,0,0,0,2,1,1,9,10,6,46.0,3,50.0,1,2,0,0,0.0,0.0,0,0,0,25
60,24-25-prem-southampton-vs-afc-bournemouth,90,0,0,0,0.0,0.04,0,0,0,1,69,49,91.0,2.0,4,0,0.0,0,0.0,3,1,3,2,0,0,5,8,8,8,53.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,25
74,24-25-prem-southampton-vs-afc-bournemouth,88,1,0,4,0.64,0.18,2,0,1,5,30,9,64.0,0.0,1,1,100.0,0,0.0,0,0,7,0,0,0,1,2,14,2,22.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,25
623,24-25-prem-southampton-vs-afc-bournemouth,90,0,0,0,0.0,0.09,0,3,0,0,52,25,76.0,1.0,5,1,33.0,1,33.0,2,0,6,0,0,0,0,10,4,10,71.0,0,0.0,3,1,0,0,0.0,0.0,0,0,0,25
85,24-25-prem-southampton-vs-afc-bournemouth,90,0,0,0,0.0,0.01,0,0,0,0,63,44,94.0,0.0,6,0,0.0,3,75.0,0,4,3,1,6,3,0,1,3,1,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
70,24-25-prem-southampton-vs-afc-bournemouth,90,0,0,1,0.02,0.01,0,1,0,3,80,40,78.0,1.0,8,0,0.0,0,0.0,0,0,3,0,5,2,1,1,4,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
188,24-25-prem-southampton-vs-afc-bournemouth,45,0,0,1,0.02,0.19,0,1,0,3,34,24,86.0,3.0,3,0,0.0,0,0.0,0,0,1,1,0,0,0,4,1,3,100.0,1,50.0,2,0,0,0,0.0,0.0,0,0,0,25
471,24-25-prem-southampton-vs-afc-bournemouth,56,0,0,0,0.0,0.1,0,0,0,0,46,26,79.0,1.0,6,2,67.0,1,33.0,2,1,4,0,1,0,1,4,3,4,57.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,25
470,24-25-prem-southampton-vs-afc-bournemouth,90,0,1,2,0.05,0.09,0,0,0,6,43,17,65.0,2.0,4,0,0.0,0,0.0,0,0,1,0,1,1,1,6,12,0,0.0,6,60.0,0,2,0,0,0.0,0.0,0,0,0,25
474,24-25-prem-southampton-vs-afc-bournemouth,45,0,0,1,0.02,0.07,1,0,0,1,34,14,78.0,1.0,2,1,25.0,0,0.0,1,0,3,0,3,2,1,2,1,1,50.0,1,100.0,0,0,0,0,0.0,0.0,0,0,0,25
608,24-25-prem-southampton-vs-afc-bournemouth,34,0,0,0,0.0,0.12,0,2,0,1,16,9,100.0,0.0,0,0,0.0,1,100.0,0,0,1,0,0,0,0,4,3,4,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,25
467,24-25-prem-southampton-vs-afc-bournemouth,5,0,0,0,0.0,0.08,0,0,0,0,7,4,80.0,1.0,0,0,0.0,0,0.0,0,0,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
80,24-25-prem-southampton-vs-afc-bournemouth,2,0,0,0,0.0,0.0,0,0,0,1,8,5,100.0,0.0,1,0,0.0,1,100.0,0,0,1,0,1,0,0,1,1,1,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
27,24-25-prem-southampton-vs-afc-bournemouth,5,0,0,1,0.33,0.0,1,0,1,2,8,2,67.0,0.0,1,0,0.0,0,0.0,0,0,2,0,0,0,1,1,4,1,20.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,25
69,24-25-prem-southampton-vs-afc-bournemouth,2,0,0,0,0.0,0.0,0,1,0,2,13,6,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,2,1,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,25
