player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
388,24-25-prem-arsenal-vs-west-ham-united,90,0,1,1,0.03,0.33,1,3,0,2,48,20,80.0,2.0,2,1,100.0,1,20.0,0,0,4,1,6,2,0,9,5,6,60.0,3,75.0,2,3,0,0,0.0,0.0,0,0,0,26
513,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,53,23,51.0,0.0,0,0,0.0,11,34.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,0,0.14,0.14,0,23,11,26
20,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.4,0,2,0,0,94,78,93.0,2.0,16,0,0.0,2,67.0,2,1,3,0,0,0,1,7,3,6,75.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,26
517,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.01,0,0,0,0,50,25,89.0,0.0,5,0,0.0,4,80.0,0,0,2,0,9,2,0,4,1,2,100.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,26
514,24-25-prem-arsenal-vs-west-ham-united,82,1,0,2,0.92,0.02,1,0,0,2,17,6,86.0,0.0,1,0,0.0,0,0.0,0,0,2,1,0,0,2,2,6,2,33.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,26
524,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,1,47,27,84.0,0.0,2,0,0.0,1,25.0,0,0,1,2,9,5,0,4,2,1,100.0,3,60.0,1,0,0,0,0.0,0.0,0,0,0,26
6,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.04,0,0,0,4,99,70,91.0,1.0,15,0,0.0,1,100.0,1,3,2,0,1,1,0,6,3,5,71.0,1,50.0,3,2,0,0,0.0,0.0,0,0,0,26
525,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.16,0,2,0,1,48,24,92.0,2.0,1,1,100.0,0,0.0,0,1,8,0,1,0,0,8,11,8,50.0,0,0.0,6,4,0,0,0.0,0.0,0,0,0,26
591,24-25-prem-arsenal-vs-west-ham-united,62,0,0,0,0.0,0.0,0,0,0,0,38,26,87.0,0.0,4,0,0.0,2,50.0,0,1,2,0,6,2,0,3,1,1,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,26
15,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,52,35,83.0,0.0,0,0,0.0,1,14.0,0,0,10,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1.02,0.02,1,35,1,26
23,24-25-prem-arsenal-vs-west-ham-united,90,0,0,5,0.31,0.22,1,1,0,9,55,23,85.0,3.0,3,1,14.0,0,0.0,1,0,1,0,0,0,1,7,5,5,56.0,2,67.0,3,1,0,0,0.0,0.0,0,0,0,26
531,24-25-prem-arsenal-vs-west-ham-united,90,0,0,0,0.0,0.09,0,0,0,0,37,24,92.0,1.0,4,1,50.0,1,100.0,1,2,4,3,3,0,2,1,3,1,25.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,26
16,24-25-prem-arsenal-vs-west-ham-united,56,0,0,1,0.02,0.17,0,0,0,2,37,25,89.0,2.0,3,2,67.0,2,67.0,0,1,1,0,1,0,0,2,0,2,100.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,26
18,24-25-prem-arsenal-vs-west-ham-united,86,0,0,0,0.0,0.02,0,0,0,0,103,93,94.0,0.0,6,0,0.0,1,100.0,0,0,6,0,0,0,0,4,3,2,50.0,2,67.0,1,2,0,0,0.0,0.0,0,0,0,26
3,24-25-prem-arsenal-vs-west-ham-united,90,0,0,2,0.14,0.09,0,0,0,4,86,75,96.0,0.0,5,0,0.0,1,50.0,0,2,4,0,1,1,0,3,6,2,67.0,1,17.0,1,1,0,0,0.0,0.0,0,0,0,26
13,24-25-prem-arsenal-vs-west-ham-united,90,0,0,3,0.08,0.22,0,0,0,3,89,60,86.0,4.0,9,0,0.0,2,100.0,0,0,2,0,0,0,1,2,4,2,33.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,26
511,24-25-prem-arsenal-vs-west-ham-united,88,0,0,0,0.0,0.01,0,1,0,0,40,23,85.0,0.0,4,0,0.0,0,0.0,0,2,1,0,3,0,0,4,6,4,40.0,0,0.0,1,3,0,0,0.0,0.0,0,0,0,26
578,24-25-prem-arsenal-vs-west-ham-united,56,0,0,2,0.09,0.04,1,0,0,2,51,36,88.0,1.0,8,0,0.0,2,67.0,0,0,1,0,2,1,2,3,4,0,0.0,3,75.0,0,1,0,0,0.0,0.0,0,0,0,26
633,24-25-prem-arsenal-vs-west-ham-united,90,0,0,2,0.29,0.09,0,0,1,8,35,19,79.0,2.0,0,0,0.0,0,0.0,1,0,5,0,1,1,0,6,12,2,33.0,4,33.0,0,5,0,0,0.0,0.0,0,0,0,26
528,24-25-prem-arsenal-vs-west-ham-united,28,0,0,0,0.0,0.0,0,0,0,0,9,6,86.0,0.0,1,0,0.0,1,50.0,0,0,0,0,2,2,0,1,1,0,0.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,26
25,24-25-prem-arsenal-vs-west-ham-united,34,0,0,2,0.1,0.03,0,0,0,3,25,13,72.0,0.0,0,1,33.0,0,0.0,0,0,0,0,0,0,0,4,1,1,100.0,3,75.0,1,0,0,0,0.0,0.0,0,0,0,26
530,24-25-prem-arsenal-vs-west-ham-united,90,0,0,2,0.12,0.0,0,0,0,3,37,14,64.0,0.0,4,0,0.0,0,0.0,0,0,0,2,3,2,1,6,8,0,0.0,6,50.0,1,1,0,0,0.0,0.0,0,0,0,26
12,24-25-prem-arsenal-vs-west-ham-united,81,0,0,1,0.01,0.11,0,3,0,3,44,22,88.0,1.0,1,2,33.0,0,0.0,0,0,2,0,0,0,1,3,9,3,27.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,26
597,24-25-prem-arsenal-vs-west-ham-united,17,0,0,0,0.0,0.02,0,0,0,1,8,5,100.0,0.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,1,1,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,26
186,24-25-prem-arsenal-vs-west-ham-united,9,0,0,1,0.14,0.12,0,0,0,1,15,7,70.0,1.0,0,1,50.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,26
654,24-25-prem-arsenal-vs-west-ham-united,2,0,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,50.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,26
24,24-25-prem-arsenal-vs-west-ham-united,4,0,0,1,0.06,0.01,0,0,0,2,15,13,93.0,0.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
123,24-25-prem-arsenal-vs-west-ham-united,8,0,0,0,0.0,0.0,0,0,0,2,9,2,50.0,0.0,2,0,0.0,0,0.0,0,1,1,0,0,0,0,2,1,0,0.0,2,100.0,0,0,0,0,0.0,0.0,0,0,0,26
