player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
89,24-25-prem-leicester-city-vs-brentford,72,0,2,0,0.0,0.5,0,2,0,5,59,25,64.0,3.0,9,4,44.0,2,50.0,1,0,5,0,1,0,0,4,4,3,50.0,1,50.0,0,1,0,0,0.0,0.0,0,0,0,26
99,24-25-prem-leicester-city-vs-brentford,90,1,1,4,0.19,0.71,2,2,1,6,48,24,77.0,2.0,3,3,43.0,2,100.0,0,1,5,0,0,0,0,3,4,2,50.0,1,33.0,0,0,0,0,0.0,0.0,0,0,0,26
91,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,0,44,34,89.0,1.0,0,0,0.0,10,77.0,0,0,6,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,0,0.35,0.35,0,34,10,26
110,24-25-prem-leicester-city-vs-brentford,90,1,0,3,0.57,0.02,1,1,0,9,33,11,79.0,0.0,0,0,0.0,1,50.0,0,0,2,0,2,1,0,5,2,4,67.0,1,100.0,3,1,0,0,0.0,0.0,0,0,0,26
101,24-25-prem-leicester-city-vs-brentford,45,1,0,1,0.24,0.01,1,0,0,1,27,14,78.0,0.0,5,0,0.0,1,50.0,1,1,3,0,2,0,0,4,2,1,50.0,3,75.0,1,1,0,0,0.0,0.0,0,0,0,26
98,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.3,0,2,0,3,65,38,83.0,3.0,8,1,100.0,2,50.0,1,0,5,0,0,0,1,7,4,5,56.0,2,100.0,2,1,0,0,0.0,0.0,0,0,0,26
106,24-25-prem-leicester-city-vs-brentford,87,0,0,2,0.21,0.03,0,2,0,6,38,13,68.0,0.0,3,0,0.0,1,50.0,0,0,3,0,2,1,0,8,3,5,71.0,3,75.0,3,0,0,0,0.0,0.0,0,0,0,26
88,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,0,69,47,90.0,0.0,7,0,0.0,6,60.0,1,1,5,1,12,8,0,2,4,1,33.0,1,33.0,0,2,0,0,0.0,0.0,0,0,0,26
86,24-25-prem-leicester-city-vs-brentford,84,0,0,1,0.02,0.05,0,0,0,1,43,25,83.0,1.0,7,1,100.0,0,0.0,1,1,1,0,5,3,0,5,1,1,50.0,4,100.0,0,1,0,0,0.0,0.0,0,0,0,26
104,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,1,63,45,92.0,0.0,5,0,0.0,2,50.0,1,2,2,0,8,2,3,4,5,2,40.0,2,50.0,0,0,0,0,0.0,0.0,0,0,0,26
314,24-25-prem-leicester-city-vs-brentford,18,1,0,1,0.09,0.02,1,0,0,1,10,7,78.0,1.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
94,24-25-prem-leicester-city-vs-brentford,73,0,0,0,0.0,0.03,0,0,0,0,34,28,100.0,0.0,1,0,0.0,2,100.0,0,3,1,0,1,0,0,3,1,1,100.0,2,67.0,1,0,0,0,0.0,0.0,0,0,0,26
111,24-25-prem-leicester-city-vs-brentford,45,0,0,1,0.08,0.01,1,0,0,1,41,32,91.0,1.0,5,0,0.0,3,100.0,0,0,7,1,1,0,1,2,4,0,0.0,2,100.0,0,3,0,0,0.0,0.0,0,0,0,26
306,24-25-prem-leicester-city-vs-brentford,90,0,0,3,0.37,0.0,2,2,1,4,21,8,89.0,0.0,0,0,0.0,0,0.0,1,0,0,0,1,0,1,8,4,6,86.0,2,40.0,3,0,0,0,0.0,0.0,0,0,0,26
117,24-25-prem-leicester-city-vs-brentford,35,0,0,3,0.1,0.01,0,1,0,1,28,13,68.0,0.0,5,0,0.0,0,0.0,0,1,0,0,0,0,0,2,1,1,50.0,1,100.0,0,1,0,0,0.0,0.0,0,0,0,26
307,24-25-prem-leicester-city-vs-brentford,45,0,0,0,0.0,0.0,0,0,0,0,29,21,95.0,0.0,1,0,0.0,0,0.0,0,1,3,1,4,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
192,24-25-prem-leicester-city-vs-brentford,55,0,0,0,0.0,0.08,0,0,0,0,29,13,87.0,1.0,1,2,33.0,0,0.0,0,0,3,0,1,1,0,2,3,1,50.0,1,33.0,2,0,0,0,0.0,0.0,0,0,0,26
501,24-25-prem-leicester-city-vs-brentford,13,0,0,0,0.0,0.0,0,0,0,1,8,6,86.0,0.0,1,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
300,24-25-prem-leicester-city-vs-brentford,77,0,0,0,0.0,0.03,0,0,0,4,43,23,79.0,0.0,3,0,0.0,1,50.0,1,2,3,0,2,1,1,4,4,3,50.0,1,50.0,2,2,0,0,0.0,0.0,0,0,0,26
285,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.06,0,0,0,2,58,44,92.0,2.0,2,1,100.0,0,0.0,0,2,6,0,1,0,0,3,2,3,60.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,26
301,24-25-prem-leicester-city-vs-brentford,83,0,0,0,0.0,0.03,0,0,0,1,52,31,94.0,0.0,4,0,0.0,0,0.0,0,2,1,0,8,5,3,4,7,1,17.0,3,60.0,1,2,0,0,0.0,0.0,0,0,0,26
298,24-25-prem-leicester-city-vs-brentford,45,0,0,0,0.0,0.0,0,0,0,1,18,8,100.0,0.0,1,0,0.0,0,0.0,0,0,1,0,1,0,1,1,5,1,20.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,26
290,24-25-prem-leicester-city-vs-brentford,45,0,0,0,0.0,0.01,0,0,0,0,20,8,73.0,0.0,1,0,0.0,0,0.0,0,0,0,0,3,2,1,1,5,0,0.0,1,25.0,0,1,0,0,0.0,0.0,0,0,0,26
291,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.01,0,0,0,2,60,35,76.0,0.0,7,0,0.0,1,13.0,1,1,5,2,5,3,0,3,3,2,67.0,1,33.0,0,1,0,0,0.0,0.0,0,0,0,26
296,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.05,0,0,0,1,45,21,91.0,0.0,1,0,0.0,0,0.0,0,3,4,1,3,2,2,2,3,2,50.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
293,24-25-prem-leicester-city-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,45,25,64.0,0.0,0,0,0.0,4,24.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,3,4,2.43,-1.57,0,25,4,26
288,24-25-prem-leicester-city-vs-brentford,7,0,0,0,0.0,0.0,0,0,0,0,4,4,100.0,0.0,1,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
97,24-25-prem-leicester-city-vs-brentford,3,0,0,0,0.0,0.0,0,0,0,0,4,2,100.0,0.0,0,0,0.0,1,100.0,2,0,0,0,0,0,0,2,0,2,100.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,26
