player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,gameweek
101,24-25-prem-afc-bournemouth-vs-brentford,90,1,0,2,0.18,0.12,1,0,0,2,59,36,77.0,2.0,8,0,0.0,5,71.0,4,0,11,1,2,0,1,7,1,5,83.0,2,100.0,1,0,0,0,0.0,0.0,0,0,0,29
91,24-25-prem-afc-bournemouth-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,0,48,20,51.0,0.0,0,0,0.0,12,39.0,0,0,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,29
110,24-25-prem-afc-bournemouth-vs-brentford,90,1,0,1,0.17,0.08,1,0,0,3,35,14,74.0,1.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,5,3,3,60.0,2,67.0,3,0,0,0,0.0,0.0,0,0,0,29
99,24-25-prem-afc-bournemouth-vs-brentford,90,0,1,3,0.12,0.32,1,1,0,2,34,10,56.0,2.0,2,2,40.0,0,0.0,0,0,2,0,2,0,0,4,3,2,50.0,2,67.0,1,1,0,0,0.0,0.0,0,0,0,29
89,24-25-prem-afc-bournemouth-vs-brentford,85,0,0,1,0.07,0.05,0,2,0,3,55,28,74.0,0.0,11,0,0.0,2,67.0,1,1,13,0,0,0,1,5,6,5,50.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,29
86,24-25-prem-afc-bournemouth-vs-brentford,72,0,0,0,0.0,0.06,0,1,0,2,30,15,83.0,2.0,1,0,0.0,2,100.0,1,1,2,0,2,1,1,4,3,4,80.0,0,0.0,1,0,0,0,0.0,0.0,0,0,0,29
104,24-25-prem-afc-bournemouth-vs-brentford,90,0,0,0,0.0,0.0,0,0,0,1,46,23,72.0,0.0,4,0,0.0,4,50.0,0,0,3,1,13,9,1,5,3,0,0.0,5,83.0,0,1,0,0,0.0,0.0,0,0,0,29
83,24-25-prem-afc-bournemouth-vs-brentford,90,0,0,3,0.16,0.06,1,1,0,6,72,41,76.0,1.0,7,0,0.0,2,40.0,0,0,7,0,1,1,0,8,4,3,50.0,5,83.0,2,2,0,0,0.0,0.0,0,0,0,29
85,24-25-prem-afc-bournemouth-vs-brentford,85,0,0,0,0.0,0.01,0,0,0,0,63,37,74.0,0.0,8,0,0.0,2,18.0,2,4,8,0,7,4,0,4,1,2,100.0,2,67.0,0,0,0,0,0.0,0.0,0,0,0,29
98,24-25-prem-afc-bournemouth-vs-brentford,90,0,0,0,0.0,0.04,0,1,0,2,62,25,78.0,0.0,6,0,0.0,2,50.0,1,2,2,1,4,2,1,6,6,5,83.0,1,17.0,2,0,0,0,0.0,0.0,0,0,0,29
